PIN,Invesco India ETF,
Date,Price,Annualized Dividend
08/04/2008,19.57,0.033
08/05/2008,20.02,0.033
08/05/2008,20.61,0.033
08/06/2008,20.21,0.033
08/06/2008,20.44,0.033
08/07/2008,20.16,0.033
08/07/2008,19.84,0.033
08/08/2008,20.08,0.033
08/08/2008,20.6,0.033
08/11/2008,20.67,0.033
08/11/2008,20.71,0.033
08/12/2008,20.23,0.033
08/12/2008,19.89,0.033
08/13/2008,19.7,0.033
08/13/2008,19.8,0.033
08/14/2008,19.1,0.033
08/14/2008,19.61,0.033
08/15/2008,19.66,0.033
08/15/2008,19.61,0.033
08/18/2008,19.16,0.033
08/18/2008,18.68,0.033
08/19/2008,18.8,0.033
08/19/2008,18.65,0.033
08/20/2008,18.9,0.033
08/20/2008,19.06,0.033
08/21/2008,18.45,0.033
08/21/2008,18.57,0.033
08/22/2008,18.65,0.033
08/22/2008,19.02,0.033
08/25/2008,18.59,0.033
08/25/2008,18.23,0.033
08/26/2008,18.51,0.033
08/26/2008,18.51,0.033
08/27/2008,18.55,0.033
08/27/2008,18.56,0.033
08/28/2008,18.2,0.033
08/28/2008,18.52,0.033
08/29/2008,18.66,0.033
08/29/2008,18.51,0.033
09/02/2008,19.28,0.033
09/02/2008,18.79,0.033
09/03/2008,19.17,0.033
09/03/2008,18.92,0.033
09/04/2008,18.65,0.033
09/04/2008,18.05,0.033
09/05/2008,18.14,0.033
09/05/2008,18.45,0.033
09/08/2008,18.81,0.033
09/08/2008,18.25,0.033
09/09/2008,18.63,0.033
09/09/2008,17.72,0.033
09/10/2008,18.24,0.033
09/10/2008,17.95,0.033
09/11/2008,17.42,0.033
09/11/2008,17.81,0.033
09/12/2008,16.91,0.033
09/12/2008,17.34,0.033
09/15/2008,16.39,0.033
09/15/2008,16.07,0.033
09/16/2008,15.39,0.033
09/16/2008,16.23,0.033
09/17/2008,15.53,0.033
09/17/2008,15.13,0.033
09/18/2008,15.67,0.033
09/18/2008,16.11,0.033
09/19/2008,19.31,0.094
09/19/2008,17.58,0.094
09/22/2008,18.35,0.094
09/22/2008,16.88,0.094
09/23/2008,16.71,0.094
09/23/2008,16.56,0.094
09/24/2008,16.71,0.094
09/24/2008,16.54,0.094
09/25/2008,16.53,0.094
09/25/2008,16.88,0.094
09/26/2008,16.11,0.094
09/26/2008,16.19,0.094
09/29/2008,15.62,0.094
09/29/2008,14.4,0.094
09/30/2008,15.16,0.094
09/30/2008,15.6,0.094
10/01/2008,15.7,0.094
10/01/2008,15.69,0.094
10/02/2008,15.67,0.094
10/02/2008,15.01,0.094
10/03/2008,14.81,0.094
10/03/2008,14.36,0.094
10/06/2008,13.64,0.094
10/06/2008,13.37,0.094
10/07/2008,13.67,0.094
10/07/2008,12.88,0.094
10/08/2008,13.1,0.094
10/08/2008,12.98,0.094
10/09/2008,13.33,0.094
10/09/2008,12.42,0.094
10/10/2008,11.89,0.094
10/10/2008,12.23,0.094
10/13/2008,12.87,0.094
10/13/2008,14.16,0.094
10/14/2008,13.48,0.094
10/14/2008,13.04,0.094
10/15/2008,12.46,0.094
10/15/2008,11.61,0.094
10/16/2008,12.26,0.094
10/16/2008,12.49,0.094
10/17/2008,11.37,0.094
10/17/2008,11.77,0.094
10/20/2008,11.56,0.094
10/20/2008,12.14,0.094
10/21/2008,12.11,0.094
10/21/2008,11.86,0.094
10/22/2008,11.53,0.094
10/22/2008,10.95,0.094
10/23/2008,10.97,0.094
10/23/2008,10.89,0.094
10/24/2008,9.67,0.094
10/24/2008,9.85,0.094
10/27/2008,9.83,0.094
10/27/2008,9.56,0.094
10/28/2008,10.8,0.094
10/28/2008,10.67,0.094
10/29/2008,10.33,0.094
10/29/2008,10.58,0.094
10/30/2008,10.93,0.094
10/30/2008,11.29,0.094
10/31/2008,11.27,0.094
10/31/2008,11.27,0.094
11/03/2008,11.78,0.094
11/03/2008,11.76,0.094
11/04/2008,12.49,0.094
11/04/2008,12.69,0.094
11/05/2008,11.71,0.094
11/05/2008,11.43,0.094
11/06/2008,11.24,0.094
11/06/2008,10.82,0.094
11/07/2008,11.55,0.094
11/07/2008,11.76,0.094
11/10/2008,12.22,0.094
11/10/2008,12.1,0.094
11/11/2008,11.49,0.094
11/11/2008,11.28,0.094
11/12/2008,10.79,0.094
11/12/2008,10.24,0.094
11/13/2008,10.53,0.094
11/13/2008,11.36,0.094
11/14/2008,10.71,0.094
11/14/2008,10.42,0.094
11/17/2008,10.55,0.094
11/17/2008,10.48,0.094
11/18/2008,10.32,0.094
11/18/2008,10.29,0.094
11/19/2008,9.89,0.094
11/19/2008,9.27,0.094
11/20/2008,9.39,0.094
11/20/2008,8.81,0.094
11/21/2008,9.67,0.094
11/21/2008,10.27,0.094
11/24/2008,10.11,0.094
11/24/2008,10.74,0.094
11/25/2008,10.12,0.094
11/25/2008,9.95,0.094
11/26/2008,10.08,0.094
11/26/2008,10.37,0.094
11/28/2008,10.09,0.094
11/28/2008,9.96,0.094
12/01/2008,9.52,0.094
12/01/2008,9.21,0.094
12/02/2008,9.78,0.094
12/02/2008,10.09,0.094
12/03/2008,9.77,0.094
12/03/2008,10.31,0.094
12/04/2008,10.17,0.094
12/04/2008,10.07,0.094
12/05/2008,9.89,0.094
12/05/2008,10.37,0.094
12/08/2008,10.61,0.094
12/08/2008,10.66,0.094
12/09/2008,10.35,0.094
12/09/2008,10.52,0.094
12/10/2008,10.93,0.094
12/10/2008,11.06,0.094
12/11/2008,11.17,0.094
12/11/2008,10.89,0.094
12/12/2008,11.03,0.094
12/12/2008,11.24,0.094
12/15/2008,11.22,0.094
12/15/2008,11.18,0.094
12/16/2008,11.63,0.094
12/16/2008,11.92,0.094
12/17/2008,11.27,0.094
12/17/2008,11.61,0.094
12/18/2008,12.15,0.094
12/18/2008,11.68,0.094
12/19/2008,12.12,0.094
12/19/2008,11.81,0.094
12/22/2008,11.79,0.094
12/22/2008,11.49,0.094
12/23/2008,11.23,0.094
12/23/2008,11.05,0.094
12/24/2008,11.12,0.094
12/24/2008,11.19,0.094
12/26/2008,10.81,0.094
12/26/2008,10.74,0.094
12/29/2008,10.96,0.094
12/29/2008,11.14,0.094
12/30/2008,11.27,0.094
12/30/2008,11.52,0.094
12/31/2008,11.31,0.094
12/31/2008,11.37,0.094
01/02/2009,11.59,0.094
01/02/2009,11.98,0.094
01/05/2009,12.05,0.094
01/05/2009,12.0,0.094
01/06/2009,12.06,0.094
01/06/2009,11.98,0.094
01/07/2009,11.31,0.094
01/07/2009,11.12,0.094
01/08/2009,10.81,0.094
01/08/2009,10.87,0.094
01/09/2009,11.19,0.094
01/09/2009,10.89,0.094
01/12/2009,10.88,0.094
01/12/2009,10.29,0.094
01/13/2009,10.57,0.094
01/13/2009,10.43,0.094
01/14/2009,10.73,0.094
01/14/2009,10.32,0.094
01/15/2009,10.25,0.094
01/15/2009,10.4,0.094
01/16/2009,10.58,0.094
01/16/2009,10.5,0.094
01/20/2009,10.47,0.094
01/20/2009,9.98,0.094
01/21/2009,10.3,0.094
01/21/2009,10.38,0.094
01/22/2009,9.93,0.094
01/22/2009,10.01,0.094
01/23/2009,9.93,0.094
01/23/2009,10.22,0.094
01/26/2009,10.44,0.094
01/26/2009,10.4,0.094
01/27/2009,10.38,0.094
01/27/2009,10.5,0.094
01/28/2009,10.73,0.094
01/28/2009,11.04,0.094
01/29/2009,10.8,0.094
01/29/2009,10.58,0.094
01/30/2009,10.86,0.094
01/30/2009,10.73,0.094
02/02/2009,10.58,0.094
02/02/2009,10.6,0.094
