BNS,Bank Nova Scotia Halifax Pfd 3,
Date,Price,Annualized Dividend
02/10/2000,3.17,0.96
02/10/2000,3.17,0.96
02/11/2000,3.13,0.96
02/11/2000,3.13,0.96
02/14/2000,3.13,0.96
02/14/2000,3.13,0.96
02/15/2000,3.13,0.96
02/15/2000,3.13,0.96
02/16/2000,3.13,0.96
02/16/2000,3.13,0.96
02/17/2000,3.09,0.96
02/17/2000,3.09,0.96
02/18/2000,3.09,0.96
02/18/2000,3.09,0.96
02/22/2000,3.09,0.96
02/22/2000,3.09,0.96
02/23/2000,3.04,0.96
02/23/2000,3.04,0.96
02/24/2000,3.04,0.96
02/24/2000,3.04,0.96
02/25/2000,3.0,0.96
02/25/2000,3.0,0.96
02/28/2000,3.02,0.96
02/28/2000,3.02,0.96
02/29/2000,3.02,0.96
02/29/2000,3.02,0.96
03/01/2000,3.19,0.96
03/01/2000,3.19,0.96
03/02/2000,3.19,0.96
03/02/2000,3.19,0.96
03/03/2000,3.19,0.96
03/03/2000,3.19,0.96
03/06/2000,3.19,0.96
03/06/2000,3.19,0.96
03/07/2000,3.19,0.96
03/07/2000,3.19,0.96
03/08/2000,3.19,0.96
03/08/2000,3.19,0.96
03/09/2000,2.81,0.96
03/09/2000,2.81,0.96
03/10/2000,2.81,0.96
03/10/2000,2.81,0.96
03/13/2000,2.81,0.96
03/13/2000,2.81,0.96
03/14/2000,2.81,0.96
03/14/2000,2.81,0.96
03/15/2000,2.86,0.96
03/15/2000,2.86,0.96
03/16/2000,2.86,0.96
03/16/2000,2.86,0.96
03/17/2000,3.02,0.96
03/17/2000,3.02,0.96
03/20/2000,3.03,0.96
03/20/2000,3.03,0.96
03/21/2000,3.03,0.96
03/21/2000,3.03,0.96
03/22/2000,3.03,0.96
03/22/2000,3.03,0.96
03/23/2000,3.03,0.96
03/23/2000,3.03,0.96
03/24/2000,3.03,0.96
03/24/2000,3.03,0.96
03/27/2000,3.03,0.96
03/27/2000,3.03,0.96
03/28/2000,3.03,0.96
03/28/2000,3.03,0.96
03/29/2000,3.03,0.96
03/29/2000,3.03,0.96
03/30/2000,3.15,0.96
03/30/2000,3.15,0.96
03/31/2000,3.39,1.44
03/31/2000,3.39,1.44
04/03/2000,3.39,1.44
04/03/2000,3.39,1.44
04/04/2000,3.39,1.44
04/04/2000,3.39,1.44
04/05/2000,3.43,1.44
04/05/2000,3.43,1.44
04/06/2000,3.51,1.44
04/06/2000,3.51,1.44
04/07/2000,3.51,1.44
04/07/2000,3.51,1.44
04/10/2000,3.51,1.44
04/10/2000,3.51,1.44
04/11/2000,3.51,1.44
04/11/2000,3.51,1.44
04/12/2000,3.51,1.44
04/12/2000,3.51,1.44
04/13/2000,3.51,1.44
04/13/2000,3.51,1.44
04/14/2000,3.51,1.44
04/14/2000,3.51,1.44
04/17/2000,3.51,1.44
04/17/2000,3.51,1.44
04/18/2000,3.47,1.44
04/18/2000,3.41,1.44
04/19/2000,3.41,1.44
04/19/2000,3.41,1.44
04/20/2000,3.41,1.44
04/20/2000,3.41,1.44
04/24/2000,3.41,1.44
04/24/2000,3.41,1.44
04/25/2000,3.9,1.44
04/25/2000,3.9,1.44
04/26/2000,3.9,1.44
04/26/2000,3.9,1.44
04/27/2000,3.9,1.44
04/27/2000,3.9,1.44
04/28/2000,3.9,1.44
04/28/2000,3.9,1.44
05/01/2000,3.9,1.44
05/01/2000,3.9,1.44
05/02/2000,3.9,1.44
05/02/2000,3.9,1.44
05/03/2000,3.73,1.44
05/03/2000,3.73,1.44
05/04/2000,3.73,1.44
05/04/2000,3.73,1.44
05/05/2000,3.73,1.44
05/05/2000,3.73,1.44
05/08/2000,3.73,1.44
05/08/2000,3.73,1.44
05/09/2000,3.73,1.44
05/09/2000,3.73,1.44
05/10/2000,3.84,1.44
05/10/2000,3.84,1.44
05/11/2000,3.84,1.44
05/11/2000,3.84,1.44
05/12/2000,3.84,1.44
05/12/2000,3.84,1.44
05/15/2000,3.84,1.44
