SIG,Signet Jewelers Limited,
Date,Price,Annualized Dividend
12/07/1988,43.25,0.0402
12/08/1988,43.25,0.0402
12/08/1988,43.25,0.0402
12/09/1988,0.0,0.0402
12/09/1988,40.09,0.0402
12/12/1988,40.09,0.0402
12/12/1988,40.09,0.0402
12/13/1988,0.0,0.0402
12/13/1988,38.51,0.0402
12/14/1988,38.51,0.0402
12/14/1988,38.51,0.0402
12/15/1988,0.0,0.0402
12/15/1988,37.45,0.0402
12/16/1988,37.45,0.0402
12/16/1988,37.45,0.0402
12/19/1988,37.45,0.0402
12/19/1988,37.45,0.0402
12/20/1988,37.45,0.0402
12/20/1988,37.45,0.0402
12/21/1988,37.45,0.0402
12/21/1988,37.45,0.0402
12/22/1988,37.45,0.0402
12/22/1988,37.45,0.0402
12/23/1988,37.45,0.0402
12/23/1988,37.45,0.0402
12/27/1988,0.0,0.0402
12/27/1988,37.45,0.0402
12/28/1988,0.0,0.0402
12/28/1988,38.51,0.0402
12/29/1988,0.0,0.0402
12/29/1988,39.03,0.0402
12/30/1988,39.03,0.0402
12/30/1988,39.03,0.0402
01/03/1989,39.03,0.0402
01/03/1989,39.03,0.0402
01/04/1989,39.03,0.0402
01/04/1989,39.03,0.0402
01/05/1989,39.03,0.0402
01/05/1989,39.03,0.0402
01/06/1989,39.03,0.0402
01/06/1989,39.03,0.0402
01/09/1989,39.03,0.0402
01/09/1989,39.03,0.0402
01/10/1989,39.03,0.0402
01/10/1989,39.03,0.0402
01/11/1989,39.03,0.0402
01/11/1989,39.03,0.0402
01/12/1989,39.03,0.0402
01/12/1989,39.03,0.0402
01/13/1989,39.03,0.0402
01/13/1989,39.03,0.0402
01/16/1989,39.03,0.0402
01/16/1989,39.03,0.0402
01/17/1989,39.03,0.0402
01/17/1989,39.03,0.0402
01/18/1989,39.03,0.0402
01/18/1989,39.03,0.0402
01/19/1989,39.03,0.0402
01/19/1989,39.03,0.0402
01/20/1989,0.0,0.0402
01/20/1989,41.67,0.0402
01/23/1989,41.67,0.0402
01/23/1989,41.67,0.0402
01/24/1989,41.67,0.0402
01/24/1989,41.67,0.0402
01/25/1989,0.0,0.0402
01/25/1989,42.73,0.0402
01/26/1989,42.73,0.0402
01/26/1989,42.73,0.0402
01/27/1989,42.73,0.0402
01/27/1989,42.73,0.0402
01/30/1989,42.73,0.0402
01/30/1989,42.73,0.0402
01/31/1989,0.0,0.0402
01/31/1989,48.0,0.0402
02/01/1989,0.0,0.0402
02/01/1989,46.94,0.0402
02/02/1989,46.94,0.0402
02/02/1989,46.94,0.0402
02/03/1989,46.94,0.0402
02/03/1989,46.94,0.0402
02/06/1989,46.94,0.0402
02/06/1989,46.94,0.0402
02/07/1989,46.94,0.0402
02/07/1989,46.94,0.0402
02/08/1989,46.94,0.0402
02/08/1989,46.94,0.0402
02/09/1989,46.94,0.0402
02/09/1989,46.94,0.0402
02/10/1989,46.94,0.0402
02/10/1989,46.94,0.0402
02/13/1989,0.0,0.0402
02/13/1989,46.42,0.0402
02/14/1989,0.0,0.0402
02/14/1989,46.42,0.0402
02/15/1989,46.42,0.0402
02/15/1989,46.42,0.0402
02/16/1989,46.42,0.0402
02/16/1989,46.42,0.0402
02/17/1989,46.42,0.0402
02/17/1989,46.42,0.0402
02/21/1989,0.0,0.0402
02/21/1989,45.36,0.0402
02/22/1989,45.36,0.0402
02/22/1989,45.36,0.0402
02/23/1989,45.36,0.0402
02/23/1989,45.36,0.0402
02/24/1989,45.36,0.0402
02/24/1989,45.36,0.0402
02/27/1989,45.36,0.0402
02/27/1989,45.36,0.0402
02/28/1989,45.36,0.0402
02/28/1989,45.36,0.0402
03/01/1989,45.36,0.0402
03/01/1989,45.36,0.0402
03/02/1989,45.36,0.0402
03/02/1989,45.36,0.0402
03/03/1989,0.0,0.0402
03/03/1989,44.31,0.0402
03/06/1989,0.0,0.0402
03/06/1989,44.31,0.0402
03/07/1989,44.31,0.0402
03/07/1989,44.31,0.0402
03/08/1989,44.31,0.0402
03/08/1989,44.31,0.0402
03/09/1989,0.0,0.0402
03/09/1989,45.36,0.0402
03/10/1989,45.36,0.0402
03/10/1989,45.36,0.0402
03/13/1989,0.0,0.0402
03/13/1989,45.36,0.0402
03/14/1989,45.36,0.0402
03/14/1989,45.36,0.0402
03/15/1989,45.36,0.0402
03/15/1989,45.36,0.0402
03/16/1989,45.36,0.0402
03/16/1989,45.36,0.0402
03/17/1989,45.36,0.0402
03/17/1989,45.36,0.0402
03/20/1989,45.36,0.0402
03/20/1989,45.36,0.0402
03/21/1989,45.36,0.0402
03/21/1989,45.36,0.0402
03/22/1989,0.0,0.0402
03/22/1989,44.31,0.0402
03/23/1989,44.31,0.0402
03/23/1989,44.31,0.0402
03/27/1989,44.31,0.0402
03/27/1989,44.31,0.0402
03/28/1989,44.31,0.0402
03/28/1989,44.31,0.0402
03/29/1989,44.31,0.0402
03/29/1989,44.31,0.0402
03/30/1989,44.31,0.0402
03/30/1989,44.31,0.0402
03/31/1989,44.31,0.0402
03/31/1989,44.31,0.0402
04/03/1989,44.31,0.0402
04/03/1989,44.31,0.0402
04/04/1989,0.0,0.0402
04/04/1989,47.47,0.0402
04/05/1989,47.47,0.0402
04/05/1989,47.47,0.0402
04/06/1989,47.47,0.0402
04/06/1989,47.47,0.0402
04/07/1989,47.47,0.0402
04/07/1989,47.47,0.0402
04/10/1989,0.0,0.0402
04/10/1989,45.36,0.0402
04/11/1989,45.36,0.0402
04/11/1989,45.36,0.0402
04/12/1989,45.36,0.0402
04/12/1989,45.36,0.0402
04/13/1989,45.36,0.0402
04/13/1989,45.36,0.0402
04/14/1989,45.36,0.0402
04/14/1989,45.36,0.0402
04/17/1989,0.0,0.0402
04/17/1989,45.89,0.0402
04/18/1989,45.89,0.0402
04/18/1989,45.89,0.0402
04/19/1989,0.0,0.0402
04/19/1989,46.94,0.0402
04/20/1989,0.0,0.0402
04/20/1989,46.94,0.0402
04/21/1989,0.0,0.0402
04/21/1989,46.94,0.0402
04/24/1989,46.94,0.0402
04/24/1989,46.94,0.0402
04/25/1989,0.0,0.0402
04/25/1989,46.42,0.0402
04/26/1989,46.42,0.0402
04/26/1989,46.42,0.0402
04/27/1989,46.42,0.0402
04/27/1989,46.42,0.0402
04/28/1989,46.42,0.0402
04/28/1989,46.42,0.0402
05/01/1989,46.42,0.0402
05/01/1989,46.42,0.0402
05/02/1989,46.42,0.0402
05/02/1989,46.42,0.0402
05/03/1989,46.42,0.0402
05/03/1989,46.42,0.0402
05/04/1989,46.42,0.0402
05/04/1989,46.42,0.0402
05/05/1989,46.42,0.0402
05/05/1989,46.42,0.0402
05/08/1989,46.42,0.0402
05/08/1989,46.42,0.0402
05/09/1989,0.0,0.0402
05/09/1989,49.58,0.0402
05/10/1989,49.58,0.0402
05/10/1989,49.58,0.0402
05/11/1989,0.0,0.0402
05/11/1989,48.53,0.0402
05/12/1989,0.0,0.0402
05/12/1989,50.64,0.0402
05/15/1989,0.0,0.0402
05/15/1989,51.16,0.0402
05/16/1989,0.0,0.0402
05/16/1989,52.22,0.0402
05/17/1989,0.0,0.0402
05/17/1989,52.22,0.0402
05/18/1989,0.0,0.0402
05/18/1989,51.16,0.0402
05/19/1989,0.0,0.0402
05/19/1989,51.69,0.0402
05/22/1989,0.0,0.0402
05/22/1989,49.58,0.0402
05/23/1989,0.0,0.0402
05/23/1989,46.94,0.0402
05/24/1989,0.0,0.0402
05/24/1989,48.0,0.0402
05/25/1989,0.0,0.0402
05/25/1989,48.0,0.0402
05/26/1989,0.0,0.0402
05/26/1989,49.58,0.0402
05/30/1989,0.0,0.0402
05/30/1989,48.53,0.0402
05/31/1989,0.0,0.07221
05/31/1989,48.55,0.07221
06/01/1989,0.0,0.07221
06/01/1989,50.13,0.07221
06/02/1989,0.0,0.07221
06/02/1989,50.13,0.07221
06/05/1989,0.0,0.07221
06/05/1989,49.08,0.07221
06/06/1989,0.0,0.07221
06/06/1989,48.55,0.07221
06/07/1989,0.0,0.07221
06/07/1989,49.08,0.07221
06/08/1989,0.0,0.07221
06/08/1989,49.6,0.07221
06/09/1989,0.0,0.07221
06/09/1989,49.6,0.07221
06/12/1989,0.0,0.07221
06/12/1989,48.55,0.07221
06/13/1989,48.55,0.07221
06/13/1989,48.55,0.07221
06/14/1989,48.55,0.07221
06/14/1989,48.55,0.07221
06/15/1989,0.0,0.07221
06/15/1989,46.96,0.07221
06/16/1989,46.96,0.07221
06/16/1989,46.96,0.07221
06/19/1989,46.96,0.07221
06/19/1989,46.96,0.07221
06/20/1989,0.0,0.07221
06/20/1989,49.6,0.07221
06/21/1989,0.0,0.07221
06/21/1989,49.08,0.07221
06/22/1989,0.0,0.07221
06/22/1989,49.08,0.07221
06/23/1989,0.0,0.07221
06/23/1989,49.6,0.07221
06/26/1989,49.6,0.07221
06/26/1989,49.6,0.07221
06/27/1989,0.0,0.07221
06/27/1989,51.71,0.07221
06/28/1989,0.0,0.07221
06/28/1989,51.19,0.07221
06/29/1989,0.0,0.07221
06/29/1989,49.6,0.07221
06/30/1989,49.6,0.07221
06/30/1989,49.6,0.07221
07/03/1989,49.6,0.07221
07/03/1989,49.6,0.07221
07/05/1989,0.0,0.07221
07/05/1989,54.88,0.07221
07/06/1989,0.0,0.07221
07/06/1989,55.41,0.07221
07/07/1989,0.0,0.07221
07/07/1989,55.41,0.07221
07/10/1989,0.0,0.07221
07/10/1989,58.57,0.07221
07/11/1989,0.0,0.07221
07/11/1989,58.05,0.07221
07/12/1989,0.0,0.07221
07/12/1989,56.99,0.07221
07/13/1989,0.0,0.07221
07/13/1989,57.52,0.07221
07/14/1989,0.0,0.07221
07/14/1989,54.35,0.07221
07/17/1989,54.35,0.07221
07/17/1989,54.35,0.07221
07/18/1989,0.0,0.07221
07/18/1989,55.94,0.07221
07/19/1989,0.0,0.07221
07/19/1989,56.99,0.07221
07/20/1989,0.0,0.07221
07/20/1989,55.94,0.07221
07/21/1989,0.0,0.07221
07/21/1989,54.88,0.07221
07/24/1989,0.0,0.07221
07/24/1989,54.88,0.07221
07/25/1989,54.88,0.07221
07/25/1989,54.88,0.07221
07/26/1989,0.0,0.07221
07/26/1989,54.35,0.07221
07/27/1989,0.0,0.07221
07/27/1989,55.41,0.07221
07/28/1989,55.41,0.07221
07/28/1989,55.41,0.07221
07/31/1989,0.0,0.07221
07/31/1989,55.41,0.07221
08/01/1989,55.41,0.07221
08/01/1989,55.41,0.07221
08/02/1989,55.41,0.07221
08/02/1989,55.41,0.07221
08/03/1989,55.41,0.07221
