PSX,Phillips 66,
Date,Price,Annualized Dividend
04/12/2012,24.991011002484488,0.0
04/12/2012,25.554718017578125,0.0
04/13/2012,25.554728018270957,0.0
04/13/2012,27.80955696105957,0.0
04/16/2012,27.809547816944207,0.0
04/16/2012,27.471323013305664,0.0
04/17/2012,27.358586377374497,0.0
04/17/2012,27.057941436767578,0.0
04/18/2012,27.057941436767578,0.0
04/18/2012,27.057941436767578,0.0
04/19/2012,27.057941436767578,0.0
04/19/2012,27.057941436767578,0.0
04/20/2012,27.133087917704927,0.0
04/20/2012,27.298442840576172,0.0
04/23/2012,27.238327088441626,0.0
04/23/2012,26.817424774169922,0.0
04/24/2012,27.057931145318122,0.0
04/24/2012,26.118419647216797,0.0
04/25/2012,26.15599953370854,0.0
04/25/2012,26.118419647216797,0.0
04/26/2012,26.013194369899743,0.0
04/26/2012,26.268741607666016,0.0
04/27/2012,26.494232045872096,0.0
04/27/2012,25.63739776611328,0.0
04/30/2012,25.810265913387205,0.0
04/30/2012,25.59229850769043,0.0
05/01/2012,25.359300394732355,0.0
05/01/2012,24.62272071838379,0.0
05/02/2012,24.502462861466483,0.0
05/02/2012,24.051498413085938,0.0
05/03/2012,23.99889120486124,0.0
05/03/2012,23.593021392822266,0.0
05/04/2012,23.187149926818005,0.0
05/04/2012,22.66853904724121,0.0
05/07/2012,22.623441347662137,0.0
05/07/2012,22.059734344482422,0.0
05/08/2012,21.864310551450913,0.0
05/08/2012,22.623435974121094,0.0
05/09/2012,22.40547719596977,0.0
05/09/2012,24.41979217529297,0.0
05/10/2012,24.84068860249312,0.0
05/10/2012,24.41227149963379,0.0
05/11/2012,23.848565809149097,0.0
05/11/2012,23.92372703552246,0.0
05/14/2012,23.442696685970358,0.0
05/14/2012,23.5404052734375,0.0
05/15/2012,23.56295393621733,0.0
05/15/2012,23.803468704223633,0.0
05/16/2012,23.645631729298763,0.0
05/16/2012,24.12666130065918,0.0
05/17/2012,23.968823117181245,0.0
05/17/2012,23.495309829711914,0.0
05/18/2012,23.62308395511181,0.0
05/18/2012,23.58550262451172,0.0
05/21/2012,23.472761088034108,0.0
05/21/2012,24.194305419921875,0.0
05/22/2012,23.961301660834827,0.0
05/22/2012,23.773399353027344,0.0
05/23/2012,23.562957040849728,0.0
05/23/2012,23.60805320739746,0.0
05/24/2012,23.61557144000562,0.0
05/24/2012,23.39760398864746,0.0
05/25/2012,23.307407480063628,0.0
05/25/2012,23.525373458862305,0.0
05/29/2012,23.51034033475635,0.0
05/29/2012,23.307405471801758,0.0
05/30/2012,23.14205567514947,0.0
05/30/2012,22.878992080688477,0.0
05/31/2012,22.7436991986468,0.0
05/31/2012,22.570829391479492,0.0
06/01/2012,22.17246992786308,0.0
06/01/2012,22.48814582824707,0.0
06/04/2012,22.022153251356972,0.0
06/04/2012,22.195024490356445,0.0
06/05/2012,22.074769563140833,0.0
06/05/2012,22.473121643066406,0.0
06/06/2012,22.570830033061792,0.0
06/06/2012,23.698244094848633,0.0
06/07/2012,24.104113118669844,0.0
06/07/2012,23.92372703552246,0.0
06/08/2012,23.79595535952896,0.0
06/08/2012,24.141695022583008,0.0
06/11/2012,24.38972460932617,0.0
06/11/2012,24.502464294433594,0.0
06/12/2012,24.472399389979095,0.0
06/12/2012,25.171396255493164,0.0
06/13/2012,25.006048045934357,0.0
06/13/2012,24.6302433013916,0.0
06/14/2012,24.630234327905008,0.0
06/14/2012,25.20145606994629,0.0
06/15/2012,25.25407975925329,0.0
06/15/2012,26.23117446899414,0.0
06/18/2012,25.840332556408026,0.0
06/18/2012,25.449495315551758,0.0
06/19/2012,25.599817772367615,0.0
06/19/2012,25.449495315551758,0.0
06/20/2012,25.396880026360268,0.0
06/20/2012,26.050779342651367,0.0
06/21/2012,26.080845648524893,0.0
06/21/2012,25.163881301879883,0.0
06/22/2012,25.291656825989897,0.0
06/22/2012,25.674976348876953,0.0
06/25/2012,25.32171408803118,0.0
06/25/2012,24.705394744873047,0.0
06/26/2012,24.660298433945595,0.0
06/26/2012,24.487428665161133,0.0
06/27/2012,24.509976294809316,0.0
06/27/2012,23.96881675720215,0.0
06/28/2012,23.705758692990976,0.0
06/28/2012,24.28449821472168,0.0
06/29/2012,24.637755117940674,0.0
06/29/2012,24.983497619628906,0.0
07/02/2012,25.246558297346755,0.0
07/02/2012,25.554718017578125,0.0
07/03/2012,25.56975053933429,0.0
07/03/2012,25.735105514526367,0.0
07/05/2012,25.426942469748862,0.0
07/05/2012,25.40439224243164,0.0
07/06/2012,25.103746054837945,0.0
07/06/2012,25.081195831298828,0.0
07/09/2012,24.863236556167514,0.0
07/09/2012,24.991008758544922,0.0
07/10/2012,25.156363573333504,0.0
07/10/2012,24.562591552734375,0.0
07/11/2012,24.547561849363067,0.0
07/11/2012,25.163881301879883,0.0
07/12/2012,24.915852800896257,0.0
07/12/2012,24.810625076293945,0.0
07/13/2012,25.261585989033012,0.0
07/13/2012,26.2612247467041,0.0
07/16/2012,26.07333494555364,0.0
07/16/2012,27.13310432434082,0.0
07/17/2012,27.178197441307884,0.0
07/17/2012,27.576549530029297,0.0
07/18/2012,27.54648645842909,0.0
07/18/2012,27.884708404541016,0.0
07/19/2012,27.899816524507262,0.2
07/19/2012,26.902315139770508,0.2
07/20/2012,26.58493015985418,0.2
07/20/2012,26.690725326538086,0.2
07/23/2012,26.290216815904873,0.2
07/23/2012,26.46402359008789,0.2
07/24/2012,26.637821370382635,0.2
07/24/2012,26.62270736694336,0.2
07/25/2012,26.902316868087016,0.2
