ENB,Enbridge Inc,
Date,Price,Dividend,Annualized Dividend
06/24/1985,0.0,0.0,0.0
06/25/1985,0.4782803356647492,0.0,0.0
06/28/1985,0.0,0.0,0.0
07/03/1985,0.0,0.0,0.0
07/05/1985,0.4802402257919312,0.0,0.0
07/16/1985,0.0,0.0,0.0
07/17/1985,0.4998419284820556,0.0,0.0
07/24/1985,0.0,0.0,0.0
07/25/1985,0.0,0.0,0.0
07/26/1985,0.0,0.0,0.0
07/29/1985,0.49004119634628296,0.0,0.0
08/01/1985,0.0,0.0,0.0
08/02/1985,0.501802384853363,0.0,0.0
08/08/1985,0.0,0.0,0.0
08/09/1985,0.0,0.0,0.0
08/12/1985,0.0,0.0,0.0
08/13/1985,0.4959216415882111,0.0,0.0
08/15/1985,0.0,0.0,0.0
08/20/1985,0.0,0.0,0.0
08/30/1985,0.0,0.0,0.0
09/03/1985,0.47435998916625977,0.0,0.0
09/04/1985,0.0,0.0,0.0
09/05/1985,0.48220062255859375,0.0,0.0
09/09/1985,0.0,0.0,0.0
09/10/1985,0.0,0.0,0.0
09/13/1985,0.0,0.0,0.0
09/16/1985,0.0,0.0,0.0
09/23/1985,0.0,0.0,0.0
09/24/1985,0.0,0.0,0.0
10/01/1985,0.0,0.0,0.0
10/08/1985,0.0,0.0,0.0
10/14/1985,0.0,0.0,0.0
10/15/1985,0.47632023692131037,0.0,0.0
10/25/1985,0.0,0.0,0.0
11/01/1985,0.0,0.0,0.0
11/15/1985,0.0,0.0,0.0
11/18/1985,0.5174833536148071,0.0,0.0
11/19/1985,0.0,0.0,0.0
11/20/1985,0.5096430778503418,0.0,0.0
11/21/1985,0.0,0.0,0.0
11/25/1985,0.0,0.0,0.0
11/26/1985,0.5135632157325745,0.0,0.0
11/27/1985,0.0,0.0,0.0
11/29/1985,0.5057229399681091,0.0,0.0
12/03/1985,0.0,0.0,0.0
12/05/1985,0.0,0.0,0.0
12/09/1985,0.0,0.0,0.0
12/10/1985,0.493961364030838,0.0,0.0
12/12/1985,0.0,0.0,0.0
12/16/1985,0.0,0.0,0.0
12/17/1985,0.4841608703136444,0.0,0.0
12/19/1985,0.0,0.0,0.0
12/20/1985,0.48612123727798456,0.0,0.0
01/02/1986,0.0,0.0,0.0
01/06/1986,0.0,0.0,0.0
01/09/1986,0.0,0.0,0.0
01/17/1986,0.0,0.0,0.0
01/27/1986,0.0,0.0,0.0
01/28/1986,0.0,0.0,0.0
01/29/1986,0.4645592868328094,0.0,0.0
01/31/1986,0.0,0.0,0.0
02/03/1986,0.4567182958126068,0.0,0.0
02/05/1986,0.0,0.0,0.0
02/06/1986,0.0,0.0,0.0
02/07/1986,0.0,0.0,0.0
02/10/1986,0.0,0.0,0.0
02/11/1986,0.0,0.0,0.0
02/12/1986,0.0,0.0,0.0
02/13/1986,0.4273160696029663,0.0,0.0
03/04/1986,0.0,0.0,0.0
03/05/1986,0.43515646457672125,0.0,0.0
03/06/1986,0.0,0.0,0.0
03/07/1986,0.0,0.0,0.0
03/10/1986,0.42927613854408264,0.0,0.0
03/12/1986,0.0,0.0,0.0
03/13/1986,0.44299736618995667,0.0,0.0
03/18/1986,0.0,0.0,0.0
03/19/1986,0.0,0.0,0.0
03/20/1986,0.46259909868240356,0.0,0.0
03/24/1986,0.0,0.0,0.0
03/25/1986,0.0,0.0,0.0
03/26/1986,0.446917474269867,0.0,0.0
03/27/1986,0.0,0.0,0.0
03/31/1986,0.0,0.0,0.0
04/01/1986,0.0,0.0,0.0
04/02/1986,0.4978819191455841,0.0,0.0
04/03/1986,0.0,0.0,0.0
04/04/1986,0.0,0.0,0.0
04/08/1986,0.0,0.0,0.0
04/09/1986,0.0,0.0,0.0
04/10/1986,0.0,0.0,0.0
04/11/1986,0.0,0.0,0.0
04/21/1986,0.0,0.0,0.0
04/22/1986,0.49200120568275457,0.0,0.0
04/23/1986,0.0,0.0,0.0
04/24/1986,0.0,0.0,0.0
05/02/1986,0.0,0.0,0.0
05/15/1986,0.0,0.0,0.0
05/22/1986,0.0,0.0,0.0
05/27/1986,0.0,0.0,0.0
05/28/1986,0.0,0.0,0.0
