MSFT,Microsoft Corporation,
Date,Price,Dividend,Annualized Dividend
08/26/1986,0.06490924378752744,0.0,0.0
08/27/1986,0.06435920298099518,0.0,0.0
08/28/1986,0.06435920298099518,0.0,0.0
08/29/1986,0.06435921518671521,0.0,0.0
09/02/1986,0.06270843090144941,0.0,0.0
09/03/1986,0.06050829196351397,0.0,0.0
09/04/1986,0.06050828467573786,0.0,0.0
09/05/1986,0.06435921629402155,0.0,0.0
09/08/1986,0.06710938515750085,0.0,0.0
09/09/1986,0.06655937819691468,0.0,0.0
09/10/1986,0.06765942578489613,0.0,0.0
09/11/1986,0.06655940616561977,0.0,0.0
09/12/1986,0.0638085013961914,0.0,0.0
09/15/1986,0.06215840979565377,0.0,0.0
09/16/1986,0.06325849145650864,0.0,0.0
09/17/1986,0.06325847253531656,0.0,0.0
09/18/1986,0.06490924042806677,0.0,0.0
09/19/1986,0.06545928120613098,0.0,0.0
09/22/1986,0.0654592678583071,0.0,0.0
09/23/1986,0.06490923879032688,0.0,0.0
09/24/1986,0.06600934684403187,0.0,0.0
09/25/1986,0.0651843056844266,0.0,0.0
09/26/1986,0.06380856782197952,0.0,0.0
09/29/1986,0.0638085013961914,0.0,0.0
09/30/1986,0.06215837970376015,0.0,0.0
10/01/1986,0.06215841499524362,0.0,0.0
10/02/1986,0.06160837411880493,0.0,0.0
10/03/1986,0.06160833913961639,0.0,0.0
10/06/1986,0.06380854271404823,0.0,0.0
10/07/1986,0.06710941050320288,0.0,0.0
10/08/1986,0.06848450776026281,0.0,0.0
10/09/1986,0.07040963443814069,0.0,0.0
10/10/1986,0.07260981017098882,0.0,0.0
10/13/1986,0.07591067380239971,0.0,0.0
10/14/1986,0.07315981990802767,0.0,0.0
10/15/1986,0.07370988140692286,0.0,0.0
10/16/1986,0.07701075822114944,0.0,0.0
10/17/1986,0.07701078105160342,0.0,0.0
10/20/1986,0.07921088083876869,0.0,0.0
10/21/1986,0.08031100454525551,0.0,0.0
10/22/1986,0.08306120336055756,0.0,0.0
10/23/1986,0.08306120336055756,0.0,0.0
10/24/1986,0.08306121521363184,0.0,0.0
10/27/1986,0.08306121034544092,0.0,0.0
10/28/1986,0.08526200584172233,0.0,0.0
10/29/1986,0.08718714989742986,0.0,0.0
10/30/1986,0.0847119667676795,0.0,0.0
10/31/1986,0.08636209696908746,0.0,0.0
11/03/1986,0.08581208072011522,0.0,0.0
11/04/1986,0.08691209460905222,0.0,0.0
11/05/1986,0.0902123883004594,0.0,0.0
11/06/1986,0.0957134006299691,0.0,0.0
11/07/1986,0.09791350760631587,0.0,0.0
11/10/1986,0.09736353174448592,0.0,0.0
11/11/1986,0.09406328201293945,0.0,0.0
11/12/1986,0.09406328201293945,0.0,0.0
11/13/1986,0.09406329622507117,0.0,0.0
11/14/1986,0.09268754621976431,0.0,0.0
11/17/1986,0.09351260398489523,0.0,0.0
11/18/1986,0.0940633087661098,0.0,0.0
11/19/1986,0.08911230155056558,0.0,0.0
11/20/1986,0.09241250337821816,0.0,0.0
11/21/1986,0.10011370245128837,0.0,0.0
11/24/1986,0.10286393212700971,0.0,0.0
11/25/1986,0.11111523583937927,0.0,0.0
11/26/1986,0.11221526134905342,0.0,0.0
11/28/1986,0.11111520469782835,0.0,0.0
12/01/1986,0.10946507484888557,0.0,0.0
12/02/1986,0.10781493782997131,0.0,0.0
12/03/1986,0.10781495388102551,0.0,0.0
12/04/1986,0.1069898755291555,0.0,0.0
12/05/1986,0.10836498325833262,0.0,0.0
12/08/1986,0.10781496363391055,0.0,0.0
12/09/1986,0.10671485647827239,0.0,0.0
12/10/1986,0.10616483623563448,0.0,0.0
12/11/1986,0.1069898744087683,0.0,0.0
12/12/1986,0.10781491360227324,0.0,0.0
12/15/1986,0.10396467659829989,0.0,0.0
12/16/1986,0.10176386048377593,0.0,0.0
12/17/1986,0.10231391008715006,0.0,0.0
12/18/1986,0.10341399854161024,0.0,0.0
12/19/1986,0.10451471860191082,0.0,0.0
12/22/1986,0.10671485641592658,0.0,0.0
12/23/1986,0.10781492729794452,0.0,0.0
12/24/1986,0.10891505556156249,0.0,0.0
12/26/1986,0.10864000238884149,0.0,0.0
12/29/1986,0.10836495890703075,0.0,0.0
12/30/1986,0.10396468293675579,0.0,0.0
12/31/1986,0.10506473907758017,0.0,0.0
01/02/1987,0.10616484630099139,0.0,0.0
01/05/1987,0.10506473701528057,0.0,0.0
01/06/1987,0.11111518726736322,0.0,0.0
01/07/1987,0.11276533345437065,0.0,0.0
01/08/1987,0.11936642019115694,0.0,0.0
01/09/1987,0.12266669685275851,0.0,0.0
01/12/1987,0.12761763158004497,0.0,0.0
01/13/1987,0.134768840920639,0.0,0.0
01/14/1987,0.13201799988746643,0.0,0.0
01/15/1987,0.13201804156304256,0.0,0.0
01/16/1987,0.1391691110145366,0.0,0.0
01/19/1987,0.1358689339657769,0.0,0.0
01/20/1987,0.1408192750120973,0.0,0.0
01/21/1987,0.14301945483173878,0.0,0.0
01/22/1987,0.1490705349783046,0.0,0.0
01/23/1987,0.1639228900740932,0.0,0.0
01/26/1987,0.1496205848319558,0.0,0.0
01/27/1987,0.15127070946844198,0.0,0.0
01/28/1987,0.15732176714531165,0.0,0.0
01/29/1987,0.15787183406607647,0.0,0.0
01/30/1987,0.15127070290980665,0.0,0.0
02/02/1987,0.1608970131888949,0.0,0.0
02/03/1987,0.16062201143750365,0.0,0.0
02/04/1987,0.15787185281329208,0.0,0.0
02/05/1987,0.15842187745243827,0.0,0.0
02/06/1987,0.1573217609954019,0.0,0.0
02/09/1987,0.15127064581986793,0.0,0.0
02/10/1987,0.150170610444862,0.0,0.0
02/11/1987,0.15127068189552734,0.0,0.0
02/12/1987,0.15787182686616857,0.0,0.0
02/13/1987,0.1688732184679551,0.0,0.0
02/17/1987,0.16722313199986663,0.0,0.0
02/18/1987,0.16832321411204496,0.0,0.0
02/19/1987,0.15732178855451895,0.0,0.0
02/20/1987,0.15127065006706208,0.0,0.0
02/23/1987,0.14962055631634574,0.0,0.0
02/24/1987,0.15897186262064483,0.0,0.0
02/25/1987,0.16667310507157862,0.0,0.0
02/26/1987,0.1639228765560091,0.0,0.0
02/27/1987,0.16997335635857203,0.0,0.0
03/02/1987,0.16887326816836432,0.0,0.0
03/03/1987,0.16392290592193604,0.0,0.0
03/04/1987,0.16392284167159318,0.0,0.0
03/05/1987,0.17547437211488257,0.0,0.0
03/06/1987,0.18372565953088743,0.0,0.0
03/09/1987,0.18317564087891927,0.0,0.0
03/10/1987,0.17987475351779947,0.0,0.0
03/11/1987,0.18812595307826996,0.0,0.0
03/12/1987,0.18812598168095263,0.0,0.0
03/13/1987,0.1889509676873474,0.0,0.0
03/16/1987,0.181524772677037,0.0,0.0
03/17/1987,0.18097480894514487,0.0,0.0
03/18/1987,0.1881260408165516,0.0,0.0
03/19/1987,0.19692721557588452,0.0,0.0
03/20/1987,0.2007775373861099,0.0,0.0
03/23/1987,0.19857736481569685,0.0,0.0
03/24/1987,0.1925262975746272,0.0,0.0
03/25/1987,0.19857739034189897,0.0,0.0
03/26/1987,0.19775227241835247,0.0,0.0
03/27/1987,0.1974773412937164,0.0,0.0
03/30/1987,0.20187769232154792,0.0,0.0
03/31/1987,0.21012893474517672,0.0,0.0
04/01/1987,0.212879659580204,0.0,0.0
04/02/1987,0.20352836739259064,0.0,0.0
04/03/1987,0.20902880800107598,0.0,0.0
04/06/1987,0.21948012462256344,0.0,0.0
04/07/1987,0.21838003569718034,0.0,0.0
04/08/1987,0.20682869839375687,0.0,0.0
04/09/1987,0.2128796977091929,0.0,0.0
04/10/1987,0.20902875615136848,0.0,0.0
04/13/1987,0.2101288022553563,0.0,0.0
04/14/1987,0.2035283113066369,0.0,0.0
04/15/1987,0.20847869359771534,0.0,0.0
