ELP,Companhia Paranaense de Energia,
Date,Price,Annualized Dividend
06/03/1998,2.033955373581807,0.0
06/03/1998,1.9007797241210938,0.0
06/04/1998,1.876566470044214,0.0
06/04/1998,1.9249939918518066,0.0
06/05/1998,1.9492077527556029,0.0
06/05/1998,1.9249939918518066,0.0
06/08/1998,1.924993702998528,0.0
06/08/1998,1.8886730670928955,0.0
06/09/1998,1.9249935634674564,0.0
06/09/1998,1.8765660524368286,0.0
06/10/1998,1.7676042145696178,0.0
06/10/1998,1.7554973363876343,0.0
06/11/1998,1.7676039605900862,0.0
06/11/1998,1.6707489490509033,0.0
06/12/1998,1.6223215050167508,0.0
06/12/1998,1.6344283819198608,0.0
06/15/1998,1.6465358195766326,0.0
06/15/1998,1.5012532472610474,0.0
06/16/1998,1.5738939046859741,0.0
06/16/1998,1.5738939046859741,0.0
06/17/1998,1.670748529368884,0.0
06/17/1998,1.7676035165786743,0.0
06/18/1998,1.7676041613162403,0.0
06/18/1998,1.7191766500473022,0.0
06/19/1998,1.719176540438761,0.0
06/19/1998,1.8039246797561646,0.0
06/22/1998,1.8281386923789977,0.0
06/22/1998,1.816031813621521,0.0
06/23/1998,1.816031813621521,0.0
06/23/1998,1.816031813621521,0.0
06/24/1998,1.7918176051007202,0.0
06/24/1998,1.8281382322311401,0.0
06/25/1998,1.8160319074671318,0.0
06/25/1998,1.707069993019104,0.0
06/26/1998,1.7433904743880675,0.0
06/26/1998,1.6828560829162598,0.0
06/29/1998,1.7070696900288265,0.0
06/29/1998,1.7433903217315674,0.0
06/30/1998,1.7191769802892531,0.0
06/30/1998,1.7918182611465454,0.0
07/01/1998,1.816031556801508,0.0
07/01/1998,1.8039246797561646,0.0
07/02/1998,1.7918176456373567,0.0
07/02/1998,1.7797107696533203,0.0
07/06/1998,1.7797114264290288,0.0
07/06/1998,1.9249939918518066,0.0
07/07/1998,1.9371001664982286,0.0
07/07/1998,2.0823826789855957,0.0
07/08/1998,2.0823823984931495,0.0
07/08/1998,2.058168649673462,0.0
07/09/1998,2.0581689269043677,0.0
07/09/1998,2.0823826789855957,0.0
07/10/1998,2.0823823984931495,0.0
07/10/1998,2.058168649673462,0.0
07/13/1998,2.058169295988887,0.0
07/13/1998,2.00974178314209,0.0
07/14/1998,1.997634689013163,0.0
07/14/1998,2.1792378425598145,0.0
07/15/1998,2.179237643441001,0.0
07/15/1998,2.20345139503479,0.0
07/16/1998,2.2276653349399567,0.0
07/16/1998,2.3245203495025635,0.0
07/17/1998,2.348733334792288,0.0
07/17/1998,2.3003058433532715,0.0
07/20/1998,2.30030648169979,0.0
07/20/1998,2.2518789768218994,0.0
07/21/1998,2.2760926498161567,0.0
07/21/1998,2.20345139503479,0.0
07/22/1998,2.203451314668977,0.0
07/22/1998,2.1550238132476807,0.0
07/23/1998,2.142916679382324,0.0
07/23/1998,2.142916679382324,0.0
07/24/1998,2.1671308112698933,0.0
07/24/1998,2.0823826789855957,0.0
07/27/1998,2.0823831975460054,0.0
07/27/1998,1.9371006488800049,0.0
07/28/1998,1.9613139629364016,0.0
07/28/1998,1.9613139629364014,0.0
07/29/1998,1.9855279651555149,0.0
07/29/1998,2.130810499191284,0.0
07/30/1998,2.1187031871817084,0.0
07/30/1998,2.1550238132476807,0.0
07/31/1998,2.167131096467205,0.0
07/31/1998,2.1065967082977295,0.0
08/03/1998,2.0944892729029934,0.0
08/03/1998,2.058168649673462,0.0
08/04/1998,2.0460623641686935,0.0
08/04/1998,1.9734210968017578,0.0
08/05/1998,1.9613141835846517,0.0
08/05/1998,1.9492073059082031,0.0
08/06/1998,1.9734208392508237,0.0
08/06/1998,1.9613139629364014,0.0
08/07/1998,1.9492074602689498,0.0
08/07/1998,1.8886730670928955,0.0
08/10/1998,1.8644590940740373,0.0
08/10/1998,1.7433903217315674,0.0
08/11/1998,1.7191764189646794,0.0
08/11/1998,1.5738939046859741,0.0
08/12/1998,1.5981076764696427,0.0
08/12/1998,1.5860008001327515,0.0
08/13/1998,1.5981077512105306,0.0
08/13/1998,1.6344283819198608,0.0
08/14/1998,1.6465357542037966,0.0
08/14/1998,1.6465357542037964,0.0
08/17/1998,1.622321448542855,0.0
08/17/1998,1.5981076955795288,0.0
08/18/1998,1.6223214094455425,0.0
08/18/1998,1.5738939046859741,0.0
08/19/1998,1.5981079687283735,0.0
08/19/1998,1.5375735759735107,0.0
08/20/1998,1.4528256038139606,0.0
08/20/1998,1.4043980836868286,0.0
08/21/1998,1.3801836450144929,0.0
08/21/1998,1.283328652381897,0.0
08/24/1998,1.3075425833174328,0.0
08/24/1998,1.247008204460144,0.0
08/25/1998,1.2833290590959436,0.0
08/25/1998,1.2349015474319458,0.0
08/26/1998,1.2349014356732368,0.0
08/26/1998,1.1622601747512817,0.0
08/27/1998,1.1380463478177092,0.0
08/27/1998,1.0411913394927979,0.0
08/28/1998,1.0411914939230138,0.0
08/28/1998,1.065405249595642,0.0
08/31/1998,1.065405249595642,0.0
08/31/1998,1.065405249595642,0.0
09/01/1998,1.0654053169748057,0.0
09/01/1998,1.1138328313827515,0.0
09/02/1998,1.138046194525326,0.0
09/02/1998,1.029084324836731,0.0
09/03/1998,1.0290846839929237,0.0
09/03/1998,0.9443365335464478,0.0
09/04/1998,0.9564432688057422,0.0
09/04/1998,0.7748401165008545,0.0
09/08/1998,0.799053680701334,0.0
09/08/1998,0.7385193109512329,0.0
09/09/1998,0.7385196819387633,0.0
09/09/1998,0.7021990418434143,0.0
09/10/1998,0.6295576516319724,0.0
09/10/1998,0.6174507737159729,0.0
09/11/1998,0.6295577883720398,0.0
09/11/1998,0.6779853105545044,0.0
09/14/1998,0.7021988384307377,0.0
09/14/1998,0.7627332210540771,0.0
09/15/1998,0.7869470837604569,0.0
09/15/1998,1.004870891571045,0.0
09/16/1998,1.0654050915740256,0.0
09/16/1998,1.0411913394927979,0.0
09/17/1998,0.9201227281151749,0.0
09/17/1998,0.9927639961242676,0.0
09/18/1998,0.9927640453628872,0.0
09/18/1998,1.1138328313827515,0.0
09/21/1998,1.0896188436552536,0.0
09/21/1998,1.0411913394927979,0.0
09/22/1998,1.0654051038953993,0.0
09/22/1998,1.1985807418823242,0.0
09/23/1998,1.2591150428066733,0.0
09/23/1998,1.440718173980713,0.0
09/24/1998,1.5738941539417612,0.0
09/24/1998,1.331756591796875,0.0
09/25/1998,1.3075428690229143,0.0
09/25/1998,1.2712222337722778,0.0
09/28/1998,1.3317564157682045,0.0
09/28/1998,1.2954357862472534,0.0
09/29/1998,1.331756591796875,0.0
09/29/1998,1.331756591796875,0.0
09/30/1998,1.2954359370119433,0.0
09/30/1998,1.2349015474319458,0.0
10/01/1998,1.1622601747512817,0.0
10/01/1998,1.1622601747512817,0.0
10/02/1998,1.1864739656448364,0.0
10/02/1998,1.1864739656448364,0.0
10/05/1998,1.2106876219472578,0.0
10/05/1998,1.1259394884109497,0.0
10/06/1998,1.1501533340434638,0.0
10/06/1998,1.1864739656448364,0.0
10/07/1998,1.1622601133404358,0.0
10/07/1998,1.1985807418823242,0.0
10/08/1998,1.1501534671887108,0.0
10/08/1998,1.1138328313827515,0.0
10/09/1998,1.1380464568430062,0.0
10/09/1998,1.1864739656448364,0.0
10/12/1998,1.2349016467730205,0.0
10/12/1998,1.3075429201126099,0.0
10/13/1998,1.2833290590959436,0.0
10/13/1998,1.2349015474319458,0.0
10/14/1998,1.1864737677574158,0.0
10/14/1998,1.210687518119812,0.0
10/15/1998,1.1864738593230377,0.0
10/15/1998,1.3438632488250732,0.0
10/16/1998,1.3438630227772694,0.0
10/16/1998,1.283328652381897,0.0
10/19/1998,1.259115116016285,0.0
10/19/1998,1.3438632488250732,0.0
10/20/1998,1.355970064798991,0.0
10/20/1998,1.4528250694274902,0.0
10/21/1998,1.440718628883362,0.0
10/21/1998,1.5133599042892456,0.0
10/22/1998,1.513359542111404,0.0
10/22/1998,1.5860008001327515,0.0
10/23/1998,1.610214617103338,0.0
10/23/1998,1.549680233001709,0.0
10/26/1998,1.5738938252131145,0.0
10/26/1998,1.4528250694274902,0.0
10/27/1998,1.477039149252035,0.0
10/27/1998,1.4286116361618042,0.0
10/28/1998,1.4528253927069195,0.0
10/28/1998,1.4286116361618042,0.0
10/29/1998,1.4528254281103086,0.0
10/29/1998,1.368077278137207,0.0
10/30/1998,1.3801844369980598,0.0
10/30/1998,1.5012532472610474,0.0
11/02/1998,1.477038930762898,0.0
11/02/1998,1.5981076955795288,0.0
11/03/1998,1.5981076955795288,0.0
11/03/1998,1.5981076955795288,0.0
11/04/1998,1.719176872402218,0.0
11/04/1998,1.707069993019104,0.0
11/05/1998,1.6949629627801235,0.0
11/05/1998,1.8523523807525635,0.0
11/06/1998,1.8523522969215147,0.0
11/06/1998,1.8765660524368286,0.0
11/09/1998,1.8765653771896884,0.0
11/09/1998,1.7676035165786743,0.0
11/10/1998,1.707069993019104,0.0
11/10/1998,1.707069993019104,0.0
11/11/1998,1.7191770374774935,0.0
11/11/1998,1.6465357542037964,0.0
11/12/1998,1.6223214543054976,0.0
11/12/1998,1.5254664421081543,0.0
11/13/1998,1.5375731984774272,0.0
11/13/1998,1.4528250694274902,0.0
11/16/1998,1.4770389821794296,0.0
11/16/1998,1.6344283819198608,0.0
11/17/1998,1.6586422778509713,0.0
11/17/1998,1.7312835454940796,0.0
11/18/1998,1.7554971715747911,0.0
11/18/1998,1.8039246797561646,0.0
11/19/1998,1.7797112693177892,0.0
11/19/1998,1.707069993019104,0.0
11/20/1998,1.719176701841683,0.0
11/20/1998,1.7554973363876343,0.0
11/23/1998,1.7797109256654777,0.0
11/23/1998,1.8039246797561646,0.0
11/24/1998,1.7554966431774506,0.0
11/24/1998,1.7676035165786743,0.0
11/25/1998,1.79181790813323,0.0
11/25/1998,1.8765660524368286,0.0
11/27/1998,1.864459162173064,0.0
11/27/1998,1.9492073059082031,0.0
11/30/1998,1.924993702998528,0.0
11/30/1998,1.8886730670928955,0.0
12/01/1998,1.8160317272975526,0.0
12/01/1998,1.7554973363876343,0.0
12/02/1998,1.7433904056817713,0.0
12/02/1998,1.7191766500473022,0.0
12/03/1998,1.6465358195766326,0.0
12/03/1998,1.5012532472610474,0.0
12/04/1998,1.5375733131712135,0.0
12/04/1998,1.5981076955795288,0.0
12/07/1998,1.6102151125669482,0.0
12/07/1998,1.6465357542037964,0.0
12/08/1998,1.670749012629191,0.0
12/08/1998,1.6344283819198608,0.0
12/09/1998,1.622321367263794,0.0
12/09/1998,1.622321367263794,0.0
12/10/1998,1.622321443281312,0.0
12/10/1998,1.6707489490509033,0.0
12/11/1998,1.6465352015061812,0.0
12/11/1998,1.5981076955795288,0.0
12/14/1998,1.5738938035083416,0.0
12/14/1998,1.440718173980713,0.0
12/15/1998,1.428611686407042,0.0
12/15/1998,1.4649323225021362,0.0
12/16/1998,1.489145987624422,0.0
12/16/1998,1.3196496963500977,0.0
12/17/1998,1.2954355264609714,0.0
12/17/1998,1.283328652381897,0.0
12/18/1998,1.2833290625055995,0.0
12/18/1998,1.3196496963500977,0.0
12/21/1998,1.3438634213648344,0.0
12/21/1998,1.3801840543746948,0.0
12/22/1998,1.380184382200241,0.0
12/22/1998,1.3559706211090088,0.0
12/23/1998,1.380184171613583,0.0
12/23/1998,1.4649323225021362,0.0
12/24/1998,1.4407180000524051,0.0
12/24/1998,1.4770386219024658,0.0
12/28/1998,1.464932198064369,0.0
12/28/1998,1.3801840543746948,0.0
12/29/1998,1.3559706211090088,0.0
12/29/1998,1.3559706211090088,0.0
12/30/1998,1.4165046873845553,0.0
12/30/1998,1.3801840543746948,0.0
12/31/1998,1.3801840543746948,0.0
12/31/1998,1.3801840543746948,0.0
01/04/1999,1.4043980836868286,0.0
01/04/1999,1.4043980836868286,0.0
01/05/1999,1.4286116361618042,0.0
01/05/1999,1.4286116361618042,0.0
01/06/1999,1.4286114986126242,0.0
01/06/1999,1.4165046215057373,0.0
01/07/1999,1.380184156704793,0.0
01/07/1999,1.368077278137207,0.0
01/08/1999,1.416504830121994,0.0
01/08/1999,1.3075429201126099,0.0
01/11/1999,1.3438631673850636,0.0
01/11/1999,1.2227944135665894,0.0
01/12/1999,1.1864741381178512,0.0
01/12/1999,1.1380466222763062,0.0
01/13/1999,0.8232677757740021,0.0
01/13/1999,0.9685503244400024,0.0
01/14/1999,0.9564435312876831,0.0
01/14/1999,0.8959091305732727,0.0
01/15/1999,0.9685502401212367,0.0
01/15/1999,0.9927639961242676,0.0
01/19/1999,1.004870936870575,0.0
01/19/1999,0.9080159068107605,0.0
01/20/1999,0.9322295604567779,0.0
01/20/1999,0.9201226830482483,0.0
01/21/1999,0.9201226383447646,0.0
01/21/1999,0.7748401165008545,0.0
01/22/1999,0.7748400975787451,0.0
01/22/1999,0.7627332210540771,0.0
01/25/1999,0.7869470485469751,0.0
01/25/1999,0.6900920271873474,0.0
01/26/1999,0.7385194680047414,0.0
01/26/1999,0.7627332210540771,0.0
01/27/1999,0.7869468067513138,0.0
01/27/1999,0.7385193109512329,0.0
01/28/1999,0.7627332210540771,0.0
01/28/1999,0.7627332210540771,0.0
01/29/1999,0.7748401165008544,0.0
01/29/1999,0.7748401165008545,0.0
02/01/1999,0.7990536444807705,0.0
02/01/1999,0.8838017582893372,0.0
02/02/1999,0.8959089230887497,0.0
02/02/1999,0.9564433097839355,0.0
02/03/1999,0.9564434218406678,0.0
02/03/1999,0.9080159068107605,0.0
02/04/1999,0.8959091305732728,0.0
02/04/1999,0.8959091305732727,0.0
02/05/1999,0.9080158056397187,0.0
02/05/1999,0.9201226830482483,0.0
02/08/1999,0.9080155050917847,0.0
02/08/1999,0.8838017582893372,0.0
02/09/1999,0.8838017582893372,0.0
02/09/1999,0.8838017582893372,0.0
02/10/1999,0.8838020457497126,0.0
02/10/1999,0.9564433097839355,0.0
02/11/1999,0.9806570883454948,0.0
02/11/1999,1.0532983541488647,0.0
02/12/1999,1.029084324836731,0.0
02/12/1999,1.029084324836731,0.0
02/16/1999,1.0169775485992432,0.0
02/16/1999,1.0169775485992432,0.0
02/17/1999,1.0048709616065026,0.0
02/17/1999,0.9685503244400024,0.0
02/18/1999,0.9806572034955026,0.0
02/18/1999,0.9685503244400024,0.0
02/19/1999,0.9806569814682008,0.0
02/19/1999,0.9806569814682007,0.0
02/22/1999,0.9685503244400024,0.0
02/22/1999,0.9685503244400024,0.0
02/23/1999,0.9564433949334281,0.0
02/23/1999,0.9322296380996704,0.0
02/24/1999,0.9201227855682373,0.0
02/24/1999,0.9080159068107605,0.0
02/25/1999,0.9201228908590369,0.0
02/25/1999,0.8959091305732727,0.0
02/26/1999,0.8474814063972897,0.0
02/26/1999,0.8716951608657837,0.0
03/01/1999,0.8838022504303907,0.0
03/01/1999,0.8959091305732727,0.0
03/02/1999,0.895908750806536,0.0
03/02/1999,0.8474812507629395,0.0
03/03/1999,0.8474814472064166,0.0
03/03/1999,0.8595883250236511,0.0
03/04/1999,0.8838021710515023,0.0
03/04/1999,0.9685503244400024,0.0
03/05/1999,1.0654052317827598,0.0
03/05/1999,1.0532983541488647,0.0
03/08/1999,1.0654052317827598,0.0
03/08/1999,1.0532983541488647,0.0
03/09/1999,1.004870447359587,0.0
03/09/1999,1.1501529216766357,0.0
03/10/1999,1.12329225225763,0.025
03/10/1999,1.1110825538635254,0.025
03/11/1999,1.1232920540703666,0.025
03/11/1999,1.0988726615905762,0.025
03/12/1999,1.0500338929040092,0.025
03/12/1999,1.0256145000457764,0.025
03/15/1999,1.0378243223480557,0.025
03/15/1999,1.1232922077178955,0.025
03/16/1999,1.1232919595679458,0.025
03/16/1999,1.1965501308441162,0.025
03/17/1999,1.1843408451360815,0.025
03/17/1999,1.2453893423080444,0.025
03/18/1999,1.2575985535427376,0.025
03/18/1999,1.318647027015686,0.025
03/19/1999,1.3186474149877376,0.025
03/19/1999,1.3430668115615845,0.025
03/22/1999,1.3674861313006201,0.025
03/22/1999,1.3308570384979248,0.025
03/23/1999,1.3497020562489828,0.165
03/23/1999,1.336969017982483,0.165
03/24/1999,1.3242357969284058,0.165
03/24/1999,1.3242357969284058,0.165
03/25/1999,1.4261001348495483,0.165
03/25/1999,1.4261001348495483,0.165
03/26/1999,1.4260997598821468,0.165
03/26/1999,1.400633692741394,0.165
03/29/1999,1.4133667263117704,0.165
03/29/1999,1.400633692741394,0.165
03/30/1999,1.527964287445325,0.165
03/30/1999,1.5152312517166138,0.165
03/31/1999,1.4897653609514234,0.165
03/31/1999,1.527964472770691,0.165
04/01/1999,1.5406970469678036,0.165
04/01/1999,1.5534300804138184,0.165
04/05/1999,1.5279640802522985,0.165
04/05/1999,1.566163182258606,0.165
04/06/1999,1.566163272327847,0.165
04/06/1999,1.7189596891403198,0.165
04/07/1999,1.7316930397697117,0.165
04/07/1999,1.7571591138839722,0.165
04/08/1999,1.7444257882001588,0.165
04/08/1999,1.7698918581008911,0.165
04/09/1999,1.757158793343438,0.165
04/09/1999,1.7189596891403198,0.165
04/12/1999,1.7316927238746926,0.165
04/12/1999,1.7189596891403198,0.165
04/13/1999,1.7316932678222656,0.165
04/13/1999,1.7316932678222656,0.165
04/14/1999,1.7571587777675544,0.165
04/14/1999,1.6934936046600342,0.165
04/15/1999,1.7189600267483078,0.165
04/15/1999,1.6680278778076172,0.165
04/16/1999,1.6934930797833117,0.165
04/16/1999,1.706226110458374,0.165
04/19/1999,1.7316929277523545,0.165
04/19/1999,1.642561674118042,0.165
04/20/1999,1.578896469116211,0.165
04/20/1999,1.5916295051574707,0.165
04/21/1999,1.566163182258606,0.165
04/21/1999,1.566163182258606,0.165
04/22/1999,1.5534302150049517,0.165
04/22/1999,1.5788962841033936,0.165
04/23/1999,1.566163182258606,0.165
04/23/1999,1.566163182258606,0.165
04/26/1999,1.5788964861530368,0.165
04/26/1999,1.5024982690811157,0.165
04/27/1999,1.4770321316189237,0.165
04/27/1999,1.4897651672363281,0.165
04/28/1999,1.4770320077096262,0.165
04/28/1999,1.5788962841033936,0.165
04/29/1999,1.6043627900401438,0.165
04/29/1999,1.6170958280563354,0.165
04/30/1999,1.6425618033372718,0.165
04/30/1999,1.6680278778076172,0.165
05/03/1999,1.6807605922222137,0.165
05/03/1999,1.6298284530639648,0.165
05/04/1999,1.6298283522691184,0.165
05/04/1999,1.566163182258606,0.165
05/05/1999,1.5916293186526145,0.165
05/05/1999,1.5788962841033936,0.165
05/06/1999,1.6043625654176226,0.165
05/06/1999,1.642561674118042,0.165
05/07/1999,1.6680280741523295,0.165
05/07/1999,1.7316932678222656,0.165
05/10/1999,1.7571586706268956,0.165
05/10/1999,1.8080908060073853,0.165
05/11/1999,1.8080907551558703,0.165
05/11/1999,1.8208237886428833,0.165
05/12/1999,1.8208245389601765,0.165
05/12/1999,1.7316932678222656,0.165
05/13/1999,1.7826251879982324,0.165
05/13/1999,1.7571591138839722,0.165
05/14/1999,1.7698921264858418,0.165
05/14/1999,1.734876275062561,0.165
05/17/1999,1.7189596891403198,0.165
05/17/1999,1.7189596891403198,0.165
05/18/1999,1.6934930797833117,0.165
05/18/1999,1.706226110458374,0.165
05/19/1999,1.7571587777675544,0.165
05/19/1999,1.6934936046600342,0.165
05/20/1999,1.6680278236215764,0.165
05/20/1999,1.6807608604431152,0.165
05/21/1999,1.7062264314064612,0.165
05/21/1999,1.6552942991256714,0.165
05/24/1999,1.6298282810899078,0.165
05/24/1999,1.5534300804138184,0.165
05/25/1999,1.5661634371198456,0.165
05/25/1999,1.47703218460083,0.165
05/26/1999,1.4515658128456992,0.165
05/26/1999,1.5534300804138184,0.165
05/27/1999,1.5406975100437799,0.165
05/27/1999,1.527964472770691,0.165
05/28/1999,1.5152314354976018,0.165
05/28/1999,1.527964472770691,0.165
06/01/1999,1.47703218460083,0.165
06/01/1999,1.47703218460083,0.165
06/02/1999,1.4770321967238087,0.165
06/02/1999,1.5024982690811157,0.165
06/03/1999,1.4770318777664848,0.165
06/03/1999,1.4642988443374634,0.165
06/04/1999,1.4642990960015192,0.165
06/04/1999,1.4897651672363281,0.165
06/07/1999,1.5152314354976018,0.165
06/07/1999,1.527964472770691,0.165
06/08/1999,1.5279642740885417,0.165
06/08/1999,1.4897651672363281,0.165
06/09/1999,1.4897651672363283,0.165
06/09/1999,1.4897651672363281,0.165
06/10/1999,1.477031990481319,0.165
06/10/1999,1.5247808694839478,0.165
06/11/1999,1.566163584589958,0.165
06/11/1999,1.527964472770691,0.165
06/14/1999,1.5406971804557308,0.165
06/14/1999,1.5788962841033936,0.165
06/15/1999,1.5788962162607085,0.165
06/15/1999,1.566163182258606,0.165
06/16/1999,1.5916297520239522,0.165
06/16/1999,1.6170958280563354,0.165
06/17/1999,1.6298283168247767,0.165
06/17/1999,1.6043622493743896,0.165
06/18/1999,1.5788967140077608,0.165
06/18/1999,1.6170958280563354,0.165
06/21/1999,1.6170958280563354,0.165
06/21/1999,1.6170958280563354,0.165
06/22/1999,1.6170958280563354,0.165
06/22/1999,1.6170958280563354,0.165
06/23/1999,1.6298284223002772,0.165
06/23/1999,1.5788962841033936,0.165
06/24/1999,1.591629215649196,0.165
06/24/1999,1.6043622493743896,0.165
06/25/1999,1.6170953877510563,0.165
06/25/1999,1.5788962841033936,0.165
06/28/1999,1.566163148198809,0.165
06/28/1999,1.6043622493743896,0.165
06/29/1999,1.6043625654176226,0.165
06/29/1999,1.642561674118042,0.165
06/30/1999,1.655293987758124,0.165
06/30/1999,1.706226110458374,0.165
07/01/1999,1.7826254227582148,0.165
07/01/1999,1.7316932678222656,0.165
07/02/1999,1.7062271903542912,0.165
07/02/1999,1.7316932678222656,0.165
07/06/1999,1.6807611128863167,0.165
07/06/1999,1.7316932678222656,0.165
07/07/1999,1.757158233158624,0.165
07/07/1999,1.706226110458374,0.165
07/08/1999,1.7062264314064612,0.165
07/08/1999,1.6552942991256714,0.165
