CHL,China Mobile Limited,
Date,Price,Annualized Dividend
10/22/1997,3.6802677767617364,0.0
10/22/1997,3.615701675415039,0.0
10/23/1997,3.45428697447971,0.0
10/23/1997,3.567277669906616,0.0
10/24/1997,4.196796335199828,0.0
10/24/1997,3.7529044151306152,0.0
10/27/1997,3.8174711720327315,0.0
10/27/1997,3.591489791870117,0.0
10/28/1997,3.5027109153235134,0.0
10/28/1997,4.325928688049316,0.0
10/29/1997,4.011169219603304,0.0
10/29/1997,3.9385323524475098,0.0
10/30/1997,3.9385336512801037,0.0
10/30/1997,3.857825994491577,0.0
10/31/1997,4.188726242904957,0.0
10/31/1997,4.180655479431152,0.0
11/03/1997,4.5519095322181435,0.0
11/03/1997,4.681041717529297,0.0
11/04/1997,4.543838982780774,0.0
11/04/1997,4.648758888244629,0.0
11/05/1997,4.777891698636507,0.0
11/05/1997,4.907023906707764,0.0
11/06/1997,4.71332516992526,0.0
11/06/1997,4.656829833984375,0.0
11/07/1997,4.2936456381385,0.0
11/07/1997,4.325928688049316,0.0
11/10/1997,4.446989351619374,0.0
11/10/1997,4.438918590545654,0.0
11/11/1997,4.471202934489531,0.0
11/11/1997,4.390495300292969,0.0
11/12/1997,4.2048679014323485,0.0
11/12/1997,4.05959415435791,0.0
11/13/1997,4.293645781344593,0.0
11/13/1997,4.374353408813477,0.0
11/14/1997,4.406635546250777,0.0
11/14/1997,4.438918590545654,0.0
11/17/1997,4.543838902882167,0.0
11/17/1997,4.519626617431641,0.0
11/18/1997,4.382424098883578,0.0
11/18/1997,4.3501410484313965,0.0
11/19/1997,4.390494238325965,0.0
11/19/1997,4.406635761260986,0.0
11/20/1997,4.422777252058801,0.0
11/20/1997,4.4469895362854,0.0
11/21/1997,4.463132171069875,0.0
11/21/1997,4.390495300292969,0.0
11/24/1997,4.390494259920987,0.0
11/24/1997,4.261362075805664,0.0
11/25/1997,4.342070788744381,0.0
11/25/1997,4.414707660675049,0.0
11/26/1997,4.430849046231198,0.0
11/26/1997,4.366282939910889,0.0
11/28/1997,4.333999705314636,0.0
11/28/1997,4.358211994171143,0.0
12/01/1997,4.4227786512006055,0.0
12/01/1997,4.382424831390381,0.0
12/02/1997,4.414707447959588,0.0
12/02/1997,4.342070579528809,0.0
12/03/1997,4.30978741645813,0.0
12/03/1997,4.358211994171143,0.0
12/04/1997,4.471201712140985,0.0
12/04/1997,4.463130950927734,0.0
12/05/1997,4.503485093797956,0.0
12/05/1997,4.519626617431641,0.0
12/08/1997,4.519626947946927,0.0
12/08/1997,4.471202373504639,0.0
12/09/1997,4.406637487498992,0.0
12/09/1997,4.398566722869873,0.0
12/10/1997,4.358212275854869,0.0
12/10/1997,4.180655479431152,0.0
12/11/1997,4.261362294204362,0.0
12/11/1997,4.229079246520996,0.0
12/12/1997,4.293646153308128,0.0
12/12/1997,4.2855753898620605,0.0
12/15/1997,4.269433681020197,0.0
12/15/1997,4.2775044441223145,0.0
12/16/1997,4.374353079900255,0.0
12/16/1997,4.4227776527404785,0.0
12/17/1997,4.487344559678086,0.0
12/17/1997,4.479273796081543,0.0
12/18/1997,4.511555660338629,0.0
12/18/1997,4.406635761260986,0.0
12/19/1997,4.374353077255677,0.0
12/19/1997,4.31785774230957,0.0
12/22/1997,4.309787163093908,0.0
12/22/1997,4.325928688049316,0.0
12/23/1997,4.325929277398613,0.0
12/23/1997,4.309787750244141,0.0
12/24/1997,4.317857852348914,0.0
12/24/1997,4.301716327667236,0.0
12/26/1997,4.293645121834495,0.0
12/26/1997,4.261362075805664,0.0
12/29/1997,4.293645455904096,0.0
12/29/1997,4.31785774230957,0.0
12/30/1997,4.317858290051882,0.0
12/30/1997,4.342070579528809,0.0
12/31/1997,4.350140202200834,0.0
12/31/1997,4.333998680114746,0.0
01/02/1998,4.358212899724277,0.0
01/02/1998,4.398566722869873,0.0
01/05/1998,4.3985653663203665,0.0
01/05/1998,4.4227776527404785,0.0
01/06/1998,4.342070804553085,0.0
01/06/1998,4.309787750244141,0.0
01/07/1998,4.229079246520996,0.0
01/07/1998,4.229079246520996,0.0
01/08/1998,4.035381581292861,0.0
01/08/1998,3.96274471282959,0.0
01/09/1998,3.946602944816862,0.0
01/09/1998,3.615701675415039,0.0
01/12/1998,3.422002200140943,0.0
01/12/1998,3.769044876098633,0.0
01/13/1998,3.6479837894439697,0.0
01/13/1998,3.6479837894439697,0.0
01/14/1998,3.7771158481048324,0.0
01/14/1998,3.809398889541626,0.0
01/15/1998,3.760975177313692,0.0
01/15/1998,3.7529044151306152,0.0
01/16/1998,3.7932585646038404,0.0
01/16/1998,3.9466030597686768,0.0
01/20/1998,3.9708157111340623,0.0
01/20/1998,4.099947929382324,0.0
01/21/1998,3.954674089948336,0.0
01/21/1998,3.8739664554595947,0.0
01/22/1998,3.777117650576114,0.0
01/22/1998,3.7206223011016846,0.0
01/23/1998,3.656055996292516,0.0
01/23/1998,3.6802682876586914,0.0
01/26/1998,3.486570030315969,0.0
01/26/1998,3.567277669906616,0.0
01/27/1998,3.696408878202024,0.0
01/27/1998,3.712550401687622,0.0
01/28/1998,3.7529047962966238,0.0
01/28/1998,3.8013293743133545,0.0
01/29/1998,3.8658954852917153,0.0
01/29/1998,3.9385323524475098,0.0
01/30/1998,4.067664735345726,0.0
01/30/1998,4.051523208618164,0.0
02/02/1998,4.325927919071702,0.0
02/02/1998,4.333998680114746,0.0
02/03/1998,4.334000040975849,0.0
02/03/1998,4.309787750244141,0.0
02/04/1998,4.253291422876568,0.0
02/04/1998,4.24522066116333,0.0
