PDB,PDB,
Date,Price,Dividend,Annualized Dividend
02/05/2016,18181.80078125,0.0,0.0
02/08/2016,18181.80078125,0.0,0.0
02/16/2016,18181.80078125,0.0,0.0
02/17/2016,17818.19921875,0.0,0.0
02/18/2016,17636.400390625,0.0,0.0
02/19/2016,18090.900390625,0.0,0.0
02/24/2016,17818.19921875,0.0,0.0
02/25/2016,17545.5,0.0,0.0
02/26/2016,17727.30078125,0.0,0.0
02/29/2016,17727.30078125,0.0,0.0
03/01/2016,17545.5,0.0,0.0
03/02/2016,18272.69921875,0.0,0.0
03/03/2016,19090.900390625,0.0,0.0
03/04/2016,20272.69921875,0.0,0.0
03/07/2016,19818.19921875,0.0,0.0
03/08/2016,20272.69921875,0.0,0.0
03/09/2016,20000.0,0.0,0.0
03/10/2016,20181.80078125,0.0,0.0
03/11/2016,20090.900390625,0.0,0.0
03/14/2016,20090.900390625,0.0,0.0
03/15/2016,20454.5,0.0,0.0
03/16/2016,20545.5,0.0,0.0
03/17/2016,20636.400390625,0.0,0.0
03/18/2016,20636.400390625,0.0,0.0
03/21/2016,20909.099609375,0.0,0.0
03/22/2016,20818.19921875,0.0,0.0
03/23/2016,21090.900390625,0.0,0.0
03/24/2016,21727.30078125,0.0,0.0
03/28/2016,21181.80078125,0.0,0.0
03/29/2016,21636.400390625,0.0,0.0
03/30/2016,21363.599609375,0.0,0.0
03/31/2016,21090.900390625,0.0,0.0
04/01/2016,20909.099609375,0.0,0.0
04/04/2016,20727.30078125,0.0,0.0
04/05/2016,20727.30078125,0.0,0.0
04/06/2016,20818.19921875,0.0,0.0
04/07/2016,20818.19921875,0.0,0.0
04/08/2016,20818.19921875,0.0,0.0
04/11/2016,20727.30078125,0.0,0.0
04/12/2016,20909.099609375,0.0,0.0
04/13/2016,20909.099609375,0.0,0.0
04/14/2016,21181.80078125,0.0,0.0
04/15/2016,21272.69921875,0.0,0.0
04/20/2016,20909.099609375,0.0,0.0
04/21/2016,20818.19921875,0.0,0.0
04/22/2016,22000.0,0.0,0.0
04/26/2016,23181.80078125,0.0,0.0
04/27/2016,23000.0,0.0,0.0
05/05/2016,22090.900390625,0.0,0.0
05/06/2016,23181.80078125,0.0,0.0
05/09/2016,24181.80078125,0.0,0.0
05/10/2016,24454.5,0.0,0.0
05/12/2016,23454.5,0.0,0.0
05/13/2016,23272.69921875,0.0,0.0
05/16/2016,23545.5,0.0,0.0
05/19/2016,21363.599609375,0.0,0.0
05/20/2016,22454.5,0.0,0.0
05/23/2016,21818.19921875,0.0,0.0
05/24/2016,22000.0,0.0,0.0
05/25/2016,22636.400390625,0.0,0.0
05/26/2016,22090.900390625,0.0,0.0
05/27/2016,21818.19921875,0.0,0.0
05/31/2016,22090.900390625,0.0,0.0
06/01/2016,21818.19921875,0.0,0.0
06/02/2016,21818.19921875,0.0,0.0
06/03/2016,23181.80078125,0.0,0.0
06/06/2016,22636.400390625,0.0,0.0
06/07/2016,22454.5,0.0,0.0
06/08/2016,22272.69921875,0.0,0.0
06/09/2016,22272.69921875,0.0,0.0
06/10/2016,22727.30078125,0.0,0.0
06/13/2016,22454.5,0.0,0.0
06/14/2016,22363.599609375,0.0,0.0
06/15/2016,22454.5,0.0,0.0
06/16/2016,22454.5,0.0,0.0
06/17/2016,23000.0,0.0,0.0
06/20/2016,23090.900390625,0.0,0.0
06/21/2016,23545.5,0.0,0.0
06/22/2016,23545.5,0.0,0.0
06/23/2016,24545.5,0.0,0.0
06/24/2016,24818.19921875,0.0,0.0
06/27/2016,23636.400390625,0.0,0.0
06/28/2016,23454.5,0.0,0.0
06/29/2016,23545.5,0.0,0.0
06/30/2016,24272.69921875,0.0,0.0
07/01/2016,24272.69921875,0.0,0.0
07/05/2016,25181.80078125,0.0,0.0
07/06/2016,24363.599609375,0.0,0.0
07/07/2016,25181.80078125,0.0,0.0
07/08/2016,25727.30078125,0.0,0.0
07/11/2016,25454.5,0.0,0.0
07/12/2016,24545.5,0.0,0.0
07/13/2016,24454.5,0.0,0.0
07/14/2016,23727.30078125,0.0,0.0
07/15/2016,23000.0,0.0,0.0
07/18/2016,23636.400390625,0.0,0.0
07/19/2016,23636.400390625,0.0,0.0
07/20/2016,23363.599609375,0.0,0.0
07/21/2016,23727.30078125,0.0,0.0
07/22/2016,23454.5,0.0,0.0
07/25/2016,23000.0,0.0,0.0
07/26/2016,23000.0,0.0,0.0
07/27/2016,23181.80078125,0.0,0.0
07/28/2016,23090.900390625,0.0,0.0
07/29/2016,22727.30078125,0.0,0.0
08/01/2016,22545.5,0.0,0.0
08/02/2016,21818.19921875,0.0,0.0
08/03/2016,21272.69921875,0.0,0.0
08/04/2016,22000.0,0.0,0.0
08/05/2016,20909.099609375,0.0,0.0
08/08/2016,21454.5,0.0,0.0
08/09/2016,21818.19921875,0.0,0.0
08/10/2016,21363.599609375,0.0,0.0
08/11/2016,21545.5,0.0,0.0
08/12/2016,22000.0,0.0,0.0
08/15/2016,21818.19921875,0.0,0.0
08/16/2016,21909.099609375,0.0,0.0
08/17/2016,23545.5,0.0,0.0
08/18/2016,22909.099609375,0.0,0.0
08/19/2016,22272.69921875,0.0,0.0
08/22/2016,21818.19921875,0.0,0.0
08/23/2016,20909.099609375,0.0,0.0
08/24/2016,21818.19921875,0.0,0.0
08/25/2016,21818.19921875,0.0,0.0
08/26/2016,21818.19921875,0.0,0.0
08/29/2016,22000.0,0.0,0.0
08/30/2016,22000.0,0.0,0.0
08/31/2016,21818.19921875,0.0,0.0
09/01/2016,21727.30078125,0.0,0.0
09/02/2016,21636.400390625,0.0,0.0
09/06/2016,21909.099609375,0.0,0.0
09/07/2016,22363.599609375,0.0,0.0
09/08/2016,22727.30078125,0.0,0.0
09/09/2016,22909.099609375,0.0,0.0
09/12/2016,23090.900390625,0.0,0.0
09/13/2016,23636.400390625,0.0,0.0
09/14/2016,23545.5,0.0,0.0
09/15/2016,23454.5,0.0,0.0
09/16/2016,23000.0,0.0,0.0
09/19/2016,23272.69921875,0.0,0.0
09/20/2016,23090.900390625,0.0,0.0
09/21/2016,23000.0,0.0,0.0
09/22/2016,21454.5,0.0,0.0
09/23/2016,21181.80078125,0.0,0.0
09/26/2016,21090.900390625,0.0,0.0
09/27/2016,21090.900390625,0.0,0.0
09/28/2016,20909.099609375,0.0,0.0
09/29/2016,20727.30078125,0.0,0.0
09/30/2016,20909.099609375,0.0,0.0
10/03/2016,20727.30078125,0.0,0.0
10/04/2016,20636.400390625,0.0,0.0
10/05/2016,20545.5,0.0,0.0
10/06/2016,20818.19921875,0.0,0.0
10/07/2016,20363.599609375,0.0,0.0
10/10/2016,20454.5,0.0,0.0
10/11/2016,20000.0,0.0,0.0
10/12/2016,20181.80078125,0.0,0.0
10/13/2016,20000.0,0.0,0.0
10/14/2016,20000.0,0.0,0.0
10/17/2016,20454.5,0.0,0.0
10/18/2016,20363.599609375,0.0,0.0
10/19/2016,20636.400390625,0.0,0.0
10/20/2016,20818.19921875,0.0,0.0
10/21/2016,20454.5,0.0,0.0
10/24/2016,20727.30078125,0.0,0.0
10/25/2016,20818.19921875,0.0,0.0
10/26/2016,20545.5,0.0,0.0
10/27/2016,20636.400390625,0.0,0.0
10/28/2016,20545.5,0.0,0.0
10/31/2016,20636.400390625,0.0,0.0
11/01/2016,20363.599609375,0.0,0.0
11/02/2016,20454.5,0.0,0.0
11/03/2016,20272.69921875,0.0,0.0
11/04/2016,20272.69921875,0.0,0.0
11/07/2016,20181.80078125,0.0,0.0
11/08/2016,20272.69921875,0.0,0.0
11/09/2016,20454.5,0.0,0.0
11/10/2016,20272.69921875,0.0,0.0
11/11/2016,19818.19921875,0.0,0.0
11/14/2016,19636.400390625,0.0,0.0
11/15/2016,20090.900390625,0.0,0.0
11/16/2016,20000.0,0.0,0.0
11/17/2016,19909.099609375,0.0,0.0
11/18/2016,19636.400390625,0.0,0.0
11/21/2016,19727.30078125,0.0,0.0
11/22/2016,19727.30078125,0.0,0.0
11/23/2016,19454.5,0.0,0.0
11/25/2016,18545.5,0.0,0.0
11/28/2016,20727.30078125,0.0,0.0
11/29/2016,18636.400390625,0.0,0.0
11/30/2016,18545.5,0.0,0.0
12/01/2016,18545.5,0.0,0.0
12/02/2016,18818.19921875,0.0,0.0
12/05/2016,18545.5,0.0,0.0
12/06/2016,18636.400390625,0.0,0.0
12/07/2016,17909.099609375,0.0,0.0
12/08/2016,17909.099609375,0.0,0.0
12/09/2016,17909.099609375,0.0,0.0
12/12/2016,18181.80078125,0.0,0.0
12/13/2016,18090.900390625,0.0,0.0
12/14/2016,18090.900390625,0.0,0.0
12/15/2016,18090.900390625,0.0,0.0
12/16/2016,18181.80078125,0.0,0.0
12/19/2016,18090.900390625,0.0,0.0
12/20/2016,18181.80078125,0.0,0.0
