ADA-USD,Cardano USD,
Date,Price,Dividend,Annualized Dividend
10/01/2017,0.021678000688552856,0.0,0.0
10/02/2017,0.02460700087249279,0.0,0.0
10/03/2017,0.025756999850273132,0.0,0.0
10/04/2017,0.020864000543951988,0.0,0.0
10/05/2017,0.02195099927484989,0.0,0.0
10/06/2017,0.021359000355005264,0.0,0.0
10/07/2017,0.018414000049233437,0.0,0.0
10/08/2017,0.02092899940907955,0.0,0.0
10/09/2017,0.020344000309705734,0.0,0.0
10/10/2017,0.022112000733613968,0.0,0.0
10/11/2017,0.021479999646544456,0.0,0.0
10/12/2017,0.022538000717759132,0.0,0.0
10/13/2017,0.026061000302433968,0.0,0.0
10/14/2017,0.033876001834869385,0.0,0.0
10/15/2017,0.03287399932742119,0.0,0.0
10/16/2017,0.02993899956345558,0.0,0.0
10/17/2017,0.028953000903129578,0.0,0.0
10/18/2017,0.027218999341130257,0.0,0.0
10/19/2017,0.026704000309109688,0.0,0.0
10/20/2017,0.026982000097632408,0.0,0.0
10/21/2017,0.030805999413132668,0.0,0.0
10/22/2017,0.028565000742673874,0.0,0.0
10/23/2017,0.02768399938941002,0.0,0.0
10/24/2017,0.025338999927043915,0.0,0.0
10/25/2017,0.027038000524044037,0.0,0.0
10/26/2017,0.02740900032222271,0.0,0.0
10/27/2017,0.0271380003541708,0.0,0.0
10/28/2017,0.026339000090956688,0.0,0.0
10/29/2017,0.02583100087940693,0.0,0.0
10/30/2017,0.028317999094724655,0.0,0.0
10/31/2017,0.028547000139951706,0.0,0.0
11/01/2017,0.029126999899744987,0.0,0.0
11/02/2017,0.023079000413417816,0.0,0.0
11/03/2017,0.021417999640107155,0.0,0.0
11/04/2017,0.022640999406576157,0.0,0.0
11/05/2017,0.022053999826312065,0.0,0.0
11/06/2017,0.020976999774575233,0.0,0.0
11/07/2017,0.021846000105142593,0.0,0.0
11/08/2017,0.021911999210715294,0.0,0.0
11/09/2017,0.02515999972820282,0.0,0.0
11/10/2017,0.03221900016069412,0.0,0.0
11/11/2017,0.02689100056886673,0.0,0.0
11/12/2017,0.027480000630021095,0.0,0.0
11/13/2017,0.02436400018632412,0.0,0.0
11/14/2017,0.025797000154852867,0.0,0.0
11/15/2017,0.02611600048840046,0.0,0.0
11/16/2017,0.026582999154925346,0.0,0.0
11/17/2017,0.027142999693751335,0.0,0.0
11/18/2017,0.025597000494599342,0.0,0.0
11/19/2017,0.026242999359965324,0.0,0.0
11/20/2017,0.028152000159025192,0.0,0.0
11/21/2017,0.029587000608444214,0.0,0.0
11/22/2017,0.028398999944329262,0.0,0.0
11/23/2017,0.028540000319480896,0.0,0.0
11/24/2017,0.0274059996008873,0.0,0.0
11/25/2017,0.028324000537395477,0.0,0.0
11/26/2017,0.03043700009584427,0.0,0.0
11/27/2017,0.036619000136852264,0.0,0.0
11/28/2017,0.050627000629901886,0.0,0.0
11/29/2017,0.11823499947786331,0.0,0.0
11/30/2017,0.094930000603199,0.0,0.0
12/01/2017,0.11662200093269348,0.0,0.0
12/02/2017,0.131632998585701,0.0,0.0
12/03/2017,0.13235099613666534,0.0,0.0
12/04/2017,0.1315460056066513,0.0,0.0
12/05/2017,0.13562500476837158,0.0,0.0
12/06/2017,0.1267479956150055,0.0,0.0
12/07/2017,0.11776600033044815,0.0,0.0
12/08/2017,0.10614199936389923,0.0,0.0
12/09/2017,0.11474499851465225,0.0,0.0
12/10/2017,0.11979400366544724,0.0,0.0
12/11/2017,0.10892699658870697,0.0,0.0
12/12/2017,0.12117700278759003,0.0,0.0
12/13/2017,0.13373899459838867,0.0,0.0
12/14/2017,0.1336670070886612,0.0,0.0
12/15/2017,0.23320899903774261,0.0,0.0
12/16/2017,0.21287499368190765,0.0,0.0
12/17/2017,0.3867749869823456,0.0,0.0
12/18/2017,0.5119389891624451,0.0,0.0
12/19/2017,0.5202680230140686,0.0,0.0
12/20/2017,0.5337049961090088,0.0,0.0
12/21/2017,0.49004900455474854,0.0,0.0
12/22/2017,0.47897401452064514,0.0,0.0
12/23/2017,0.4144200086593628,0.0,0.0
12/24/2017,0.41666099429130554,0.0,0.0
12/25/2017,0.39232999086380005,0.0,0.0
12/26/2017,0.4135729968547821,0.0,0.0
12/27/2017,0.4271070063114166,0.0,0.0
12/28/2017,0.4120199978351593,0.0,0.0
12/29/2017,0.41045698523521423,0.0,0.0
12/30/2017,0.5283160209655762,0.0,0.0
12/31/2017,0.6425809860229492,0.0,0.0
01/01/2018,0.7188469767570496,0.0,0.0
01/02/2018,0.7246760129928589,0.0,0.0
01/03/2018,0.7796810269355774,0.0,0.0
01/04/2018,1.0940300226211548,0.0,0.0
01/05/2018,1.1711499691009521,0.0,0.0
01/06/2018,0.996999979019165,0.0,0.0
01/07/2018,1.024150013923645,0.0,0.0
01/08/2018,0.9993289709091187,0.0,0.0
01/09/2018,0.8981850147247314,0.0,0.0
01/10/2018,0.8158720135688782,0.0,0.0
01/11/2018,0.7915220260620117,0.0,0.0
01/12/2018,0.6957690119743347,0.0,0.0
01/13/2018,0.9174100160598755,0.0,0.0
01/14/2018,0.8819609880447388,0.0,0.0
01/15/2018,0.795760989189148,0.0,0.0
01/16/2018,0.7806209921836853,0.0,0.0
01/17/2018,0.6241229772567749,0.0,0.0
01/18/2018,0.6312950253486633,0.0,0.0
01/19/2018,0.6495440006256104,0.0,0.0
01/20/2018,0.6565639972686768,0.0,0.0
01/21/2018,0.7063909769058228,0.0,0.0
01/22/2018,0.6149830222129822,0.0,0.0
01/23/2018,0.5665370225906372,0.0,0.0
01/24/2018,0.5633689761161804,0.0,0.0
01/25/2018,0.6293370127677917,0.0,0.0
01/26/2018,0.6339030265808105,0.0,0.0
01/27/2018,0.6234769821166992,0.0,0.0
01/28/2018,0.6205599904060364,0.0,0.0
01/29/2018,0.6693729758262634,0.0,0.0
01/30/2018,0.6247990131378174,0.0,0.0
01/31/2018,0.5275980234146118,0.0,0.0
02/01/2018,0.5159119963645935,0.0,0.0
02/02/2018,0.4194599986076355,0.0,0.0
