AMZN,"Amazon.com, Inc.",
Date,Price,Dividend,Annualized Dividend
11/07/1997,4.4166669845581055,0.0,0.0
11/10/1997,4.5,0.0,0.0
11/11/1997,4.2447919845581055,0.0,0.0
11/12/1997,3.7760419845581055,0.0,0.0
11/13/1997,3.9479169845581055,0.0,0.0
11/14/1997,3.9375,0.0,0.0
11/17/1997,4.2291669845581055,0.0,0.0
11/18/1997,4.375,0.0,0.0
11/19/1997,4.40625,0.0,0.0
11/20/1997,4.5729169845581055,0.0,0.0
11/21/1997,4.5520830154418945,0.0,0.0
11/24/1997,4.375,0.0,0.0
11/25/1997,4.2395830154418945,0.0,0.0
11/26/1997,4.2395830154418945,0.0,0.0
11/28/1997,4.2708330154418945,0.0,0.0
12/01/1997,4.2395830154418945,0.0,0.0
12/02/1997,4.2604169845581055,0.0,0.0
12/03/1997,4.1979169845581055,0.0,0.0
12/04/1997,4.4010419845581055,0.0,0.0
12/05/1997,4.4375,0.0,0.0
12/08/1997,4.5416669845581055,0.0,0.0
12/09/1997,4.6666669845581055,0.0,0.0
12/10/1997,4.5833330154418945,0.0,0.0
12/11/1997,4.3958330154418945,0.0,0.0
12/12/1997,4.6458330154418945,0.0,0.0
12/15/1997,4.5833330154418945,0.0,0.0
12/16/1997,4.6458330154418945,0.0,0.0
12/17/1997,4.375,0.0,0.0
12/18/1997,4.3541669845581055,0.0,0.0
12/19/1997,4.2291669845581055,0.0,0.0
12/22/1997,4.5,0.0,0.0
12/23/1997,4.6875,0.0,0.0
12/24/1997,4.625,0.0,0.0
12/26/1997,4.5625,0.0,0.0
12/29/1997,4.5833330154418945,0.0,0.0
12/30/1997,4.8333330154418945,0.0,0.0
12/31/1997,4.875,0.0,0.0
01/02/1998,5.0,0.0,0.0
01/05/1998,4.8854169845581055,0.0,0.0
01/06/1998,4.6979169845581055,0.0,0.0
01/07/1998,4.8333330154418945,0.0,0.0
01/08/1998,4.6979169845581055,0.0,0.0
01/09/1998,4.6666669845581055,0.0,0.0
01/12/1998,4.1666669845581055,0.0,0.0
01/13/1998,4.34375,0.0,0.0
01/14/1998,4.65625,0.0,0.0
01/15/1998,4.7916669845581055,0.0,0.0
01/16/1998,4.9583330154418945,0.0,0.0
01/20/1998,4.8229169845581055,0.0,0.0
01/21/1998,4.9375,0.0,0.0
01/22/1998,5.0729169845581055,0.0,0.0
01/23/1998,5.34375,0.0,0.0
01/26/1998,4.9791669845581055,0.0,0.0
01/27/1998,4.8177080154418945,0.0,0.0
01/28/1998,4.75,0.0,0.0
01/29/1998,4.7916669845581055,0.0,0.0
01/30/1998,5.0,0.0,0.0
02/02/1998,4.9479169845581055,0.0,0.0
02/03/1998,5.1875,0.0,0.0
02/04/1998,5.0625,0.0,0.0
02/05/1998,5.1145830154418945,0.0,0.0
02/06/1998,4.9270830154418945,0.0,0.0
02/09/1998,4.9166669845581055,0.0,0.0
02/10/1998,4.875,0.0,0.0
02/11/1998,5.2916669845581055,0.0,0.0
02/12/1998,5.2708330154418945,0.0,0.0
02/13/1998,5.25,0.0,0.0
02/17/1998,5.21875,0.0,0.0
02/18/1998,5.1458330154418945,0.0,0.0
02/19/1998,5.109375,0.0,0.0
02/20/1998,5.2291669845581055,0.0,0.0
02/23/1998,5.2916669845581055,0.0,0.0
02/24/1998,5.4166669845581055,0.0,0.0
02/25/1998,5.46875,0.0,0.0
02/26/1998,5.4635419845581055,0.0,0.0
02/27/1998,6.0208330154418945,0.0,0.0
03/02/1998,6.3229169845581055,0.0,0.0
03/03/1998,6.2916669845581055,0.0,0.0
03/04/1998,6.0,0.0,0.0
03/05/1998,5.9791669845581055,0.0,0.0
03/06/1998,6.3020830154418945,0.0,0.0
03/09/1998,6.40625,0.0,0.0
03/10/1998,7.125,0.0,0.0
03/11/1998,6.8333330154418945,0.0,0.0
