FSLR,"First Solar, Inc.",
Date,Price,Annualized Dividend
11/17/2006,24.5,0.0
11/17/2006,24.739999771118164,0.0
11/20/2006,24.690000534057617,0.0
11/20/2006,25.0,0.0
11/21/2006,25.0,0.0
11/21/2006,24.600000381469727,0.0
11/22/2006,24.56999969482422,0.0
11/22/2006,26.8799991607666,0.0
11/24/2006,27.0,0.0
11/24/2006,27.75,0.0
11/27/2006,28.389999389648438,0.0
11/27/2006,28.350000381469727,0.0
11/28/2006,28.530000686645508,0.0
11/28/2006,28.170000076293945,0.0
11/29/2006,28.5,0.0
11/29/2006,28.270000457763672,0.0
11/30/2006,28.799999237060547,0.0
11/30/2006,28.299999237060547,0.0
12/01/2006,28.299999237060547,0.0
12/01/2006,27.889999389648438,0.0
12/04/2006,28.0,0.0
12/04/2006,27.8799991607666,0.0
12/05/2006,27.6200008392334,0.0
12/05/2006,27.079999923706055,0.0
12/06/2006,26.799999237060547,0.0
12/06/2006,27.200000762939453,0.0
12/07/2006,27.700000762939453,0.0
12/07/2006,27.31999969482422,0.0
12/08/2006,27.5,0.0
12/08/2006,27.530000686645508,0.0
12/11/2006,27.31999969482422,0.0
12/11/2006,27.950000762939453,0.0
12/12/2006,28.200000762939453,0.0
12/12/2006,27.200000762939453,0.0
12/13/2006,27.299999237060547,0.0
12/13/2006,27.639999389648438,0.0
12/14/2006,27.6200008392334,0.0
12/14/2006,27.93000030517578,0.0
12/15/2006,28.360000610351562,0.0
12/15/2006,29.049999237060547,0.0
12/18/2006,29.31999969482422,0.0
12/18/2006,28.59000015258789,0.0
12/19/2006,28.0,0.0
12/19/2006,27.790000915527344,0.0
12/20/2006,27.8799991607666,0.0
12/20/2006,27.780000686645508,0.0
12/21/2006,27.5,0.0
12/21/2006,26.690000534057617,0.0
12/22/2006,26.989999771118164,0.0
12/22/2006,27.530000686645508,0.0
12/26/2006,27.6299991607666,0.0
12/26/2006,27.100000381469727,0.0
12/27/2006,28.239999771118164,0.0
12/27/2006,28.809999465942383,0.0
12/28/2006,28.719999313354492,0.0
12/28/2006,29.860000610351562,0.0
12/29/2006,29.989999771118164,0.0
12/29/2006,29.84000015258789,0.0
01/03/2007,30.170000076293945,0.0
01/03/2007,28.5,0.0
01/04/2007,28.110000610351562,0.0
01/04/2007,28.75,0.0
01/05/2007,28.649999618530273,0.0
01/05/2007,28.149999618530273,0.0
01/08/2007,28.260000228881836,0.0
01/08/2007,28.899999618530273,0.0
01/09/2007,29.0,0.0
01/09/2007,29.270000457763672,0.0
01/10/2007,29.219999313354492,0.0
01/10/2007,29.15999984741211,0.0
01/11/2007,29.190000534057617,0.0
01/11/2007,29.34000015258789,0.0
01/12/2007,29.270000457763672,0.0
01/12/2007,29.530000686645508,0.0
01/16/2007,29.559999465942383,0.0
01/16/2007,29.270000457763672,0.0
01/17/2007,29.260000228881836,0.0
01/17/2007,29.020000457763672,0.0
01/18/2007,29.270000457763672,0.0
01/18/2007,28.31999969482422,0.0
01/19/2007,28.239999771118164,0.0
01/19/2007,27.709999084472656,0.0
01/22/2007,27.75,0.0
01/22/2007,27.8799991607666,0.0
01/23/2007,28.0,0.0
01/23/2007,28.850000381469727,0.0
01/24/2007,29.06999969482422,0.0
01/24/2007,29.149999618530273,0.0
01/25/2007,29.25,0.0
01/25/2007,29.43000030517578,0.0
01/26/2007,29.709999084472656,0.0
01/26/2007,29.139999389648438,0.0
01/29/2007,29.149999618530273,0.0
01/29/2007,31.139999389648438,0.0
01/30/2007,31.100000381469727,0.0
01/30/2007,32.720001220703125,0.0
01/31/2007,32.650001525878906,0.0
01/31/2007,32.369998931884766,0.0
02/01/2007,32.529998779296875,0.0
02/01/2007,32.65999984741211,0.0
02/02/2007,32.790000915527344,0.0
02/02/2007,31.200000762939453,0.0
02/05/2007,31.200000762939453,0.0
02/05/2007,32.779998779296875,0.0
02/06/2007,33.11000061035156,0.0
02/06/2007,32.810001373291016,0.0
02/07/2007,32.790000915527344,0.0
02/07/2007,33.439998626708984,0.0
02/08/2007,33.72999954223633,0.0
02/08/2007,33.790000915527344,0.0
02/09/2007,33.90999984741211,0.0
02/09/2007,32.86000061035156,0.0
02/12/2007,32.90999984741211,0.0
02/12/2007,33.099998474121094,0.0
02/13/2007,33.52000045776367,0.0
02/13/2007,34.279998779296875,0.0
02/14/2007,40.380001068115234,0.0
02/14/2007,43.720001220703125,0.0
02/15/2007,44.08000183105469,0.0
02/15/2007,44.97999954223633,0.0
02/16/2007,45.04999923706055,0.0
02/16/2007,45.2599983215332,0.0
02/20/2007,44.970001220703125,0.0
02/20/2007,49.209999084472656,0.0
02/21/2007,49.150001525878906,0.0
02/21/2007,51.189998626708984,0.0
02/22/2007,51.20000076293945,0.0
02/22/2007,49.20000076293945,0.0
02/23/2007,49.0099983215332,0.0
02/23/2007,49.43000030517578,0.0
02/26/2007,49.70000076293945,0.0
02/26/2007,51.849998474121094,0.0
02/27/2007,49.5,0.0
02/27/2007,49.0099983215332,0.0
02/28/2007,49.54999923706055,0.0
02/28/2007,47.75,0.0
03/01/2007,46.150001525878906,0.0
03/01/2007,47.880001068115234,0.0
03/02/2007,47.529998779296875,0.0
03/02/2007,46.27000045776367,0.0
03/05/2007,45.0,0.0
03/05/2007,44.130001068115234,0.0
03/06/2007,45.36000061035156,0.0
03/06/2007,46.29999923706055,0.0
03/07/2007,46.2400016784668,0.0
03/07/2007,47.619998931884766,0.0
03/08/2007,49.72999954223633,0.0
03/08/2007,51.869998931884766,0.0
03/09/2007,52.689998626708984,0.0
