NALFX,New Alternatives Fund- Class A,
Date,Price,Annualized Dividend
09/03/1982,7.366087913513184,0.0
09/03/1982,7.366087913513184,0.0
09/07/1982,7.366087913513184,0.0
09/07/1982,7.366087913513184,0.0
09/08/1982,7.366087913513184,0.0
09/08/1982,7.366087913513184,0.0
09/09/1982,7.366087913513184,0.0
09/09/1982,7.366087913513184,0.0
09/10/1982,7.366087913513184,0.0
09/10/1982,7.366087913513184,0.0
09/13/1982,7.366087913513184,0.0
09/13/1982,7.366087913513184,0.0
09/14/1982,7.366087913513184,0.0
09/14/1982,7.366087913513184,0.0
09/15/1982,7.366087913513184,0.0
09/15/1982,7.366087913513184,0.0
09/16/1982,7.366087913513184,0.0
09/16/1982,7.366087913513184,0.0
09/17/1982,7.366087913513184,0.0
09/17/1982,7.366087913513184,0.0
09/20/1982,7.366087913513184,0.0
09/20/1982,7.366087913513184,0.0
09/21/1982,7.366087913513184,0.0
09/21/1982,7.366087913513184,0.0
09/22/1982,7.366087913513184,0.0
09/22/1982,7.366087913513184,0.0
09/23/1982,7.366087913513184,0.0
09/23/1982,7.366087913513184,0.0
09/24/1982,7.366087913513184,0.0
09/24/1982,7.366087913513184,0.0
09/27/1982,7.366087913513184,0.0
09/27/1982,7.366087913513184,0.0
09/28/1982,7.366087913513184,0.0
09/28/1982,7.366087913513184,0.0
09/29/1982,7.366087913513184,0.0
09/29/1982,7.366087913513184,0.0
09/30/1982,7.242337703704834,0.0
09/30/1982,7.242337703704834,0.0
10/01/1982,7.242337703704834,0.0
10/01/1982,7.242337703704834,0.0
10/04/1982,7.242337703704834,0.0
10/04/1982,7.242337703704834,0.0
10/05/1982,7.242337703704834,0.0
10/05/1982,7.242337703704834,0.0
10/06/1982,7.242337703704834,0.0
10/06/1982,7.242337703704834,0.0
10/07/1982,7.242337703704834,0.0
10/07/1982,7.242337703704834,0.0
10/08/1982,7.242337703704834,0.0
10/08/1982,7.242337703704834,0.0
10/11/1982,7.242337703704834,0.0
10/11/1982,7.242337703704834,0.0
10/12/1982,7.242337703704834,0.0
10/12/1982,7.242337703704834,0.0
10/13/1982,7.242337703704834,0.0
10/13/1982,7.242337703704834,0.0
10/14/1982,7.242337703704834,0.0
10/14/1982,7.242337703704834,0.0
10/15/1982,7.242337703704834,0.0
10/15/1982,7.242337703704834,0.0
10/18/1982,7.242337703704834,0.0
10/18/1982,7.242337703704834,0.0
10/19/1982,7.242337703704834,0.0
10/19/1982,7.242337703704834,0.0
10/20/1982,7.242337703704834,0.0
10/20/1982,7.242337703704834,0.0
10/21/1982,7.242337703704834,0.0
10/21/1982,7.242337703704834,0.0
10/22/1982,7.242337703704834,0.0
10/22/1982,7.242337703704834,0.0
10/25/1982,7.242337703704834,0.0
10/25/1982,7.242337703704834,0.0
10/26/1982,7.242337703704834,0.0
10/26/1982,7.242337703704834,0.0
10/27/1982,7.242337703704834,0.0
10/27/1982,7.242337703704834,0.0
10/28/1982,7.242337703704834,0.0
10/28/1982,7.242337703704834,0.0
10/29/1982,7.8905558586120605,0.0
10/29/1982,7.8905558586120605,0.0
11/01/1982,7.8905558586120605,0.0
11/01/1982,7.8905558586120605,0.0
11/02/1982,7.8905558586120605,0.0
11/02/1982,7.8905558586120605,0.0
11/03/1982,7.8905558586120605,0.0
11/03/1982,7.8905558586120605,0.0
11/04/1982,7.8905558586120605,0.0
11/04/1982,7.8905558586120605,0.0
11/05/1982,7.8905558586120605,0.0
11/05/1982,7.8905558586120605,0.0
11/08/1982,7.8905558586120605,0.0
11/08/1982,7.8905558586120605,0.0
11/09/1982,7.8905558586120605,0.0
11/09/1982,7.8905558586120605,0.0
11/10/1982,7.8905558586120605,0.0
11/10/1982,7.8905558586120605,0.0
11/11/1982,7.8905558586120605,0.0
11/11/1982,7.8905558586120605,0.0
11/12/1982,7.8905558586120605,0.0
11/12/1982,7.8905558586120605,0.0
11/15/1982,7.8905558586120605,0.0
11/15/1982,7.8905558586120605,0.0
11/16/1982,7.8905558586120605,0.0
11/16/1982,7.8905558586120605,0.0
11/17/1982,7.8905558586120605,0.0
11/17/1982,7.8905558586120605,0.0
11/18/1982,7.8905558586120605,0.0
11/18/1982,7.8905558586120605,0.0
11/19/1982,7.8905558586120605,0.0
11/19/1982,7.8905558586120605,0.0
11/22/1982,7.8905558586120605,0.0
11/22/1982,7.8905558586120605,0.0
11/23/1982,7.8905558586120605,0.0
11/23/1982,7.8905558586120605,0.0
11/24/1982,7.8905558586120605,0.0
11/24/1982,7.8905558586120605,0.0
11/26/1982,7.8905558586120605,0.0
11/26/1982,7.8905558586120605,0.0
11/29/1982,7.8905558586120605,0.0
11/29/1982,7.8905558586120605,0.0
11/30/1982,8.202875137329102,0.0
11/30/1982,8.202875137329102,0.0
12/01/1982,8.202875137329102,0.0
12/01/1982,8.202875137329102,0.0
12/02/1982,8.202875137329102,0.0
12/02/1982,8.202875137329102,0.0
12/03/1982,8.202875137329102,0.0
12/03/1982,8.202875137329102,0.0
12/06/1982,8.202875137329102,0.0
12/06/1982,8.202875137329102,0.0
12/07/1982,8.202875137329102,0.0
12/07/1982,8.202875137329102,0.0
12/08/1982,8.202875137329102,0.0
12/08/1982,8.202875137329102,0.0
12/09/1982,8.202875137329102,0.0
12/09/1982,8.202875137329102,0.0
12/10/1982,8.202875137329102,0.0
12/10/1982,8.202875137329102,0.0
12/13/1982,8.202875137329102,0.0
12/13/1982,8.202875137329102,0.0
12/14/1982,8.202875137329102,0.0
12/14/1982,8.202875137329102,0.0
12/15/1982,8.202875137329102,0.0
