XLM-USD,Stellar USD,
Date,Price,Dividend,Annualized Dividend
09/17/2014,0.0029879999347031116,0.0,0.0
09/18/2014,0.003080999944359064,0.0,0.0
09/19/2014,0.0034600000362843275,0.0,0.0
09/20/2014,0.003936000168323517,0.0,0.0
09/21/2014,0.0036100000143051147,0.0,0.0
09/22/2014,0.0034660000819712877,0.0,0.0
09/23/2014,0.004007000010460615,0.0,0.0
09/24/2014,0.003965999931097031,0.0,0.0
09/25/2014,0.003877999959513545,0.0,0.0
09/26/2014,0.003599999938160181,0.0,0.0
09/27/2014,0.003043999895453453,0.0,0.0
09/28/2014,0.003261999925598502,0.0,0.0
09/29/2014,0.003169999923557043,0.0,0.0
09/30/2014,0.003226999891921878,0.0,0.0
10/01/2014,0.0032210000790655613,0.0,0.0
10/02/2014,0.0028880001045763493,0.0,0.0
10/03/2014,0.002742999931797385,0.0,0.0
10/04/2014,0.002604000037536025,0.0,0.0
10/05/2014,0.002440999960526824,0.0,0.0
10/06/2014,0.002383999992161989,0.0,0.0
10/07/2014,0.002578000072389841,0.0,0.0
10/08/2014,0.002420000033453107,0.0,0.0
10/09/2014,0.002474999986588955,0.0,0.0
10/10/2014,0.0023560000117868185,0.0,0.0
10/11/2014,0.002308000111952424,0.0,0.0
10/12/2014,0.0023380001075565815,0.0,0.0
10/13/2014,0.002240000059828162,0.0,0.0
10/14/2014,0.0023089998867362738,0.0,0.0
10/15/2014,0.002351999981328845,0.0,0.0
10/16/2014,0.0021730000153183937,0.0,0.0
10/17/2014,0.0020810000132769346,0.0,0.0
10/18/2014,0.002022000029683113,0.0,0.0
10/19/2014,0.0020580000709742308,0.0,0.0
10/20/2014,0.0020210000220686197,0.0,0.0
10/21/2014,0.002022000029683113,0.0,0.0
10/22/2014,0.0020620001014322042,0.0,0.0
10/23/2014,0.0020210000220686197,0.0,0.0
10/24/2014,0.0019150000298395753,0.0,0.0
10/25/2014,0.001959000015631318,0.0,0.0
10/26/2014,0.001892999978736043,0.0,0.0
10/27/2014,0.0019409999949857593,0.0,0.0
10/28/2014,0.0019570000004023314,0.0,0.0
10/29/2014,0.0016749999485909939,0.0,0.0
10/30/2014,0.0016959999920800328,0.0,0.0
10/31/2014,0.0017480000387877226,0.0,0.0
11/01/2014,0.001686000032350421,0.0,0.0
11/02/2014,0.0015490000369027257,0.0,0.0
11/03/2014,0.0015820000553503633,0.0,0.0
11/04/2014,0.001690999954007566,0.0,0.0
11/05/2014,0.0017040000529959798,0.0,0.0
11/06/2014,0.0017549999756738544,0.0,0.0
11/07/2014,0.001766999950632453,0.0,0.0
11/08/2014,0.0016870000399649143,0.0,0.0
11/09/2014,0.0017330000409856439,0.0,0.0
11/10/2014,0.0017519999528303742,0.0,0.0
11/11/2014,0.0017940000398084521,0.0,0.0
11/12/2014,0.0017549999756738544,0.0,0.0
11/13/2014,0.0018680000212043524,0.0,0.0
11/14/2014,0.0017869999865069985,0.0,0.0
11/15/2014,0.00171999994199723,0.0,0.0
11/16/2014,0.001617999980226159,0.0,0.0
11/17/2014,0.0016380000161007047,0.0,0.0
11/18/2014,0.001610000035725534,0.0,0.0
11/19/2014,0.0013520000502467155,0.0,0.0
11/20/2014,0.0015490000369027257,0.0,0.0
11/21/2014,0.001588999992236495,0.0,0.0
11/22/2014,0.0015650000423192978,0.0,0.0
11/23/2014,0.0018100000452250242,0.0,0.0
11/24/2014,0.0021639999467879534,0.0,0.0
11/25/2014,0.0019570000004023314,0.0,0.0
11/26/2014,0.0019000000320374966,0.0,0.0
11/27/2014,0.0021389999892562628,0.0,0.0
11/28/2014,0.0034290000330656767,0.0,0.0
11/29/2014,0.0028099999763071537,0.0,0.0
11/30/2014,0.0025210001040250063,0.0,0.0
12/01/2014,0.002211000071838498,0.0,0.0
12/02/2014,0.00254100002348423,0.0,0.0
12/03/2014,0.00240899994969368,0.0,0.0
12/04/2014,0.002374999923631549,0.0,0.0
12/05/2014,0.0023739999160170555,0.0,0.0
12/06/2014,0.0023560000117868185,0.0,0.0
12/07/2014,0.002406999934464693,0.0,0.0
12/08/2014,0.0023300000466406345,0.0,0.0
12/09/2014,0.002339000115171075,0.0,0.0
12/10/2014,0.0022509999107569456,0.0,0.0
12/11/2014,0.0024270000867545605,0.0,0.0
12/12/2014,0.002553999889642,0.0,0.0
12/13/2014,0.0025239998940378428,0.0,0.0
12/14/2014,0.0025390000082552433,0.0,0.0
12/15/2014,0.0024739999789744616,0.0,0.0
12/16/2014,0.0025730000343173742,0.0,0.0
12/17/2014,0.003260999917984009,0.0,0.0
12/18/2014,0.004129999782890081,0.0,0.0
12/19/2014,0.0060800001956522465,0.0,0.0
12/20/2014,0.005669000092893839,0.0,0.0
12/21/2014,0.005886000115424395,0.0,0.0
12/22/2014,0.005925000179558992,0.0,0.0
12/23/2014,0.005907000042498112,0.0,0.0
12/24/2014,0.005774000193923712,0.0,0.0
12/25/2014,0.0051020001992583275,0.0,0.0
12/26/2014,0.005787999834865332,0.0,0.0
12/27/2014,0.006194999907165766,0.0,0.0
12/28/2014,0.006004999857395887,0.0,0.0
12/29/2014,0.005805000197142363,0.0,0.0
12/30/2014,0.005590999964624643,0.0,0.0
12/31/2014,0.0054790000431239605,0.0,0.0
01/01/2015,0.005516999866813421,0.0,0.0
01/02/2015,0.005437999963760376,0.0,0.0
01/03/2015,0.005472999997437,0.0,0.0
01/04/2015,0.00457199988886714,0.0,0.0
01/05/2015,0.004422000143676996,0.0,0.0
01/06/2015,0.00496899988502264,0.0,0.0
01/07/2015,0.004972000140696764,0.0,0.0
01/08/2015,0.005282999947667122,0.0,0.0
01/09/2015,0.005557000171393156,0.0,0.0
01/10/2015,0.005625000223517418,0.0,0.0
01/11/2015,0.005179000087082386,0.0,0.0
01/12/2015,0.005038999952375889,0.0,0.0
01/13/2015,0.004867999814450741,0.0,0.0
01/14/2015,0.004019999876618385,0.0,0.0
01/15/2015,0.00433199992403388,0.0,0.0
01/16/2015,0.004980000201612711,0.0,0.0
01/17/2015,0.004366000182926655,0.0,0.0
01/18/2015,0.004650000017136335,0.0,0.0
01/19/2015,0.004755000118166208,0.0,0.0
01/20/2015,0.0048039997927844524,0.0,0.0
01/21/2015,0.004769999999552965,0.0,0.0
01/22/2015,0.004987999796867371,0.0,0.0
01/23/2015,0.004916000179946423,0.0,0.0
01/24/2015,0.004875000100582838,0.0,0.0
01/25/2015,0.005030000116676092,0.0,0.0
01/26/2015,0.004805999808013439,0.0,0.0
01/27/2015,0.004705999977886677,0.0,0.0
01/28/2015,0.004811999853700399,0.0,0.0
01/29/2015,0.004898999817669392,0.0,0.0
01/30/2015,0.0045460001565515995,0.0,0.0
01/31/2015,0.0044450000859797,0.0,0.0
02/01/2015,0.00432500010356307,0.0,0.0
02/02/2015,0.004137000069022179,0.0,0.0
02/03/2015,0.0041600000113248825,0.0,0.0
02/04/2015,0.0037509999237954617,0.0,0.0
02/05/2015,0.003765000030398369,0.0,0.0
02/06/2015,0.00406000018119812,0.0,0.0
02/07/2015,0.0038169999606907368,0.0,0.0
02/08/2015,0.0038300000596791506,0.0,0.0
02/09/2015,0.003734000027179718,0.0,0.0
02/10/2015,0.0036410000175237656,0.0,0.0
02/11/2015,0.0035540000535547733,0.0,0.0
02/12/2015,0.0035180000122636557,0.0,0.0
02/13/2015,0.00342399999499321,0.0,0.0
02/14/2015,0.0035729999653995037,0.0,0.0
02/15/2015,0.0036959999706596136,0.0,0.0
02/16/2015,0.0032939999364316463,0.0,0.0
02/17/2015,0.0033019999973475933,0.0,0.0
02/18/2015,0.003355999942868948,0.0,0.0
02/19/2015,0.0031610000878572464,0.0,0.0
02/20/2015,0.003223000094294548,0.0,0.0
02/21/2015,0.003218000056222081,0.0,0.0
02/22/2015,0.0031999999191612005,0.0,0.0
02/23/2015,0.002830999903380871,0.0,0.0
02/24/2015,0.003109999932348728,0.0,0.0
02/25/2015,0.0031210000161081553,0.0,0.0
02/26/2015,0.003166999900713563,0.0,0.0
02/27/2015,0.0031169999856501818,0.0,0.0
02/28/2015,0.0031649998854845762,0.0,0.0
03/01/2015,0.003046999918296933,0.0,0.0
03/02/2015,0.0027799999807029963,0.0,0.0
03/03/2015,0.0029690000228583813,0.0,0.0
03/04/2015,0.0028379999566823244,0.0,0.0
03/05/2015,0.002873999997973442,0.0,0.0
03/06/2015,0.002993999980390072,0.0,0.0
03/07/2015,0.0029529999010264874,0.0,0.0
03/08/2015,0.002947000088170171,0.0,0.0
03/09/2015,0.002957999939098954,0.0,0.0
03/10/2015,0.002899999963119626,0.0,0.0
03/11/2015,0.0029360000044107437,0.0,0.0
03/12/2015,0.00292899995110929,0.0,0.0
03/13/2015,0.0030960000585764647,0.0,0.0
03/14/2015,0.0029619999695569277,0.0,0.0
03/15/2015,0.0029609999619424343,0.0,0.0
03/16/2015,0.0030040000565350056,0.0,0.0
03/17/2015,0.0031449999660253525,0.0,0.0
03/18/2015,0.003000000026077032,0.0,0.0
03/19/2015,0.0026650000363588333,0.0,0.0
03/20/2015,0.0028170000296086073,0.0,0.0
03/21/2015,0.0027940000873059034,0.0,0.0
03/22/2015,0.002991999965161085,0.0,0.0
03/23/2015,0.003218000056222081,0.0,0.0
03/24/2015,0.003217000048607588,0.0,0.0
03/25/2015,0.002951999893411994,0.0,0.0
03/26/2015,0.0029329999815672636,0.0,0.0
03/27/2015,0.002951999893411994,0.0,0.0
03/28/2015,0.003074999898672104,0.0,0.0
03/29/2015,0.0029589999467134476,0.0,0.0
03/30/2015,0.003046999918296933,0.0,0.0
03/31/2015,0.0027340000960975885,0.0,0.0
04/01/2015,0.002873999997973442,0.0,0.0
04/02/2015,0.0028029999230057,0.0,0.0
04/03/2015,0.00266700005158782,0.0,0.0
04/04/2015,0.002767000114545226,0.0,0.0
04/05/2015,0.0026889999862760305,0.0,0.0
04/06/2015,0.00266700005158782,0.0,0.0
04/07/2015,0.002572000026702881,0.0,0.0
04/08/2015,0.0026889999862760305,0.0,0.0
04/09/2015,0.002707999898120761,0.0,0.0
04/10/2015,0.0026489999145269394,0.0,0.0
04/11/2015,0.0026390000712126493,0.0,0.0
04/12/2015,0.0027759999502450228,0.0,0.0
04/13/2015,0.0028329999186098576,0.0,0.0
04/14/2015,0.002715999959036708,0.0,0.0
04/15/2015,0.0026549999602138996,0.0,0.0
04/16/2015,0.0026710000820457935,0.0,0.0
04/17/2015,0.0027630000840872526,0.0,0.0
04/18/2015,0.002696000039577484,0.0,0.0
04/19/2015,0.0027409999165683985,0.0,0.0
04/20/2015,0.002684999955818057,0.0,0.0
04/21/2015,0.0026839999482035637,0.0,0.0
04/22/2015,0.0027620000764727592,0.0,0.0
04/23/2015,0.0026569999754428864,0.0,0.0
04/24/2015,0.0027489999774843454,0.0,0.0
04/25/2015,0.0026499999221414328,0.0,0.0
04/26/2015,0.002655999967828393,0.0,0.0
04/27/2015,0.002643000101670623,0.0,0.0
04/28/2015,0.002693000016734004,0.0,0.0
04/29/2015,0.0026320000179111958,0.0,0.0
04/30/2015,0.0025730000343173742,0.0,0.0
05/01/2015,0.002735000103712082,0.0,0.0
05/02/2015,0.0026459998916834593,0.0,0.0
05/03/2015,0.0026950000319629908,0.0,0.0
05/04/2015,0.00267699989490211,0.0,0.0
05/05/2015,0.003020999953150749,0.0,0.0
05/06/2015,0.0026910000015050173,0.0,0.0
05/07/2015,0.002761000068858266,0.0,0.0
05/08/2015,0.0027729999274015427,0.0,0.0
05/09/2015,0.00292599992826581,0.0,0.0
