GCEJX,Goldman Sachs Clean Energy Inco,
Date,Price,Annualized Dividend
06/26/2020,9.982300758361818,0.0
06/26/2020,9.982300758361816,0.0
06/29/2020,10.082124710083008,0.0
06/29/2020,10.082124710083008,0.0
06/30/2020,10.21189308166504,0.0
06/30/2020,10.211893081665039,0.0
07/01/2020,10.281769752502441,0.0
07/01/2020,10.281769752502441,0.0
07/02/2020,10.431504249572754,0.0
07/02/2020,10.431504249572754,0.0
07/06/2020,10.461450576782227,0.0
07/06/2020,10.461450576782227,0.0
07/07/2020,10.441487312316895,0.0
07/07/2020,10.441487312316895,0.0
07/08/2020,10.641132354736328,0.0
07/08/2020,10.641132354736328,0.0
07/09/2020,10.491398811340334,0.0
07/09/2020,10.491398811340332,0.0
07/10/2020,10.56127452850342,0.0
07/10/2020,10.561274528503418,0.0
07/13/2020,10.62116813659668,0.0
07/13/2020,10.62116813659668,0.0
07/14/2020,10.83079719543457,0.0
07/14/2020,10.83079719543457,0.0
07/15/2020,11.050406455993654,0.0
07/15/2020,11.050406455993652,0.0
07/16/2020,11.090335845947266,0.0
07/16/2020,11.090335845947266,0.0
07/17/2020,11.280000686645508,0.0
07/17/2020,11.280000686645508,0.0
07/20/2020,11.29996395111084,0.0
07/20/2020,11.29996395111084,0.0
07/21/2020,11.379822731018066,0.0
07/21/2020,11.379822731018066,0.0
07/22/2020,11.399787902832031,0.0
07/22/2020,11.399787902832031,0.0
07/23/2020,11.399787902832031,0.0
07/23/2020,11.399787902832031,0.0
07/24/2020,11.270017623901367,0.0
07/24/2020,11.270017623901367,0.0
07/27/2020,11.329912185668945,0.0
07/27/2020,11.329912185668945,0.0
07/28/2020,11.29996395111084,0.0
07/28/2020,11.29996395111084,0.0
07/29/2020,11.469663619995117,0.0
07/29/2020,11.469663619995117,0.0
07/30/2020,11.369841575622559,0.0
07/30/2020,11.369841575622559,0.0
07/31/2020,11.429734230041504,0.0
07/31/2020,11.429734230041504,0.0
08/03/2020,11.53954029083252,0.0
08/03/2020,11.53954029083252,0.0
08/04/2020,11.58945083618164,0.0
08/04/2020,11.58945083618164,0.0
08/05/2020,11.609416007995605,0.0
08/05/2020,11.609416007995605,0.0
08/06/2020,11.58945083618164,0.0
08/06/2020,11.58945083618164,0.0
08/07/2020,11.699256896972656,0.0
08/07/2020,11.699256896972656,0.0
08/10/2020,11.729203224182127,0.0
08/10/2020,11.729203224182129,0.0
08/11/2020,11.619399070739744,0.0
08/11/2020,11.619399070739746,0.0
08/12/2020,11.719221115112303,0.0
08/12/2020,11.719221115112305,0.0
08/13/2020,11.679291725158693,0.0
08/13/2020,11.679291725158691,0.0
08/14/2020,11.609416007995605,0.0
08/14/2020,11.609416007995605,0.0
08/17/2020,11.689274787902832,0.0
08/17/2020,11.689274787902832,0.0
08/18/2020,11.679291725158693,0.0
08/18/2020,11.679291725158691,0.0
08/19/2020,11.659327507019043,0.0
08/19/2020,11.659327507019043,0.0
08/20/2020,11.709239006042479,0.0
08/20/2020,11.70923900604248,0.0
08/21/2020,11.73918628692627,0.0
08/21/2020,11.73918628692627,0.0
08/24/2020,11.799079895019531,0.0
08/24/2020,11.799079895019531,0.0
08/25/2020,11.809062004089355,0.0
08/25/2020,11.809062004089355,0.0
08/26/2020,11.809062004089355,0.0
08/26/2020,11.809062004089355,0.0
08/27/2020,11.769132614135742,0.0
08/27/2020,11.769132614135742,0.0
08/28/2020,11.749168395996096,0.0
08/28/2020,11.749168395996094,0.0
08/31/2020,11.729203224182127,0.0
08/31/2020,11.729203224182129,0.0
09/01/2020,11.669309616088869,0.0
09/01/2020,11.669309616088867,0.0
09/02/2020,11.81904411315918,0.0
09/02/2020,11.81904411315918,0.0
09/03/2020,11.579469680786131,0.0
09/03/2020,11.579469680786133,0.0
09/04/2020,11.38980484008789,0.0
09/04/2020,11.38980484008789,0.0
09/08/2020,11.29996395111084,0.0
09/08/2020,11.29996395111084,0.0
09/09/2020,11.529558181762695,0.0
09/09/2020,11.529558181762695,0.0
09/10/2020,11.349876403808594,0.0
09/10/2020,11.349876403808594,0.0
09/11/2020,11.369841575622559,0.0
09/11/2020,11.369841575622559,0.0
09/14/2020,11.41975212097168,0.0
09/14/2020,11.41975212097168,0.0
09/15/2020,11.649345397949217,0.0
09/15/2020,11.649345397949219,0.0
09/16/2020,11.58945083618164,0.0
09/16/2020,11.58945083618164,0.0
09/17/2020,11.549522399902346,0.0
09/17/2020,11.549522399902344,0.0
09/18/2020,11.549522399902346,0.0
09/18/2020,11.549522399902344,0.0
09/21/2020,11.409770011901855,0.0
09/21/2020,11.409770011901855,0.0
09/22/2020,11.529558181762695,0.0
09/22/2020,11.529558181762695,0.0
09/23/2020,11.349876403808594,0.0
09/23/2020,11.349876403808594,0.0
09/24/2020,11.379822731018066,0.0
09/24/2020,11.379822731018066,0.0
09/25/2020,11.609416007995605,0.0
09/25/2020,11.609416007995605,0.0
09/28/2020,11.749168395996096,0.0
09/28/2020,11.749168395996094,0.0
09/29/2020,11.928849220275877,0.0
09/29/2020,11.928849220275879,0.0
09/30/2020,12.038655281066895,0.0
09/30/2020,12.038655281066895,0.0
10/01/2020,12.238301277160645,0.0
10/01/2020,12.238301277160645,0.0
10/02/2020,12.228319168090822,0.0
10/02/2020,12.22831916809082,0.0
10/05/2020,12.48785877227783,0.0
10/05/2020,12.487858772277832,0.0
10/06/2020,12.477876663208008,0.0
10/06/2020,12.477876663208008,0.0
10/07/2020,12.697486877441406,0.0
10/07/2020,12.697486877441406,0.0
10/08/2020,12.787327766418459,0.0
