NEP,"NextEra Energy Partners, LP",
Date,Price,Annualized Dividend
06/27/2014,25.60000907677545,0.0
06/27/2014,25.167444229125977,0.0
06/30/2014,25.702252935547158,0.0
06/30/2014,26.355031967163086,0.0
07/01/2014,27.408920841375533,0.0
07/01/2014,27.05500602722168,0.0
07/02/2014,27.487560449995154,0.0
07/02/2014,27.212289810180664,0.0
07/03/2014,27.40105782388848,0.0
07/03/2014,27.22016716003418,0.0
07/07/2014,27.039270193789594,0.0
07/07/2014,27.676319122314453,0.0
07/08/2014,27.80216206528632,0.0
07/08/2014,27.660594940185547,0.0
07/09/2014,28.171805463923,0.0
07/09/2014,27.338132858276367,0.0
07/10/2014,27.21229907542132,0.0
07/10/2014,27.48756980895996,0.0
07/11/2014,27.644867217010223,0.0
07/11/2014,27.526893615722656,0.0
07/14/2014,27.48756595229582,0.0
07/14/2014,27.574079513549805,0.0
07/15/2014,27.53475537234594,0.0
07/15/2014,27.42464828491211,0.0
07/16/2014,27.526893615722656,0.0
07/16/2014,27.526893615722656,0.0
07/17/2014,27.57407320081771,0.0
07/17/2014,27.165102005004883,0.0
07/18/2014,27.52689306286798,0.0
07/18/2014,27.133651733398438,0.0
07/21/2014,27.519027512534194,0.0
07/21/2014,27.14937973022461,0.0
07/22/2014,26.716818449262064,0.0
07/22/2014,28.313377380371094,0.0
07/23/2014,28.793124331690567,0.0
07/23/2014,27.857208251953125,0.0
07/24/2014,27.61340364227892,0.0
07/24/2014,27.566213607788086,0.0
07/25/2014,27.259481126751062,0.0
07/25/2014,26.976346969604492,0.0
07/28/2014,27.03141009834481,0.0
07/28/2014,27.204437255859375,0.0
07/29/2014,27.330273055663064,0.0
07/29/2014,27.51116371154785,0.0
07/30/2014,27.71564816266601,0.0
07/30/2014,27.14937973022461,0.0
07/31/2014,26.76400315295274,0.0
07/31/2014,26.771869659423828,0.0
08/01/2014,26.740409845214703,0.0
08/01/2014,26.583112716674805,0.0
08/04/2014,26.937026977539062,0.0
08/04/2014,26.937026977539062,0.0
08/05/2014,26.952759880627937,0.0
08/05/2014,26.11908721923828,0.0
08/06/2014,26.032572147140538,0.0
08/06/2014,25.379793167114258,0.0
08/07/2014,25.615738467335724,0.0
08/07/2014,25.694385528564453,0.0
08/08/2014,25.922464269087694,0.0
08/08/2014,26.33930206298828,0.0
08/11/2014,26.55165432792398,0.0
08/11/2014,26.386493682861328,0.0
08/12/2014,26.449408852769498,0.0
08/12/2014,26.905567169189453,0.0
08/13/2014,27.188704895516405,0.0
08/13/2014,27.110057830810547,0.0
08/14/2014,27.290946400719815,0.0
08/14/2014,26.653894424438477,0.0
08/15/2014,26.614569256355797,0.0
08/15/2014,26.937026977539062,0.0
08/18/2014,27.05499974950457,0.0
08/18/2014,26.732542037963867,0.0
08/19/2014,26.897706857220268,0.0
08/19/2014,26.441545486450195,0.0
08/20/2014,26.55165388755504,0.0
08/20/2014,26.449413299560547,0.0
08/21/2014,26.598834861580844,0.0
08/21/2014,26.701078414916992,0.0
08/22/2014,26.63817213370425,0.0
08/22/2014,27.023550033569336,0.0
08/25/2014,26.984215803122108,0.0
08/25/2014,27.15723991394043,0.0
08/26/2014,27.180838531101823,0.0
08/26/2014,27.369592666625977,0.0
08/27/2014,27.27521566271976,0.0
08/27/2014,27.44037628173828,0.0
08/28/2014,27.440381359475335,0.0
08/28/2014,27.22016716003418,0.0
08/29/2014,27.094328690725668,0.0
08/29/2014,27.613407135009766,0.0
09/02/2014,27.157242161067593,0.0
09/02/2014,27.66845703125,0.0
09/03/2014,27.84148772047326,0.0
09/03/2014,27.786434173583984,0.0
09/04/2014,27.89653650034253,0.0
09/04/2014,28.04596710205078,0.0
09/05/2014,28.19540334175126,0.0
09/05/2014,28.2189998626709,0.0
09/08/2014,28.34482980491656,0.0
09/08/2014,29.650390625,0.0
09/09/2014,29.45377886339522,0.0
09/09/2014,29.115591049194336,0.0
09/10/2014,29.08412558137972,0.0
09/10/2014,29.154909133911133,0.0
09/11/2014,29.29647597878446,0.0
09/11/2014,29.27288246154785,0.0
09/12/2014,29.548144020576927,0.0
09/12/2014,28.83244514465332,0.0
09/15/2014,28.97401745034971,0.0
09/15/2014,28.66728973388672,0.0
09/16/2014,28.47067452141184,0.0
09/16/2014,28.313377380371094,0.0
09/17/2014,28.49426190736832,0.0
09/17/2014,28.04596710205078,0.0
09/18/2014,28.336957317071505,0.0
09/18/2014,28.431337356567383,0.0
09/19/2014,28.65942764282227,0.0
09/19/2014,28.659427642822266,0.0
09/22/2014,28.415617919883864,0.0
09/22/2014,27.684188842773438,0.0
09/23/2014,27.440368882056063,0.0
09/23/2014,27.739233016967773,0.0
09/24/2014,27.637001362441953,0.0
09/24/2014,27.747108459472656,0.0
09/25/2014,27.519028387872368,0.0
09/25/2014,27.89653968811035,0.0
09/26/2014,27.79429293065121,0.0
09/26/2014,28.04596710205078,0.0
09/29/2014,27.904399707619824,0.0
09/29/2014,27.60553550720215,0.0
09/30/2014,27.684185000906165,0.0
09/30/2014,27.283077239990234,0.0
10/01/2014,27.298812479518823,0.0
10/01/2014,26.96062469482422,0.0
10/02/2014,27.015682220458984,0.0
10/02/2014,27.015682220458984,0.0
10/03/2014,27.456105442351443,0.0
10/03/2014,26.921297073364258,0.0
10/06/2014,27.393195531889795,0.0
10/06/2014,26.543792724609375,0.0
10/07/2014,26.441543129627,0.0
10/07/2014,26.347166061401367,0.0
10/08/2014,26.504466345354157,0.0
10/08/2014,25.65506362915039,0.0
10/09/2014,25.686524751359507,0.0
