GDDY,GoDaddy Inc.,
Date,Price,Annualized Dividend
03/31/2015,20.0,0.0
03/31/2015,20.0,0.0
04/01/2015,26.149999618530273,0.0
04/01/2015,26.149999618530273,0.0
04/02/2015,26.719999313354492,0.0
04/02/2015,26.5,0.0
04/06/2015,26.719999313354492,0.0
04/06/2015,25.799999237060547,0.0
04/07/2015,25.84000015258789,0.0
04/07/2015,25.239999771118164,0.0
04/08/2015,25.350000381469727,0.0
04/08/2015,25.149999618530273,0.0
04/09/2015,25.100000381469727,0.0
04/09/2015,26.31999969482422,0.0
04/10/2015,26.34000015258789,0.0
04/10/2015,25.290000915527344,0.0
04/13/2015,25.239999771118164,0.0
04/13/2015,25.3700008392334,0.0
04/14/2015,25.25,0.0
04/14/2015,25.799999237060547,0.0
04/15/2015,25.8799991607666,0.0
04/15/2015,25.1200008392334,0.0
04/16/2015,25.040000915527344,0.0
04/16/2015,24.780000686645508,0.0
04/17/2015,24.549999237060547,0.0
04/17/2015,25.15999984741211,0.0
04/20/2015,25.190000534057617,0.0
04/20/2015,25.139999389648438,0.0
04/21/2015,25.18000030517578,0.0
04/21/2015,24.780000686645508,0.0
04/22/2015,24.760000228881836,0.0
04/22/2015,24.770000457763672,0.0
04/23/2015,24.75,0.0
04/23/2015,25.049999237060547,0.0
04/24/2015,24.899999618530273,0.0
04/24/2015,25.6299991607666,0.0
04/27/2015,25.75,0.0
04/27/2015,26.15999984741211,0.0
04/28/2015,26.219999313354492,0.0
04/28/2015,25.149999618530273,0.0
04/29/2015,24.860000610351562,0.0
04/29/2015,24.8799991607666,0.0
04/30/2015,24.899999618530273,0.0
04/30/2015,25.06999969482422,0.0
05/01/2015,25.190000534057617,0.0
05/01/2015,25.959999084472656,0.0
05/04/2015,26.0,0.0
05/04/2015,25.979999542236328,0.0
05/05/2015,25.959999084472656,0.0
05/05/2015,25.420000076293945,0.0
05/06/2015,25.450000762939453,0.0
05/06/2015,24.540000915527344,0.0
05/07/2015,24.690000534057617,0.0
05/07/2015,24.809999465942383,0.0
05/08/2015,25.280000686645508,0.0
05/08/2015,24.8799991607666,0.0
05/11/2015,26.25,0.0
05/11/2015,25.68000030517578,0.0
05/12/2015,26.100000381469727,0.0
05/12/2015,26.770000457763672,0.0
05/13/2015,26.690000534057617,0.0
05/13/2015,26.5,0.0
05/14/2015,26.639999389648438,0.0
05/14/2015,26.229999542236328,0.0
05/15/2015,26.229999542236328,0.0
05/15/2015,26.510000228881836,0.0
05/18/2015,26.5,0.0
05/18/2015,26.229999542236328,0.0
05/19/2015,26.309999465942383,0.0
05/19/2015,25.940000534057617,0.0
05/20/2015,25.889999389648438,0.0
05/20/2015,26.3799991607666,0.0
05/21/2015,26.6200008392334,0.0
05/21/2015,25.600000381469727,0.0
05/22/2015,25.75,0.0
05/22/2015,26.100000381469727,0.0
05/26/2015,26.030000686645508,0.0
05/26/2015,26.420000076293945,0.0
05/27/2015,26.5,0.0
05/27/2015,26.979999542236328,0.0
05/28/2015,26.8700008392334,0.0
05/28/2015,26.65999984741211,0.0
05/29/2015,26.6200008392334,0.0
05/29/2015,26.93000030517578,0.0
06/01/2015,27.1299991607666,0.0
06/01/2015,27.09000015258789,0.0
06/02/2015,27.09000015258789,0.0
06/02/2015,27.6299991607666,0.0
06/03/2015,27.850000381469727,0.0
06/03/2015,28.90999984741211,0.0
06/04/2015,29.0,0.0
06/04/2015,28.920000076293945,0.0
06/05/2015,28.8799991607666,0.0
06/05/2015,28.690000534057617,0.0
06/08/2015,28.670000076293945,0.0
06/08/2015,29.100000381469727,0.0
06/09/2015,29.18000030517578,0.0
06/09/2015,29.5,0.0
06/10/2015,29.520000457763672,0.0
06/10/2015,30.15999984741211,0.0
06/11/2015,30.18000030517578,0.0
06/11/2015,29.690000534057617,0.0
06/12/2015,29.940000534057617,0.0
06/12/2015,29.280000686645508,0.0
06/15/2015,29.139999389648438,0.0
06/15/2015,29.40999984741211,0.0
06/16/2015,29.31999969482422,0.0
06/16/2015,30.459999084472656,0.0
06/17/2015,30.59000015258789,0.0
06/17/2015,30.540000915527344,0.0
06/18/2015,30.690000534057617,0.0
06/18/2015,31.350000381469727,0.0
06/19/2015,31.3700008392334,0.0
06/19/2015,31.799999237060547,0.0
06/22/2015,32.099998474121094,0.0
06/22/2015,31.360000610351562,0.0
06/23/2015,31.34000015258789,0.0
06/23/2015,31.81999969482422,0.0
06/24/2015,31.84000015258789,0.0
06/24/2015,31.459999084472656,0.0
06/25/2015,31.559999465942383,0.0
06/25/2015,31.010000228881836,0.0
06/26/2015,30.959999084472656,0.0
06/26/2015,29.540000915527344,0.0
06/29/2015,29.280000686645508,0.0
06/29/2015,28.18000030517578,0.0
06/30/2015,28.260000228881836,0.0
06/30/2015,28.190000534057617,0.0
07/01/2015,28.489999771118164,0.0
07/01/2015,28.290000915527344,0.0
07/02/2015,28.290000915527344,0.0
07/02/2015,27.139999389648438,0.0
07/06/2015,26.850000381469727,0.0
07/06/2015,27.270000457763672,0.0
07/07/2015,27.139999389648438,0.0
07/07/2015,26.829999923706055,0.0
07/08/2015,26.690000534057617,0.0
07/08/2015,26.079999923706055,0.0
07/09/2015,26.209999084472656,0.0
07/09/2015,26.610000610351562,0.0
07/10/2015,27.06999969482422,0.0
07/10/2015,26.979999542236328,0.0
07/13/2015,27.25,0.0
07/13/2015,26.649999618530273,0.0
07/14/2015,26.510000228881836,0.0
07/14/2015,26.950000762939453,0.0
07/15/2015,26.809999465942383,0.0
07/15/2015,26.43000030517578,0.0
