GECC,Great Elm Capital Corp.,
Date,Price,Annualized Dividend
11/04/2016,6.362062977405208,0.0
11/04/2016,7.1812872886657715,0.0
11/07/2016,6.4718707581771,0.0
11/07/2016,6.408540725708008,0.0
11/08/2016,6.430619876705569,0.0
11/08/2016,6.402731418609619,0.0
11/09/2016,6.1877582571357035,0.0
11/09/2016,6.420162677764893,0.0
11/10/2016,6.216808738720995,0.0
11/10/2016,6.420162677764893,0.0
11/11/2016,6.216807796689851,0.0
11/11/2016,6.402731418609619,0.0
11/14/2016,6.245859471631515,0.0
11/14/2016,6.321390151977539,0.0
11/15/2016,6.327199415236282,0.0
11/15/2016,6.228428363800049,0.0
11/16/2016,6.1877562390633685,0.0
11/16/2016,6.227264881134033,0.0
11/17/2016,6.2458594427169,0.0
11/17/2016,6.256317615509033,0.0
11/18/2016,6.2458584321596495,0.0
11/18/2016,6.100605487823486,0.0
11/21/2016,6.077363256225019,0.0
11/21/2016,6.303957462310791,0.0
11/22/2016,6.251667941796784,0.0
11/22/2016,6.350439548492432,0.0
11/23/2016,6.286528508865836,0.0
11/23/2016,6.350439548492432,0.0
11/25/2016,6.362058395167,0.0
11/25/2016,6.303957462310791,0.0
11/28/2016,6.280718645419163,0.0
11/28/2016,6.362060546875,0.0
11/29/2016,6.333010196685791,0.0
11/29/2016,6.333010196685791,0.0
11/30/2016,6.2284290386602015,0.0
11/30/2016,6.333010196685791,0.0
12/01/2016,6.222617994440014,0.0
12/01/2016,6.26909875869751,0.0
12/02/2016,6.2226177525325586,0.0
12/02/2016,6.193567276000977,0.0
12/05/2016,6.193567276000977,0.0
12/05/2016,6.193567276000977,0.0
12/06/2016,6.2168090074623485,0.0
12/06/2016,6.274909973144531,0.0
12/07/2016,6.228429170162566,0.0
12/07/2016,6.240049362182617,0.0
12/08/2016,6.216808466508854,0.0
12/08/2016,6.205188274383545,0.0
12/09/2016,6.158707052806643,0.0
12/09/2016,6.309770107269287,0.0
12/12/2016,6.1877549918136925,0.0
12/12/2016,6.216805458068848,0.0
12/13/2016,6.205187300681119,0.0
12/13/2016,6.1877570152282715,0.0
12/14/2016,6.187758025283375,0.0
12/14/2016,6.176138401031494,0.0
12/15/2016,6.187758099558874,0.0
12/15/2016,6.158707618713379,0.0
12/16/2016,6.177881504018245,0.0
12/16/2016,6.158707618713379,0.0
12/19/2016,6.123843837534965,0.0
12/19/2016,6.1296539306640625,0.0
12/20/2016,6.081432174140081,0.0
12/20/2016,6.100605487823486,0.0
12/21/2016,6.115131724232799,0.0
12/21/2016,6.1157121658325195,0.0
12/22/2016,6.090148506409416,0.0
12/22/2016,6.112227439880371,0.0
12/23/2016,6.103510535351275,0.0
12/23/2016,6.100605487823486,0.0
12/27/2016,6.1587047734815945,0.0
12/27/2016,6.391108512878418,0.0
12/28/2016,6.500836372375488,0.161951
12/28/2016,6.500836372375488,0.161951
12/29/2016,6.441844215809866,0.161951
12/29/2016,6.636515140533447,0.161951
12/30/2016,6.69550870893003,0.161951
12/30/2016,6.884281158447266,0.161951
01/03/2017,6.907872116252362,0.161951
01/03/2017,6.825284481048584,0.161951
01/04/2017,6.791073708572052,0.161951
01/04/2017,6.901976585388184,0.161951
01/05/2017,6.8901773256716785,0.161951
01/05/2017,6.9550676345825195,0.161951
01/06/2017,6.894894635940527,0.161951
01/06/2017,6.825284481048584,0.161951
01/09/2017,6.890175914707394,0.161951
01/09/2017,6.801689147949219,0.161951
01/10/2017,6.82469639403761,0.161951
01/10/2017,6.7603960037231445,0.161951
01/11/2017,6.725001667587095,0.161951
01/11/2017,6.713203430175781,0.161951
01/12/2017,6.778093735938005,0.161951
01/12/2017,6.713203430175781,0.161951
01/13/2017,6.783405171659074,0.161951
01/13/2017,6.789893627166748,0.161951
01/17/2017,6.789891595610514,0.161951
01/17/2017,6.7603960037231445,0.161951
01/18/2017,6.677807795981475,0.161951
01/18/2017,6.742698669433594,0.161951
01/19/2017,6.736800162360746,0.161951
01/19/2017,6.636515140533447,0.161951
01/20/2017,6.612919872021006,0.161951
01/20/2017,6.677810192108154,0.161951
01/23/2017,6.671907245203297,0.161951
01/23/2017,6.6955037117004395,0.161951
01/24/2017,6.689608626409975,0.161951
01/24/2017,6.654213905334473,0.161951
01/25/2017,6.654212185831637,0.161951
01/25/2017,6.630615711212158,0.161951
01/26/2017,6.671910142516308,0.161951
01/26/2017,6.660111904144287,0.161951
01/27/2017,6.798578989013984,0.242927
01/27/2017,6.655951023101807,0.242927
01/30/2017,6.647036311278618,0.242927
01/30/2017,6.60246467590332,0.242927
01/31/2017,6.638123008573177,0.242927
01/31/2017,6.626237392425537,0.242927
02/01/2017,6.560868333870782,0.242927
02/01/2017,6.596525192260742,0.242927
02/02/2017,6.661299536220943,0.242927
02/02/2017,6.650008201599121,0.242927
02/03/2017,6.572753262467634,0.242927
02/03/2017,6.721323490142822,0.242927
02/06/2017,6.715379807149019,0.242927
02/06/2017,6.756979465484619,0.242927
02/07/2017,6.739151040483647,0.242927
02/07/2017,6.756979465484619,0.242927
02/08/2017,6.75697858154261,0.242927
02/08/2017,6.7866926193237305,0.242927
02/09/2017,6.778372861887085,0.242927
02/09/2017,6.655951023101807,0.242927
02/10/2017,6.655952515922222,0.242927
02/10/2017,6.685666561126709,0.242927
02/13/2017,6.665459925712749,0.242927
02/13/2017,6.626237392425537,0.242927
02/14/2017,6.685666561126709,0.242927
02/14/2017,6.685666561126709,0.242927
02/15/2017,6.636935326200367,0.242927
02/15/2017,6.59058141708374,0.242927
02/16/2017,6.548982372938965,0.242927
