BNS,Bank Nova Scotia Halifax Pfd 3,
Date,Price,Dividend,Annualized Dividend
09/01/2000,5.796993255615234,0.0,0.0
09/07/2000,5.709159851074219,0.0,0.0
09/11/2000,5.709159851074219,0.0,0.0
09/13/2000,5.928745269775391,0.0,0.0
09/14/2000,6.104410171508789,0.0,0.0
09/15/2000,6.165892177409274,0.0,0.0
09/18/2000,6.183458382680328,0.0,0.0
09/19/2000,6.201025538924927,0.0,0.0
09/20/2000,6.218592166900635,0.0,0.0
09/21/2000,6.455744743347168,0.0,0.0
09/28/2000,6.1483259201049805,0.0,0.0
09/29/2000,6.2888593673706055,0.0,0.0
10/02/2000,6.2888593673706055,0.0,0.0
10/06/2000,6.2888593673706055,0.0,0.0
10/13/2000,5.814560413360596,0.0,0.0
10/19/2000,5.709162333855513,0.0,0.0
10/20/2000,5.665245532989502,0.0,0.0
10/26/2000,5.832127571105957,0.0,0.0
11/01/2000,6.236161708831787,0.0,0.0
11/02/2000,6.271294593811035,0.0,0.0
11/03/2000,6.359126567840576,0.0,0.0
11/08/2000,6.438177108764648,0.0,0.0
11/10/2000,6.420610427856445,0.0,0.0
11/15/2000,6.253728345015811,0.0,0.0
11/16/2000,5.8672614097595215,0.0,0.0
11/20/2000,5.5774102210998535,0.0,0.0
11/21/2000,5.577407659616384,0.0,0.0
11/22/2000,5.524707794189454,0.0,0.0
11/24/2000,5.48957633972168,0.0,0.0
11/28/2000,5.6828107833862305,0.0,0.0
11/29/2000,5.709159851074219,0.0,0.0
12/06/2000,5.54227441599843,0.0,0.0
12/07/2000,5.524707794189454,0.0,0.0
12/12/2000,6.183458382680328,0.0,0.0
12/13/2000,6.201025009155273,0.0,0.0
12/20/2000,5.981445312499999,0.0,0.0
12/21/2000,5.963879108428955,0.0,0.0
01/04/2001,6.121976425866013,0.0,0.0
01/05/2001,6.420610427856445,0.0,0.0
01/08/2001,6.341561750177996,0.0,0.0
01/09/2001,6.323995113372803,0.0,0.0
01/10/2001,6.306427001953125,0.0,0.0
01/12/2001,6.359125482943345,0.0,0.0
01/16/2001,6.306427001953125,0.0,0.0
01/24/2001,6.218592166900635,0.0,0.0
01/25/2001,6.2537279587121315,0.0,0.0
01/26/2001,6.271294593811035,0.0,0.0
01/30/2001,6.52601103588824,0.0,0.0
01/31/2001,6.5435762899925045,0.0,0.0
02/01/2001,6.622625350952148,0.0,0.0
02/05/2001,6.622625350952148,0.0,0.0
02/06/2001,6.877342224121094,0.0,0.0
02/07/2001,6.859776020050049,0.0,0.0
02/08/2001,6.692892074584961,0.0,0.0
02/14/2001,6.561142921447754,0.0,0.0
02/16/2001,6.6401968002319345,0.0,0.0
02/20/2001,6.710457324981689,0.0,0.0
02/23/2001,5.9463090896606445,0.0,0.0
02/27/2001,6.0517120361328125,0.0,0.0
03/06/2001,6.490877628326416,0.0,0.0
