FENY,Fidelity MSCI Energy Index ETF,
Date,Price,Annualized Dividend
10/24/2013,19.751994816571667,0.0
10/24/2013,19.501672744750977,0.0
10/25/2013,19.52513790686906,0.0
10/25/2013,19.556428909301758,0.0
10/28/2013,19.572071557338834,0.0
10/28/2013,19.587717056274414,0.0
10/29/2013,19.775459754017696,0.0
10/29/2013,19.72852325439453,0.0
10/30/2013,19.751994229699427,0.0
10/30/2013,19.603364944458008,0.0
10/31/2013,20.409089329110284,0.0
10/31/2013,19.556428909301758,0.0
11/01/2013,19.73635076144276,0.0
11/01/2013,19.48602867126465,0.0
11/04/2013,19.681585405325936,0.0
11/04/2013,19.759811401367188,0.0
11/05/2013,19.712881966653516,0.0
11/05/2013,19.603364944458008,0.0
11/06/2013,19.8223958829085,0.0
11/06/2013,19.65812110900879,0.0
11/07/2013,19.751994675620384,0.0
11/07/2013,19.3452205657959,0.0
11/08/2013,19.47037957600703,0.0
11/08/2013,19.65812110900879,0.0
11/11/2013,19.79110321264064,0.0
11/11/2013,19.697233200073242,0.0
11/12/2013,19.759812491959508,0.0
11/12/2013,19.493844985961914,0.0
11/13/2013,19.540778978011062,0.0
11/13/2013,19.642473220825195,0.0
11/14/2013,19.775457449674004,0.0
11/14/2013,19.791101455688477,0.0
11/15/2013,19.939734218910825,0.0
11/15/2013,19.93191146850586,0.0
11/18/2013,20.064891868032483,0.0
11/18/2013,19.751989364624023,0.0
11/19/2013,19.814569865305714,0.0
11/19/2013,19.751989364624023,0.0
11/20/2013,19.84585989022772,0.0
11/20/2013,19.7206974029541,0.0
11/21/2013,19.845860560953255,0.0
11/21/2013,19.89279556274414,0.0
11/22/2013,20.002318859142132,0.0
11/22/2013,19.98667335510254,0.0
11/25/2013,20.05706993141178,0.0
11/25/2013,19.8223934173584,0.0
11/26/2013,19.90061838211179,0.0
11/26/2013,19.77545738220215,0.0
11/27/2013,19.869329132415594,0.0
11/27/2013,19.619007110595703,0.0
11/29/2013,19.572074719579795,0.0
11/29/2013,19.611186981201172,0.0
12/02/2013,19.673759283009314,0.0
12/02/2013,19.57988929748535,0.0
12/03/2013,19.61118538711812,0.0
12/03/2013,19.665943145751953,0.0
12/04/2013,19.673761268843954,0.0
12/04/2013,19.595535278320312,0.0
12/05/2013,19.634651577604025,0.0
12/05/2013,19.572071075439453,0.0
12/06/2013,19.705052261868076,0.0
12/06/2013,19.595535278320312,0.0
12/09/2013,19.681590962587027,0.0
12/09/2013,19.603364944458008,0.0
12/10/2013,19.665945460553786,0.0
12/10/2013,19.603364944458008,0.0
12/11/2013,19.62683162675001,0.0
12/11/2013,19.266992568969727,0.0
12/12/2013,19.30610497505404,0.0
12/12/2013,19.360862731933594,0.0
12/13/2013,19.313929317873235,0.0
12/13/2013,19.306106567382812,0.0
12/16/2013,19.548606082988027,0.0
12/16/2013,19.47820281982422,0.0
12/17/2013,19.54078150226269,0.0
12/17/2013,19.360862731933594,0.0
12/18/2013,19.532954882554414,0.0
12/18/2013,19.67376136779785,0.0
12/19/2013,19.736342900367898,0.0
12/19/2013,19.7206974029541,0.0
12/20/2013,19.856478521194056,0.083
12/20/2013,19.919265747070312,0.083
12/23/2013,19.98205331599436,0.083
12/23/2013,19.793691635131836,0.083
12/24/2013,19.73090403232825,0.083
12/24/2013,19.895721435546875,0.083
12/26/2013,19.934960991353645,0.083
12/26/2013,20.060535430908203,0.083
12/27/2013,20.19395442335669,0.083
12/27/2013,20.17041015625,0.083
12/30/2013,20.186105681793066,0.083
12/30/2013,20.021289825439453,0.083
12/31/2013,20.1233248203881,0.083
12/31/2013,20.217506408691406,0.083
01/02/2014,20.139021786119983,0.083
01/02/2014,19.919265747070312,0.083
01/03/2014,19.9663584190005,0.083
01/03/2014,19.85647964477539,0.083
01/06/2014,19.99774770539927,0.083
01/06/2014,19.848628997802734,0.083
01/07/2014,19.974205055484514,0.083
01/07/2014,19.99774932861328,0.083
01/08/2014,20.076232102377393,0.083
01/08/2014,19.848628997802734,0.083
01/09/2014,19.93496327002012,0.083
01/09/2014,19.793691635131836,0.083
01/10/2014,19.872174579072123,0.083
01/10/2014,19.817235946655273,0.083
01/13/2014,19.84863357587325,0.083
01/13/2014,19.456212997436523,0.083
01/14/2014,19.55823705273001,0.083
01/14/2014,19.699508666992188,0.083
01/15/2014,19.777997879689625,0.083
01/15/2014,19.628877639770508,0.083
01/16/2014,19.62102378000532,0.083
01/16/2014,19.65241813659668,0.083
01/17/2014,19.754452404320944,0.083
01/17/2014,19.644575119018555,0.083
01/21/2014,19.79369306145248,0.083
01/21/2014,19.74660301208496,0.083
01/22/2014,19.832933762822407,0.083
01/22/2014,19.872175216674805,0.083
01/23/2014,19.793689567293622,0.083
01/23/2014,19.62102508544922,0.083
01/24/2014,19.526842419461296,0.083
01/24/2014,19.236452102661133,0.083
01/27/2014,19.27569214783607,0.083
01/27/2014,19.142269134521484,0.083
01/28/2014,19.12657548419242,0.083
01/28/2014,19.291391372680664,0.083
01/29/2014,19.157966915200273,0.083
01/29/2014,19.173664093017578,0.083
01/30/2014,19.30708549476403,0.083
01/30/2014,19.189359664916992,0.083
01/31/2014,19.03239699685027,0.083
01/31/2014,18.946063995361328,0.083
02/03/2014,18.898973670700425,0.083
02/03/2014,18.60073471069336,0.083
02/04/2014,18.67136642411065,0.083
02/04/2014,18.749849319458008,0.083
02/05/2014,18.742002778749335,0.083
02/05/2014,18.592884063720703,0.083
02/06/2014,18.58503873031739,0.083
02/06/2014,18.851884841918945,0.083
02/07/2014,19.01669212007422,0.083
