FSLEX,Fidelity Select Environmental a,
Date,Price,Dividend,Annualized Dividend
02/28/1990,9.76040267944336,0.0,0.01
03/01/1990,9.787318229675293,0.0,0.01
03/02/1990,9.868055343627928,0.0,0.01
03/05/1990,9.9308500289917,0.0,0.01
03/08/1990,10.038503646850586,0.0,0.01
03/09/1990,10.011590957641602,0.0,0.01
03/16/1990,10.029532432556152,0.0,0.01
03/21/1990,10.101302146911623,0.0,0.01
03/23/1990,10.056447982788088,0.0,0.01
03/26/1990,10.110269546508789,0.0,0.01
03/29/1990,10.146153450012207,0.0,0.01
03/30/1990,10.182038307189941,0.0,0.01
04/04/1990,10.217924118041992,0.0,0.01
04/09/1990,10.262776374816895,0.0,0.01
04/11/1990,10.406314849853516,0.0,0.01
04/12/1990,10.460139274597168,0.0,0.01
04/16/1990,10.451169967651367,0.0,0.01
04/17/1990,10.433223724365234,0.0,0.01
04/18/1990,10.397342681884766,0.0,0.01
04/19/1990,10.32557201385498,0.0,0.01
04/24/1990,10.155125617980957,0.0,0.01
04/25/1990,10.199981689453125,0.0,0.01
04/26/1990,10.235865592956543,0.0,0.01
05/02/1990,10.307633399963379,0.0,0.01
05/04/1990,10.388371467590332,0.0,0.01
05/08/1990,10.522934913635254,0.0,0.01
05/09/1990,10.531906127929688,0.0,0.01
05/11/1990,10.675439834594727,0.0,0.01
05/14/1990,10.747210502624512,0.0,0.01
05/15/1990,10.765151977539062,0.0,0.01
05/17/1990,10.908686637878418,0.0,0.01
05/18/1990,10.998396873474121,0.0,0.01
05/21/1990,11.141932487487793,0.0,0.01
05/22/1990,11.12398910522461,0.0,0.01
05/24/1990,11.097077369689943,0.0,0.01
05/25/1990,11.016337394714355,0.0,0.01
05/29/1990,11.115019798278809,0.0,0.01
05/30/1990,11.17781734466553,0.0,0.01
05/31/1990,11.186787605285645,0.0,0.01
06/01/1990,11.25855255126953,0.0,0.01
06/04/1990,11.3034086227417,0.0,0.01
06/05/1990,11.285468101501465,0.0,0.01
06/07/1990,11.276495933532715,0.0,0.01
06/08/1990,11.150903701782227,0.0,0.01
06/12/1990,11.339290618896484,0.0,0.01
06/13/1990,11.411059379577637,0.0,0.01
06/14/1990,11.366207122802734,0.0,0.01
06/18/1990,11.23164176940918,0.0,0.01
06/21/1990,11.29443836212158,0.0,0.01
06/22/1990,11.312378883361816,0.0,0.01
06/25/1990,11.249584197998049,0.0,0.01
06/27/1990,11.330321311950682,0.0,0.01
06/28/1990,11.35723304748535,0.0,0.01
06/29/1990,11.53665542602539,0.0,0.01
07/02/1990,11.599448204040527,0.0,0.01
07/03/1990,11.680188179016113,0.0,0.01
07/05/1990,11.608419418334961,0.0,0.01
07/06/1990,11.689160346984862,0.0,0.01
07/09/1990,11.859609603881836,0.0,0.01
07/10/1990,11.850636482238768,0.0,0.01
07/11/1990,11.994173049926758,0.0,0.01
07/12/1990,12.09285354614258,0.0,0.01
07/13/1990,12.12873649597168,0.0,0.01
07/16/1990,12.155650138854979,0.0,0.01
07/17/1990,12.03902816772461,0.0,0.01
07/18/1990,11.877549171447754,0.0,0.01
07/19/1990,11.823723793029785,0.0,0.01
07/20/1990,11.769901275634766,0.0,0.01
07/23/1990,11.518712997436523,0.0,0.01
07/24/1990,11.509742736816406,0.0,0.01
07/25/1990,11.545626640319822,0.0,0.01
07/26/1990,11.617391586303711,0.0,0.01
07/30/1990,11.473857879638672,0.0,0.01
07/31/1990,11.464884757995605,0.0,0.01
08/01/1990,11.482829093933105,0.0,0.01
08/03/1990,10.899717330932617,0.0,0.01
08/07/1990,10.594706535339355,0.0,0.01
08/08/1990,10.836919784545898,0.0,0.01
08/09/1990,10.926629066467285,0.0,0.01
08/10/1990,10.79206371307373,0.0,0.01
08/13/1990,10.85486125946045,0.0,0.01
08/14/1990,10.890745162963867,0.0,0.01
08/15/1990,11.007367134094238,0.0,0.01
08/16/1990,10.774121284484862,0.0,0.01
08/17/1990,10.558817863464355,0.0,0.01
08/23/1990,9.598926544189453,0.0,0.01
09/17/1990,10.002620697021484,0.0,0.01
09/24/1990,9.455390930175781,0.0,0.01
09/26/1990,9.500247955322266,0.0,0.01
09/27/1990,9.302886009216309,0.0,0.01
10/02/1990,9.769373893737793,0.0,0.01
10/03/1990,9.670693397521973,0.0,0.01
10/04/1990,9.61686897277832,0.0,0.01
10/08/1990,9.58995532989502,0.0,0.01
10/09/1990,9.419508934020996,0.0,0.01
10/10/1990,9.204205513000488,0.0,0.01
10/11/1990,8.979930877685547,0.0,0.01
10/12/1990,9.033757209777832,0.0,0.01
10/15/1990,9.0516996383667,0.0,0.01
10/16/1990,8.899192810058594,0.0,0.01
10/17/1990,8.953018188476562,0.0,0.01
10/18/1990,9.177291870117188,0.0,0.01
10/19/1990,9.338769912719727,0.0,0.01
10/22/1990,9.509218215942383,0.0,0.01
10/24/1990,9.634807586669922,0.0,0.01
10/26/1990,9.4733304977417,0.0,0.01
10/29/1990,9.374651908874512,0.0,0.01
10/31/1990,9.365679740905762,0.0,0.01
11/02/1990,9.527158737182617,0.0,0.01
11/06/1990,9.482305526733398,0.0,0.01
11/07/1990,9.284944534301758,0.0,0.01
11/08/1990,9.267000198364258,0.0,0.01
11/09/1990,9.41053581237793,0.0,0.01
11/13/1990,9.554070472717285,0.0,0.01
11/15/1990,9.5181884765625,0.0,0.01
11/21/1990,9.491273880004883,0.0,0.01
11/29/1990,9.580985069274902,0.0,0.01
11/30/1990,9.688638687133789,0.0,0.01
12/04/1990,9.894964218139648,0.0,0.01
12/07/1990,10.074387550354004,0.0,0.01
12/14/1990,10.047473907470701,0.0,0.01
12/18/1990,10.065416336059569,0.0,0.01
01/04/1991,9.9667329788208,0.0,0.0
01/14/1991,9.679666519165039,0.0,0.0
01/24/1991,10.496023178100586,0.0,0.0
01/25/1991,10.549847602844238,0.0,0.0
01/28/1991,10.711325645446777,0.0,0.0
01/30/1991,11.079133987426758,0.0,0.0
02/04/1991,11.420030593872072,0.0,0.0
02/05/1991,11.59047794342041,0.0,0.0
02/06/1991,11.653279304504395,0.0,0.0
02/11/1991,11.805782318115234,0.0,0.0
02/12/1991,11.626363754272461,0.0,0.0
02/13/1991,11.64430332183838,0.0,0.0
02/15/1991,11.500768661499025,0.0,0.0
02/19/1991,11.563565254211426,0.0,0.0
02/20/1991,11.437974929809569,0.0,0.0
02/21/1991,11.321351051330565,0.0,0.0
02/25/1991,11.375177383422852,0.0,0.0
02/26/1991,11.204728126525879,0.0,0.0
03/01/1991,11.662247657775879,0.0,0.0
03/04/1991,11.751957893371582,0.0,0.0
03/05/1991,12.065938949584961,0.0,0.0
03/06/1991,12.05696964263916,0.0,0.0
03/08/1991,12.173590660095215,0.0,0.0
03/11/1991,12.030056953430176,0.0,0.0
03/13/1991,11.967260360717772,0.0,0.0
03/14/1991,11.904461860656737,0.0,0.0
03/15/1991,11.83269691467285,0.0,0.0
03/18/1991,11.787840843200684,0.0,0.0
03/20/1991,11.429003715515137,0.0,0.0
04/01/1991,11.58150863647461,0.0,0.0
04/04/1991,11.707101821899414,0.0,0.0
04/05/1991,11.7429838180542,0.0,0.0
04/09/1991,11.725041389465332,0.0,0.0
04/10/1991,11.81475353240967,0.0,0.0
04/11/1991,11.931376457214355,0.0,0.0
04/12/1991,11.95828914642334,0.0,0.0
04/15/1991,11.940348625183105,0.0,0.0
04/16/1991,12.021085739135742,0.0,0.0
04/17/1991,12.218446731567383,0.0,0.0
04/18/1991,12.119767189025879,0.0,0.0
04/19/1991,11.949317932128906,0.0,0.0
04/26/1991,11.716075897216797,0.0,0.0
05/01/1991,11.76092529296875,0.0,0.0
05/06/1991,11.796812057495117,0.0,0.0
05/09/1991,11.778867721557617,0.0,0.0
05/20/1991,11.402090072631836,0.0,0.0
05/21/1991,11.384150505065918,0.0,0.0
05/24/1991,11.446945190429688,0.0,0.0
05/28/1991,11.554595947265625,0.0,0.0
05/30/1991,11.572537422180176,0.0,0.0
06/06/1991,11.671219825744629,0.0,0.0
06/13/1991,11.455916404724123,0.0,0.0
06/17/1991,11.49179935455322,0.0,0.0
06/19/1991,11.267524719238283,0.0,0.0
06/21/1991,11.07016372680664,0.0,0.0
06/25/1991,10.810006141662598,0.0,0.0
07/01/1991,10.872803688049316,0.0,0.0
07/02/1991,10.863832473754883,0.0,0.0
07/08/1991,10.97148323059082,0.0,0.0
07/10/1991,11.034278869628906,0.0,0.0
07/15/1991,10.96251106262207,0.0,0.0
07/17/1991,11.05221939086914,0.0,0.0
07/19/1991,11.025308609008789,0.0,0.0
