NHI,"National Health Investors, Inc.",
Date,Price,Dividend,Annualized Dividend
03/26/1992,2.711376905441284,0.0,0.9199999999999999
03/27/1992,2.6666834354400635,0.0,0.9199999999999999
03/30/1992,2.66668361324375,0.0,0.9199999999999999
03/31/1992,2.651786565780639,0.0,0.9199999999999999
04/01/1992,2.6517859394267456,0.0,0.9199999999999999
04/02/1992,2.651785762616376,0.0,0.9199999999999999
04/03/1992,2.6666842431164857,0.0,0.9199999999999999
04/06/1992,2.6368871561505576,0.0,0.9199999999999999
04/07/1992,2.636888265609741,0.0,0.9199999999999999
04/08/1992,2.6219894886016846,0.0,0.9199999999999999
04/09/1992,2.607093665791654,0.0,0.9199999999999999
04/10/1992,2.5921963691711425,0.0,0.9199999999999999
04/13/1992,2.5921931425730387,0.0,0.9199999999999999
04/14/1992,2.681581287060754,0.0,0.9199999999999999
04/15/1992,2.636888888444793,0.0,0.9199999999999999
04/16/1992,2.666681451267666,0.0,0.9199999999999999
04/20/1992,2.666681451267666,0.0,0.9199999999999999
04/21/1992,2.6666834354400635,0.0,0.9199999999999999
04/22/1992,2.681581920452332,0.0,0.9199999999999999
04/23/1992,2.6666834354400635,0.0,0.9199999999999999
04/24/1992,2.651786565780639,0.0,0.9199999999999999
04/27/1992,2.6666842431164857,0.0,0.9199999999999999
04/28/1992,2.651784823699431,0.0,0.9199999999999999
04/29/1992,2.651786565780639,0.0,0.9199999999999999
04/30/1992,2.6219894886016846,0.0,0.9199999999999999
05/01/1992,2.6219894886016846,0.0,0.9199999999999999
05/04/1992,2.6219905917927373,0.0,0.9199999999999999
05/05/1992,2.6666832615657405,0.0,0.9199999999999999
05/06/1992,2.7262736895810002,0.0,0.9199999999999999
05/07/1992,2.741171360015869,0.0,0.9199999999999999
05/08/1992,2.726274251937866,0.0,0.9199999999999999
05/11/1992,2.7411714266705256,0.0,0.9199999999999999
05/12/1992,2.800762502904882,0.0,0.9199999999999999
05/13/1992,2.785864655933683,0.0,0.9199999999999999
05/14/1992,2.815661479041214,0.0,0.9199999999999999
05/15/1992,2.845456158861201,0.0,0.9199999999999999
05/18/1992,2.800762327890548,0.0,0.9199999999999999
05/19/1992,2.8305575847625732,0.0,0.9199999999999999
05/20/1992,2.830559158824501,0.0,0.9199999999999999
05/21/1992,2.845456838607788,0.0,0.9199999999999999
05/22/1992,2.845456838607788,0.0,0.9199999999999999
05/26/1992,2.845456838607788,0.0,0.9199999999999999
05/27/1992,2.845456158861201,0.0,0.9199999999999999
05/28/1992,2.815659999847412,0.0,0.9199999999999999
05/29/1992,2.845456158861201,0.0,0.9199999999999999
06/01/1992,2.815659999847412,0.0,0.9199999999999999
06/02/1992,2.8305578486804657,0.0,0.9199999999999999
06/03/1992,2.8156608064123927,0.0,0.9199999999999999
06/04/1992,2.815659999847412,0.0,0.9199999999999999
06/05/1992,2.8007622417650726,0.0,0.9199999999999999
06/08/1992,2.800762327890548,0.0,0.9199999999999999
06/09/1992,2.8156608064123927,0.0,0.9199999999999999
06/10/1992,2.8156601757926736,0.0,0.9199999999999999
06/11/1992,2.8007631301879883,0.0,0.9199999999999999
06/12/1992,2.815659999847412,0.0,0.9199999999999999
06/15/1992,2.800762502904882,0.0,0.9199999999999999
06/16/1992,2.78586483001709,0.0,0.9199999999999999
06/17/1992,2.7858654539635843,0.0,0.9199999999999999
06/18/1992,2.8156608064123927,0.0,0.9199999999999999
06/19/1992,2.815659913263823,0.0,0.9199999999999999
06/22/1992,2.815659999847412,0.0,0.9199999999999999
06/23/1992,2.830557671804277,0.0,0.9199999999999999
06/24/1992,2.846099853515625,0.5,1.42
06/25/1992,2.830880068202707,0.0,1.42
06/26/1992,2.830880068202707,0.0,1.42
06/29/1992,2.876539468765259,0.0,1.42
06/30/1992,2.8613196832162364,0.0,1.42
07/01/1992,2.876539087041895,0.0,1.42
07/02/1992,2.861319303512573,0.0,1.42
07/06/1992,2.876539087041895,0.0,1.42
07/07/1992,2.830880068202707,0.0,1.42
07/08/1992,2.8308796882629395,0.0,1.42
07/09/1992,2.84609947153317,0.0,1.42
07/10/1992,2.846099853515625,0.0,1.42
07/13/1992,2.861319303512573,0.0,1.42
07/15/1992,2.8613196832162364,0.0,1.42
07/16/1992,2.861319303512573,0.0,1.42
07/17/1992,2.876539087041895,0.0,1.42
07/20/1992,2.861319303512573,0.0,1.42
07/21/1992,2.830880068202707,0.0,1.42
07/22/1992,2.876539038073632,0.0,1.42
07/23/1992,2.876539424141461,0.0,1.42
07/24/1992,2.8460998976672136,0.0,1.42
07/27/1992,2.891757726669312,0.0,1.42
07/28/1992,2.891758258144061,0.0,1.42
07/29/1992,2.9221978187561035,0.0,1.42
07/30/1992,2.9221978187561035,0.0,1.42
07/31/1992,2.9526372870015356,0.0,1.42
08/03/1992,2.891760246915967,0.0,1.42
08/04/1992,2.9069800376892085,0.0,1.42
08/05/1992,2.9069800376892085,0.0,1.42
08/06/1992,2.891760246915967,0.0,1.42
08/07/1992,2.9221988254123263,0.0,1.42
08/10/1992,2.891759254314281,0.0,1.42
08/11/1992,2.891758870571217,0.0,1.42
08/12/1992,2.891759254314281,0.0,1.42
08/13/1992,2.861319303512573,0.0,1.42
08/14/1992,2.876539468765259,0.0,1.42
08/17/1992,2.876539087041895,0.0,1.42
08/18/1992,2.846099853515625,0.0,1.42
08/19/1992,2.815659761428833,0.0,1.42
08/20/1992,2.815659761428833,0.0,1.42
08/21/1992,2.8156600957331452,0.0,1.42
08/24/1992,2.8004405053107293,0.0,1.42
08/25/1992,2.7700007923400203,0.0,1.42
08/26/1992,2.77000093460083,0.0,1.42
