ABR,Arbor Realty Trust,
Date,Price,Dividend,Annualized Dividend
09/28/2004,5.7795823204871075,0.0,0.35
09/29/2004,5.848882441933441,0.0,0.35
09/30/2004,6.095586699048419,0.0,0.35
10/01/2004,6.1953779747754245,0.0,0.35
10/04/2004,6.4060476153679105,0.0,0.35
10/05/2004,6.275768095296838,0.0,0.35
10/06/2004,6.203694654093811,0.0,0.35
10/07/2004,6.098358861858686,0.0,0.35
10/08/2004,6.126081514311552,0.0,0.35
10/11/2004,6.15380011196118,0.0,0.35
10/12/2004,6.167656898498535,0.0,0.35
10/13/2004,6.232670730469333,0.43,0.78
10/14/2004,6.099819186479266,0.0,0.78
10/15/2004,6.063075065612793,0.0,0.78
10/18/2004,6.034811391647879,0.0,0.78
10/19/2004,6.077206889113414,0.0,0.78
10/20/2004,5.992408183374388,0.0,0.78
10/21/2004,5.964143664766391,0.0,0.78
10/22/2004,5.964145514054315,0.0,0.78
10/25/2004,5.834119574735166,0.0,0.78
10/26/2004,5.93587683937648,0.0,0.78
10/27/2004,5.907609939575195,0.0,0.78
10/28/2004,5.921745542534719,0.0,0.78
10/29/2004,5.896303789211432,0.0,0.78
11/01/2004,5.992407880592119,0.0,0.78
11/02/2004,6.048939896684668,0.0,0.78
11/03/2004,6.0828598855114295,0.0,0.78
11/04/2004,5.975448459155663,0.0,0.78
11/05/2004,5.901957679631116,0.0,0.78
11/08/2004,5.723881237970177,0.0,0.78
11/09/2004,5.90761204754835,0.0,0.78
11/10/2004,5.950010148743136,0.0,0.78
11/11/2004,5.9500087894136,0.0,0.78
11/12/2004,6.063075525007888,0.0,0.78
11/15/2004,6.05742225223302,0.0,0.78
11/16/2004,6.145044592576243,0.0,0.78
11/17/2004,6.204406599557579,0.0,0.78
11/18/2004,6.119609461013254,0.0,0.78
11/19/2004,6.133740574992332,0.0,0.78
11/22/2004,6.173311658120848,0.0,0.78
11/23/2004,6.416399876470551,0.0,0.78
11/24/2004,6.430536849992546,0.0,0.78
11/26/2004,6.526637230998027,0.0,0.78
11/29/2004,6.526639278646679,0.0,0.78
11/30/2004,6.585996871437659,0.0,0.78
12/01/2004,6.713192618015598,0.0,0.78
12/02/2004,6.727327673237213,0.0,0.78
12/03/2004,6.713193453011901,0.0,0.78
12/06/2004,6.730154566898438,0.0,0.78
12/07/2004,6.738633883113529,0.0,0.78
12/08/2004,6.549250575492832,0.0,0.78
12/09/2004,6.614258506554283,0.0,0.78
12/10/2004,6.6001320893959905,0.0,0.78
12/13/2004,6.684928262468732,0.0,0.78
12/14/2004,6.6114357556762835,0.0,0.78
12/15/2004,6.602957839982655,0.0,0.78
12/16/2004,6.656662534507511,0.0,0.78
12/17/2004,6.684927720484779,0.0,0.78
12/20/2004,6.868659674744662,0.0,0.78
12/21/2004,6.783860224155168,0.0,0.78
12/22/2004,6.783860883946786,0.0,0.78
12/23/2004,6.826260554624185,0.0,0.78
12/27/2004,6.896925291926536,0.0,0.78
12/28/2004,6.85452675215035,0.0,0.78
12/29/2004,6.896923379360029,0.0,0.78
12/30/2004,6.936496344904299,0.0,0.78
12/31/2004,7.024120954407938,0.0,0.78
01/03/2005,6.936498671062938,0.0,0.78
01/04/2005,6.896923538884268,0.0,0.78
01/05/2005,6.789513313759932,0.0,0.78
01/06/2005,6.741460153083373,0.0,0.78
01/07/2005,6.795170672073789,0.0,0.78
01/10/2005,6.817779504785351,0.0,0.78
01/11/2005,6.783859336359447,0.0,0.78
01/12/2005,6.764074105508825,0.0,0.78
01/13/2005,6.752766475212002,0.0,0.78
01/14/2005,6.812127766850581,0.0,0.78
01/18/2005,6.783861186672079,0.0,0.78
01/19/2005,6.806472901311951,0.0,0.78
01/20/2005,6.727327673237213,0.0,0.78
01/21/2005,6.766901510295453,0.0,0.78
01/24/2005,6.81778021923331,0.0,0.78
01/25/2005,6.944974958609528,0.0,0.78
01/26/2005,6.91388254320303,0.0,0.78
01/27/2005,6.82204345361939,0.47,1.25
01/28/2005,6.853748704873549,0.0,1.25
01/31/2005,6.931563141271565,0.0,1.25
02/01/2005,6.88833531015525,0.0,1.25
02/02/2005,6.914272995373614,0.0,1.25
02/03/2005,6.920037479802659,0.0,1.25
02/04/2005,6.945977701782165,0.0,1.25
02/07/2005,6.917155177131344,0.0,1.25
02/08/2005,6.896979511878937,0.0,1.25
02/09/2005,6.856630782449787,0.0,1.25
02/10/2005,6.7961016540091945,0.0,1.25
02/11/2005,6.862396221348121,0.0,1.25
02/14/2005,7.061261966427777,0.0,1.25
02/15/2005,7.263011723325452,0.0,1.25
02/16/2005,7.214016178554866,0.0,1.25
02/17/2005,7.366767790644618,0.0,1.25
02/18/2005,7.5224074496974715,0.0,1.25
02/22/2005,7.531051240298011,0.0,1.25
02/23/2005,7.554106321438103,0.0,1.25
02/24/2005,7.493584938006644,0.0,1.25
02/25/2005,7.335068011100306,0.0,1.25
02/28/2005,7.205368995666504,0.0,1.25
03/01/2005,7.20536780211548,0.0,1.25
03/02/2005,7.407118096451621,0.0,1.25
03/03/2005,7.551226075738382,0.0,1.25
03/04/2005,7.75297601758472,0.0,1.25
03/07/2005,7.709747524763826,0.0,1.25
03/08/2005,7.692452760830444,0.0,1.25
03/09/2005,7.652102340752003,0.0,1.25
03/10/2005,7.663630110395328,0.0,1.25
03/11/2005,7.600224168851426,0.0,1.25
03/14/2005,7.4935827459263225,0.0,1.25
03/15/2005,7.464763132190068,0.0,1.25
03/16/2005,7.441704561927368,0.0,1.25
03/17/2005,7.430177817899877,0.0,1.25
03/18/2005,7.4791743488976214,0.0,1.25
03/21/2005,7.401358017557477,0.0,1.25
03/22/2005,7.363888051252388,0.0,1.25
03/23/2005,7.421529790358799,0.0,1.25
03/24/2005,7.176547409738632,0.0,1.25
03/28/2005,7.205369364438688,0.0,1.25
03/29/2005,6.954621488445091,0.0,1.25
03/30/2005,6.974795612148975,0.0,1.25
03/31/2005,7.029557130203965,0.0,1.25
04/01/2005,7.118905067443848,0.0,1.25
04/04/2005,7.118903921137673,0.0,1.25
04/05/2005,7.162137926265069,0.0,1.25
04/06/2005,7.349475383758545,0.0,1.25
04/07/2005,7.349476837518633,0.0,1.25
04/08/2005,7.3494758456283895,0.0,1.25
04/11/2005,7.27742197222416,0.0,1.25
04/12/2005,7.271655596535678,0.0,1.25
04/13/2005,7.349475383758545,0.0,1.25
04/14/2005,7.306243686729179,0.0,1.25
04/15/2005,7.265895002522727,0.0,1.25
04/18/2005,7.306242076275589,0.0,1.25
04/19/2005,7.49358183060604,0.0,1.25
04/20/2005,7.516639402848516,0.0,1.25
04/21/2005,7.493584576230148,0.0,1.25
04/22/2005,7.522403828820188,0.0,1.25
04/25/2005,7.522405624389648,0.0,1.25
04/26/2005,7.522405379764711,0.0,1.25
04/27/2005,7.611109475067404,0.55,1.8
04/28/2005,7.490389062982235,0.0,1.8
04/29/2005,7.4138374904071735,0.0,1.8
05/02/2005,7.140011863686154,0.0,1.8
05/03/2005,7.478612218998095,0.0,1.8
05/04/2005,7.5522231897536996,0.0,1.8
05/05/2005,7.646439134833552,0.0,1.8
05/06/2005,7.646437903007475,0.0,1.8
05/09/2005,7.6876622635665575,0.0,1.8
05/10/2005,7.7465498470900105,0.0,1.8
05/11/2005,7.837825321338666,0.0,1.8
05/12/2005,7.799547357743494,0.0,1.8
05/13/2005,7.696492595008098,0.0,1.8
05/16/2005,7.758326530456543,0.0,1.8
05/17/2005,7.69943897701926,0.0,1.8
05/18/2005,7.796604028684377,0.0,1.8
05/19/2005,7.773048334265448,0.0,1.8
05/20/2005,7.767160265055194,0.0,1.8
05/23/2005,7.802489961492934,0.0,1.8
05/24/2005,7.840768533419452,0.0,1.8
05/25/2005,7.8466579498449684,0.0,1.8
05/26/2005,7.846655779750323,0.0,1.8
05/27/2005,7.843710012082541,0.0,1.8
05/31/2005,7.846654415130615,0.0,1.8
06/01/2005,7.861375971816755,0.0,1.8
06/02/2005,8.07336889373981,0.0,1.8
06/03/2005,8.02331705784987,0.0,1.8
06/06/2005,8.096922195864108,0.0,1.8
06/07/2005,8.155811304999565,0.0,1.8
06/08/2005,8.22941917462756,0.0,1.8
06/09/2005,8.217641551983887,0.0,1.8
06/10/2005,8.226475309587956,0.0,1.8
06/13/2005,8.214696884155273,0.0,1.8
06/14/2005,8.22942107389021,0.0,1.8
06/15/2005,8.317750947816032,0.0,1.8
06/16/2005,8.317750665105311,0.0,1.8
06/17/2005,8.273583830383428,0.0,1.8
06/20/2005,8.435522480316191,0.0,1.8
06/21/2005,8.523852620454168,0.0,1.8
06/22/2005,8.494410794859789,0.0,1.8
06/23/2005,8.467911718738357,0.0,1.8
06/24/2005,8.450242706838928,0.0,1.8
06/27/2005,8.370746066550959,0.0,1.8
06/28/2005,8.36191448754087,0.0,1.8
06/29/2005,8.3913583646078,0.0,1.8
06/30/2005,8.46496731489049,0.0,1.8
07/01/2005,8.46496540781221,0.0,1.8
07/05/2005,8.523855572522441,0.0,1.8
07/06/2005,8.668126929936841,0.0,1.8
07/07/2005,8.662236888344578,0.0,1.45
07/08/2005,8.685791015625,0.0,1.45
07/11/2005,8.947841213337504,0.0,1.45
07/12/2005,8.744679716436288,0.0,1.45
07/13/2005,8.809455742161916,0.0,1.45
07/14/2005,8.768231513143618,0.0,1.45
07/15/2005,8.644571028867377,0.0,1.45
07/18/2005,8.671069429570217,0.0,1.45
07/19/2005,8.76528577887596,0.0,1.45
07/20/2005,8.827118052805478,0.0,1.45
07/21/2005,8.86245032733926,0.0,1.45
07/22/2005,8.856562206763957,0.0,1.45
07/25/2005,8.818285803694078,0.0,1.45
07/26/2005,8.806508477125778,0.0,1.45
07/27/2005,8.847729798785593,0.0,1.45
07/28/2005,9.009667812354344,0.0,1.45
07/29/2005,9.053833422508077,0.0,1.45
08/01/2005,9.083275801438782,0.0,1.45
08/02/2005,9.07738982999964,0.0,1.45
08/03/2005,9.145105901729515,0.0,1.45
08/04/2005,9.156884599568691,0.0,1.45
08/05/2005,9.006726188409509,0.0,1.45
08/08/2005,8.335417290468596,0.0,1.45
08/09/2005,8.170530473191931,0.0,1.45
08/10/2005,8.023314897244791,0.0,1.45
08/11/2005,8.186808643210181,0.57,2.02
08/12/2005,8.298050215408217,0.0,2.02
08/15/2005,8.2078536745901,0.0,2.02
08/16/2005,8.168772350535527,0.0,2.02
08/17/2005,8.186809213831612,0.0,2.02
08/18/2005,8.147726373393155,0.0,2.02
08/19/2005,8.168769841504185,0.0,2.02
08/22/2005,8.156745909333926,0.0,2.02
08/23/2005,8.198837572669063,0.0,2.02
08/24/2005,8.195826908918592,0.0,2.02
08/25/2005,8.234915154094647,0.0,2.02
08/26/2005,8.448377874977956,0.0,2.02
08/29/2005,8.283018183816782,0.0,2.02
08/30/2005,8.493474307349997,0.0,2.02
08/31/2005,8.415306459005846,0.0,2.02
09/01/2005,8.568641634811412,0.0,2.02
09/02/2005,8.478443442649528,0.0,2.02
09/06/2005,8.493479078290312,0.0,2.02
09/07/2005,8.610729217529297,0.0,2.02
09/08/2005,8.60170939528436,0.0,2.02
09/09/2005,8.679882327530263,0.0,2.02
09/12/2005,8.505505518613992,0.0,2.02
09/13/2005,8.670861241168208,0.0,2.02
09/14/2005,8.688898739571595,0.0,2.02
09/15/2005,8.637787872337192,0.0,2.02
09/16/2005,8.658835766881653,0.0,2.02
09/19/2005,8.643806141622884,0.0,2.02
09/20/2005,8.688901261936419,0.0,2.02
09/21/2005,8.526547403580903,0.0,2.02
09/22/2005,8.508508385353402,0.0,2.02
09/23/2005,8.493479424856469,0.0,2.02
09/26/2005,8.508509044459101,0.0,2.02
09/27/2005,8.460402862467184,0.0,2.02
09/28/2005,8.517527275278125,0.0,2.02
09/29/2005,8.52955689513732,0.0,2.02
09/30/2005,8.598704610935537,0.0,2.02
10/03/2005,8.418311211725007,0.0,2.02
10/04/2005,8.622756647958141,0.0,2.02
10/05/2005,8.643800763322895,0.0,2.02
10/06/2005,8.673869729905938,0.0,2.02
10/07/2005,8.68288557983175,0.0,2.02
10/10/2005,8.746023478173427,0.0,2.02
10/11/2005,8.655831305891938,0.0,2.02
10/12/2005,8.388247170274632,0.0,2.02
10/13/2005,8.24994656547838,0.0,2.02
10/14/2005,8.222887679871263,0.0,2.02
10/17/2005,8.3732159611642,0.0,2.02
10/18/2005,8.41530607836036,0.0,2.02
10/19/2005,8.249947548615287,0.0,1.5899999999999999
10/20/2005,8.337132947219155,0.0,1.5899999999999999
10/21/2005,8.075566027953755,0.0,1.5899999999999999
10/24/2005,8.388248164771971,0.0,1.5899999999999999
10/25/2005,8.464843567219564,0.65,2.2399999999999998
10/26/2005,8.538714293257081,0.0,2.2399999999999998
10/27/2005,8.45868735604446,0.0,2.2399999999999998
10/28/2005,8.273994695889328,0.0,2.2399999999999998
10/31/2005,8.157030938409717,0.0,2.2399999999999998
11/01/2005,8.120095203218034,0.0,2.2399999999999998
11/02/2005,8.187812913177046,0.0,2.2399999999999998
11/03/2005,8.446372995751847,0.0,2.2399999999999998
11/04/2005,8.461763261200941,0.0,2.2399999999999998
11/07/2005,8.00312481011326,0.0,2.2399999999999998
11/08/2005,7.7414816140139875,0.0,2.2399999999999998
11/09/2005,8.172421487372388,0.0,2.2399999999999998
11/10/2005,8.289390905917124,0.0,2.2399999999999998
11/11/2005,8.467919974715992,0.0,2.2399999999999998
11/14/2005,8.5879678438911,0.0,2.2399999999999998
11/15/2005,8.403281204706877,0.0,2.2399999999999998
11/16/2005,8.649530265519504,0.0,2.2399999999999998
11/17/2005,8.44945106983284,0.0,2.2399999999999998
11/18/2005,8.495622379614572,0.0,2.2399999999999998
11/21/2005,8.357109447613766,0.0,2.2399999999999998
11/22/2005,8.38789092258639,0.0,2.2399999999999998
11/23/2005,8.400203597825607,0.0,2.2399999999999998
11/25/2005,8.384808122317828,0.0,2.2399999999999998
11/28/2005,8.464842972619591,0.0,2.2399999999999998
11/29/2005,8.381732556021722,0.0,2.2399999999999998
11/30/2005,8.341718717746769,0.0,2.2399999999999998
12/01/2005,8.304779172443501,0.0,2.2399999999999998
