FNARX,Fidelity Select Portfolio Natur,
Date,Price,Annualized Dividend
02/28/1997,9.046133041381836,0.0
02/28/1997,9.046133041381836,0.0
03/03/1997,9.046133041381836,0.0
03/03/1997,9.046133041381836,0.0
03/04/1997,9.091363906860352,0.0
03/04/1997,9.091363906860352,0.0
03/05/1997,9.18182373046875,0.0
03/05/1997,9.18182373046875,0.0
03/06/1997,9.236099243164062,0.0
03/06/1997,9.236099243164062,0.0
03/07/1997,9.245147705078125,0.0
03/07/1997,9.245147705078125,0.0
03/10/1997,9.326562881469727,0.0
03/10/1997,9.326562881469727,0.0
03/11/1997,9.290375709533691,0.0
03/11/1997,9.290375709533691,0.0
03/12/1997,9.208961486816406,0.0
03/12/1997,9.208961486816406,0.0
03/13/1997,9.127548217773438,0.0
03/13/1997,9.127548217773438,0.0
03/14/1997,9.218008995056152,0.0
03/14/1997,9.218008995056152,0.0
03/17/1997,9.18182373046875,0.0
03/17/1997,9.18182373046875,0.0
03/18/1997,9.172776222229004,0.0
03/18/1997,9.172776222229004,0.0
03/19/1997,9.163729667663574,0.0
03/19/1997,9.163729667663574,0.0
03/20/1997,9.136595726013184,0.0
03/20/1997,9.136595726013184,0.0
03/21/1997,9.145641326904297,0.0
03/21/1997,9.145641326904297,0.0
03/24/1997,9.082315444946289,0.0
03/24/1997,9.082315444946289,0.0
03/25/1997,9.082315444946289,0.0
03/25/1997,9.082315444946289,0.0
03/26/1997,9.100408554077148,0.0
03/26/1997,9.100408554077148,0.0
03/27/1997,8.937578201293945,0.0
03/27/1997,8.937578201293945,0.0
03/31/1997,8.801883697509766,0.0
03/31/1997,8.801883697509766,0.0
04/01/1997,8.838071823120117,0.0
04/01/1997,8.838071823120117,0.0
04/02/1997,8.774748802185059,0.0
04/02/1997,8.774748802185059,0.0
04/03/1997,8.657150268554688,0.0
04/03/1997,8.657150268554688,0.0
04/04/1997,8.666193962097168,0.0
04/04/1997,8.666193962097168,0.0
04/07/1997,8.693330764770508,0.0
04/07/1997,8.693330764770508,0.0
04/08/1997,8.73856258392334,0.0
04/08/1997,8.73856258392334,0.0
04/09/1997,8.765703201293945,0.0
04/09/1997,8.765703201293945,0.0
04/10/1997,8.711423873901367,0.0
04/10/1997,8.711423873901367,0.0
04/11/1997,8.55764102935791,0.0
04/11/1997,8.55764102935791,0.0
04/14/1997,8.575735092163086,0.0
04/14/1997,8.575735092163086,0.0
04/15/1997,8.584776878356934,0.0
04/15/1997,8.584776878356934,0.0
04/16/1997,8.593826293945312,0.0
04/16/1997,8.593826293945312,0.0
04/17/1997,8.62096118927002,0.0
04/17/1997,8.62096118927002,0.0
04/18/1997,8.639057159423828,0.0
04/18/1997,8.639057159423828,0.0
04/21/1997,8.648103713989258,0.0
04/21/1997,8.648103713989258,0.0
04/22/1997,8.73856258392334,0.0
04/22/1997,8.73856258392334,0.0
04/23/1997,8.774748802185059,0.0
04/23/1997,8.774748802185059,0.0
04/24/1997,8.73856258392334,0.0
04/24/1997,8.73856258392334,0.0
04/25/1997,8.666193962097168,0.0
04/25/1997,8.666193962097168,0.0
04/28/1997,8.62096118927002,0.0
04/28/1997,8.62096118927002,0.0
04/29/1997,8.711423873901367,0.0
04/29/1997,8.711423873901367,0.0
04/30/1997,8.792839050292969,0.0
04/30/1997,8.792839050292969,0.0
05/01/1997,8.774748802185059,0.0
05/01/1997,8.774748802185059,0.0
05/02/1997,8.847115516662598,0.0
05/02/1997,8.847115516662598,0.0
05/05/1997,8.991854667663574,0.0
05/05/1997,8.991854667663574,0.0
05/06/1997,9.000899314880371,0.0
05/06/1997,9.000899314880371,0.0
05/07/1997,8.982808113098145,0.0
05/07/1997,8.982808113098145,0.0
05/08/1997,9.145641326904297,0.0
05/08/1997,9.145641326904297,0.0
05/09/1997,9.236099243164062,0.0
05/09/1997,9.236099243164062,0.0
05/12/1997,9.389883041381836,0.0
05/12/1997,9.389883041381836,0.0
05/13/1997,9.33560848236084,0.0
05/13/1997,9.33560848236084,0.0
05/14/1997,9.389883041381836,0.0
05/14/1997,9.389883041381836,0.0
05/15/1997,9.39892864227295,0.0
05/15/1997,9.39892864227295,0.0
05/16/1997,9.371790885925293,0.0
05/16/1997,9.371790885925293,0.0
05/19/1997,9.39892864227295,0.0
05/19/1997,9.39892864227295,0.0
05/20/1997,9.417020797729494,0.0
05/20/1997,9.417020797729492,0.0
05/21/1997,9.46225357055664,0.0
05/21/1997,9.46225357055664,0.0
05/22/1997,9.516529083251953,0.0
05/22/1997,9.516529083251953,0.0
