PBW,Invesco WilderHill Clean Energy,
Date,Price,Dividend,Annualized Dividend
08/23/2005,62.26924552010088,0.0,0.0
08/24/2005,63.19501473970503,0.0,0.0
08/25/2005,65.32834742221783,0.0,0.0
08/26/2005,64.72456714582736,0.0,0.0
08/29/2005,65.4893554308766,0.0,0.0
08/30/2005,66.73717328523425,0.0,0.0
08/31/2005,68.42773638518572,0.0,0.0
09/01/2005,70.40006742343371,0.0,0.0
09/02/2005,70.35982093314578,0.0,0.0
09/06/2005,70.07803722035669,0.0,0.0
09/07/2005,70.40005134024985,0.0,0.0
09/08/2005,70.88307207164465,0.0,0.0
09/09/2005,72.25162900926136,0.0,0.0
09/12/2005,73.98244835671812,0.0,0.0
09/13/2005,73.57992930850772,0.0,0.0
09/14/2005,73.45920954810248,0.0,0.0
09/15/2005,72.57364668441568,0.0,0.0
09/16/2005,72.4528977379999,0.0,0.0
09/19/2005,70.64154828585801,0.0,0.0
09/20/2005,72.45287750339499,0.0,0.0
09/21/2005,70.40004053554492,0.0,0.0
09/22/2005,68.78999182502626,0.0,0.0
09/23/2005,68.10570911831151,0.0,0.0
09/26/2005,69.31327031949814,0.0,0.0
09/27/2005,69.75600569413177,0.0,0.0
09/28/2005,69.83654297610495,0.0,0.0
09/29/2005,69.3937449331246,0.0,0.0
09/30/2005,70.48056042757501,0.0,0.0
10/03/2005,71.40635094397209,0.0,0.0
10/04/2005,72.05034955162502,0.0,0.0
10/05/2005,70.84281822190702,0.0,0.0
10/06/2005,68.58872752846378,0.0,0.0
10/07/2005,67.05917156203718,0.0,0.0
10/10/2005,67.05919441071826,0.0,0.0
10/11/2005,65.20761051912662,0.0,0.0
10/12/2005,63.27550227971484,0.0,0.0
10/13/2005,62.06798371371194,0.0,0.0
10/14/2005,62.4704948880752,0.0,0.0
10/17/2005,63.07427641176901,0.0,0.0
10/18/2005,62.9132609008841,0.0,0.0
10/19/2005,61.82647284006065,0.0,0.0
10/20/2005,62.913257450975465,0.0,0.0
10/21/2005,62.43025190241011,0.0,0.0
10/24/2005,62.63150391194015,0.0,0.0
10/25/2005,63.195015373132364,0.0,0.0
10/26/2005,62.83275624760906,0.0,0.0
10/27/2005,62.02772607993785,0.0,0.0
10/28/2005,60.77992111075093,0.0,0.0
10/31/2005,61.06168551488682,0.0,0.0
11/01/2005,62.389997834140814,0.0,0.0
11/02/2005,61.66545326310826,0.0,0.0
11/03/2005,62.7924913540008,0.0,0.0
11/04/2005,63.79877226709201,0.0,0.0
11/07/2005,64.00005678915008,0.0,0.0
11/08/2005,64.08055178988529,0.0,0.0
11/09/2005,64.16105091183232,0.0,0.0
11/10/2005,64.40258371874707,0.0,0.0
11/11/2005,63.7182780585216,0.0,0.0
11/14/2005,64.32205200195312,0.0,0.0
11/15/2005,64.84534392083789,0.0,0.0
11/16/2005,64.3220708818796,0.0,0.0
11/17/2005,64.48307015924709,0.0,0.0
11/18/2005,65.04659948307003,0.0,0.0
11/21/2005,65.56983306480932,0.0,0.0
11/22/2005,66.09310492657298,0.0,0.0
11/23/2005,66.29440506600746,0.0,0.0
11/25/2005,66.41515264232603,0.0,0.0
11/28/2005,66.89815598522732,0.0,0.0
11/29/2005,65.8918671870631,0.0,0.0
11/30/2005,64.80509584048825,0.0,0.0
12/01/2005,65.56985538647544,0.0,0.0
12/02/2005,66.5358954721711,0.0,0.0
12/05/2005,66.41512708930685,0.0,0.0
12/06/2005,66.89817018465249,0.0,0.0
12/07/2005,66.3346267270382,0.0,0.0
12/08/2005,66.09313403257441,0.0,0.0
12/09/2005,66.33466555291923,0.0,0.0
12/12/2005,67.30068270402316,0.0,0.0
12/13/2005,67.34093089428289,0.0,0.0
12/14/2005,66.89817070588865,0.0,0.0
12/15/2005,66.6163884591283,0.0,0.0
12/16/2005,67.05917709857202,0.0,0.0
12/19/2005,65.93211679869,0.0,0.0
12/20/2005,65.3283462524414,0.0,0.0
12/21/2005,65.28809897919248,0.0,0.0
12/22/2005,65.61011484427698,0.0,0.0
12/23/2005,66.05288154578703,0.0,0.0
12/27/2005,66.17363081207482,0.0,0.0
12/28/2005,65.16731719297647,0.0,0.0
12/29/2005,66.09313286628282,0.0,0.0
12/30/2005,65.08684878158046,0.0,0.0
01/03/2006,66.01264500473485,0.0,0.0
01/04/2006,66.57613672083244,0.0,0.0
01/05/2006,67.8239483244753,0.0,0.0
01/06/2006,68.38746643066406,0.0,0.0
01/09/2006,68.9107283262609,0.0,0.0
01/10/2006,69.15226633828726,0.0,0.0
01/11/2006,69.83654421026057,0.0,0.0
01/12/2006,70.80257044589214,0.0,0.0
01/13/2006,72.17112225153285,0.0,0.0
01/17/2006,72.61389923095703,0.0,0.0
01/18/2006,71.3661119522803,0.0,0.0
01/19/2006,73.90196278391056,0.0,0.0
01/20/2006,74.7472352162803,0.0,0.0
01/23/2006,74.26420390020866,0.0,0.0
01/24/2006,76.39755452129187,0.0,0.0
01/25/2006,76.92082392893111,0.0,0.0
01/26/2006,76.11578707646973,0.0,0.0
01/27/2006,78.45037406492021,0.0,0.0
01/30/2006,79.09441546486653,0.0,0.0
01/31/2006,81.10697578851914,0.0,0.0
02/01/2006,82.99881818384979,0.0,0.0
02/02/2006,80.98622575548409,0.0,0.0
02/03/2006,80.5032077374409,0.0,0.0
02/06/2006,81.38872868546538,0.0,0.0
02/07/2006,80.98622898001504,0.0,0.0
02/08/2006,78.49062442382176,0.0,0.0
02/09/2006,80.66421841617016,0.0,0.0
02/10/2006,80.50322416422327,0.0,0.0
02/13/2006,79.49691550900238,0.0,0.0
02/14/2006,79.73842455096083,0.0,0.0
02/15/2006,79.29564312164544,0.0,0.0
02/16/2006,80.2616944873185,0.0,0.0
02/17/2006,80.30194854736328,0.0,0.0
02/21/2006,81.50952068727408,0.0,0.0
02/22/2006,81.18750653765859,0.0,0.0
02/23/2006,80.70447293096154,0.0,0.0
02/24/2006,85.01140369038802,0.0,0.0
02/27/2006,84.286865234375,0.0,0.0
02/28/2006,84.32713162890329,0.0,0.0
03/01/2006,83.2403073227474,0.0,0.0
03/02/2006,84.12585787838205,0.0,0.0
03/03/2006,83.72334174394634,0.0,0.0
03/06/2006,83.72333889687233,0.0,0.0
03/07/2006,81.30824130778494,0.0,0.0
03/08/2006,78.4906510331733,0.0,0.0
03/09/2006,78.32962843933423,0.0,0.0
03/10/2006,77.68559382804425,0.0,0.0
03/13/2006,78.81264633599811,0.0,0.0
03/14/2006,78.93340444822408,0.0,0.0
03/15/2006,80.18116401060767,0.0,0.0
03/16/2006,80.90569384054582,0.0,0.0
03/17/2006,80.74473172006896,0.0,0.0
03/20/2006,80.70446458018215,0.0,0.0
03/21/2006,80.50319237045096,0.0,0.0
03/22/2006,79.77868162050426,0.0,0.0
03/23/2006,80.5032055241835,0.0,0.0
03/24/2006,81.38874885071044,0.0,0.0
03/27/2006,82.83781321533249,0.0,0.0
