TRP,TC Energy Corporation,
Date,Price,Annualized Dividend
01/10/1983,1.2319777011871338,0.0
01/11/1983,0.0,0.0
01/11/1983,1.2047523260116577,0.0
01/12/1983,0.0,0.0
01/12/1983,1.2047523260116577,0.0
01/13/1983,0.0,0.0
01/13/1983,1.1979458332061768,0.0
01/14/1983,0.0,0.0
01/14/1983,1.2115578651428223,0.0
01/17/1983,0.0,0.0
01/17/1983,1.177525281906128,0.0
01/18/1983,0.0,0.0
01/18/1983,1.191138505935669,0.0
01/19/1983,0.0,0.0
01/19/1983,1.177525281906128,0.0
01/20/1983,0.0,0.0
01/20/1983,1.143493413925171,0.0
01/21/1983,0.0,0.0
01/21/1983,1.1502995491027832,0.0
01/24/1983,0.0,0.0
01/24/1983,1.1502995491027832,0.0
01/25/1983,0.0,0.0
01/25/1983,1.143493413925171,0.0
01/26/1983,0.0,0.0
01/26/1983,1.1639126539230347,0.0
01/27/1983,0.0,0.0
01/27/1983,1.1707192659378052,0.0
01/28/1983,0.0,0.0
01/28/1983,1.1843323707580566,0.0
01/31/1983,0.0,0.0
01/31/1983,1.177525281906128,0.0
02/01/1983,0.0,0.0
02/01/1983,1.143493413925171,0.0
02/02/1983,0.0,0.0
02/02/1983,1.1298803091049194,0.0
02/03/1983,0.0,0.0
02/03/1983,1.1366865634918213,0.0
02/04/1983,0.0,0.0
02/04/1983,1.1298803091049194,0.0
02/07/1983,0.0,0.0
02/07/1983,1.143493413925171,0.0
02/08/1983,0.0,0.0
02/08/1983,1.1298803091049194,0.0
02/09/1983,0.0,0.0
02/09/1983,1.1502995491027832,0.0
02/10/1983,0.0,0.0
02/10/1983,1.143493413925171,0.0
02/11/1983,0.0,0.0
02/11/1983,1.1298803091049194,0.0
02/14/1983,0.0,0.0
02/14/1983,1.177525281906128,0.0
02/15/1983,0.0,0.0
02/15/1983,1.1707192659378052,0.0
02/16/1983,0.0,0.0
02/16/1983,1.177525281906128,0.0
02/17/1983,0.0,0.0
02/17/1983,1.177525281906128,0.0
02/18/1983,0.0,0.0
02/18/1983,1.1979458332061768,0.0
02/22/1983,0.0,0.0
02/22/1983,1.1707192659378052,0.0
02/23/1983,0.0,0.0
02/23/1983,1.1502995491027832,0.0
02/24/1983,0.0,0.0
02/24/1983,1.1502995491027832,0.0
02/25/1983,0.0,0.0
02/25/1983,1.143493413925171,0.0
02/28/1983,0.0,0.0
02/28/1983,1.143493413925171,0.0
03/01/1983,0.0,0.0
03/01/1983,1.1502995491027832,0.0
03/02/1983,0.0,0.0
03/02/1983,1.1502995491027832,0.0
03/03/1983,0.0,0.0
03/03/1983,1.1502995491027832,0.0
03/04/1983,0.0,0.0
03/04/1983,1.1502995491027832,0.0
03/07/1983,0.0,0.0
03/07/1983,1.143493413925171,0.0
03/08/1983,0.0,0.0
03/08/1983,1.1366865634918213,0.0
03/09/1983,0.0,0.0
03/09/1983,1.1502995491027832,0.0
03/10/1983,0.0,0.0
03/10/1983,1.143493413925171,0.0
03/11/1983,0.0,0.0
03/11/1983,1.143493413925171,0.0
03/14/1983,0.0,0.0
03/14/1983,1.1366865634918213,0.0
03/15/1983,0.0,0.0
03/15/1983,1.143493413925171,0.0
03/16/1983,0.0,0.0
03/16/1983,1.123073697090149,0.0
03/17/1983,0.0,0.0
03/17/1983,1.1162670850753784,0.0
03/18/1983,0.0,0.0
03/18/1983,1.123073697090149,0.0
03/21/1983,0.0,0.0
03/21/1983,1.123073697090149,0.0
03/22/1983,0.0,0.0
03/22/1983,1.1094608306884766,0.0
03/23/1983,0.0,0.0
03/23/1983,1.1162670850753784,0.0
03/24/1983,0.0,0.0
03/24/1983,1.1162670850753784,0.0
03/25/1983,0.0,0.0
03/25/1983,1.0958478450775146,0.0
03/28/1983,0.0,0.0
03/28/1983,1.089040994644165,0.0
03/29/1983,0.0,0.0
03/29/1983,1.0754282474517822,0.0
03/30/1983,0.0,0.0
03/30/1983,1.0822346210479736,0.0
03/31/1983,0.0,0.0
03/31/1983,1.0958478450775146,0.0
04/04/1983,0.0,0.0
04/04/1983,1.1026545763015747,0.0
04/05/1983,0.0,0.0
04/05/1983,1.0958478450775146,0.0
04/06/1983,0.0,0.0
04/06/1983,1.0958478450775146,0.0
04/07/1983,0.0,0.0
04/07/1983,1.089040994644165,0.0
04/08/1983,0.0,0.0
04/08/1983,1.1026545763015747,0.0
04/11/1983,0.0,0.0
04/11/1983,1.1026545763015747,0.0
04/12/1983,0.0,0.0
04/12/1983,1.0958478450775146,0.0
04/13/1983,1.0958478450775146,0.0
04/13/1983,1.0958478450775146,0.0
04/14/1983,0.0,0.0
04/14/1983,1.1162670850753784,0.0
04/15/1983,0.0,0.0
04/15/1983,1.1162670850753784,0.0
04/18/1983,0.0,0.0
04/18/1983,1.1298803091049194,0.0
04/19/1983,0.0,0.0
04/19/1983,1.1298803091049194,0.0
04/20/1983,0.0,0.0
04/20/1983,1.1571059226989746,0.0
04/21/1983,0.0,0.0
04/21/1983,1.1707192659378052,0.0
04/22/1983,0.0,0.0
04/22/1983,1.191138505935669,0.0
04/25/1983,0.0,0.0
04/25/1983,1.1843323707580566,0.0
04/26/1983,0.0,0.0
04/26/1983,1.1979458332061768,0.0
04/27/1983,0.0,0.0
04/27/1983,1.1979458332061768,0.0
04/28/1983,0.0,0.0
04/28/1983,1.2047523260116577,0.0
04/29/1983,0.0,0.0
04/29/1983,1.2115578651428223,0.0
05/02/1983,0.0,0.0
05/02/1983,1.2251710891723633,0.0
05/03/1983,0.0,0.0
05/03/1983,1.2115578651428223,0.0
05/04/1983,0.0,0.0
05/04/1983,1.2387847900390625,0.0
05/05/1983,0.0,0.0
05/05/1983,1.2660101652145386,0.0
05/06/1983,0.0,0.0
05/06/1983,1.28643000125885,0.0
05/09/1983,0.0,0.0
05/09/1983,1.28643000125885,0.0
05/10/1983,0.0,0.0
05/10/1983,1.3204631805419922,0.0
05/11/1983,0.0,0.0
05/11/1983,1.3204631805419922,0.0
05/12/1983,0.0,0.0
05/12/1983,1.3000431060791016,0.0
05/13/1983,0.0,0.0
05/13/1983,1.2932369709014893,0.0
05/16/1983,0.0,0.0
05/16/1983,1.2796235084533691,0.0
05/17/1983,0.0,0.0
05/17/1983,1.2728171348571777,0.0
05/18/1983,0.0,0.0
05/18/1983,1.2796235084533691,0.0
05/19/1983,0.0,0.0
05/19/1983,1.2660101652145386,0.0
05/20/1983,0.0,0.0
05/20/1983,1.2523976564407349,0.0
