VNQ,Vanguard Real Estate ETF,
12/01/2014,61.76833855012271,2.8240000000000003
12/01/2014,61.6685905456543,2.8240000000000003
12/02/2014,61.660920874981244,2.8240000000000003
12/02/2014,62.052249908447266,2.8240000000000003
12/03/2014,62.067601129680185,2.8240000000000003
12/03/2014,61.99087142944336,2.8240000000000003
12/04/2014,61.97551305870918,2.8240000000000003
12/04/2014,62.15199661254883,2.8240000000000003
12/05/2014,62.01385913296078,2.8240000000000003
12/05/2014,61.83737564086914,2.8240000000000003
12/08/2014,61.72996611114259,2.8240000000000003
12/08/2014,62.22871780395508,2.8240000000000003
12/09/2014,61.61487707610465,2.8240000000000003
12/09/2014,62.51262664794922,2.8240000000000003
12/10/2014,62.35148492131526,2.8240000000000003
12/10/2014,62.45123291015625,2.8240000000000003
12/11/2014,62.44356160475151,2.8240000000000003
12/11/2014,62.56633377075195,2.8240000000000003
12/12/2014,62.428217965059744,2.8240000000000003
12/12/2014,62.02154541015625,2.8240000000000003
12/15/2014,62.36682874289432,2.8240000000000003
12/15/2014,61.21586608886719,2.8240000000000003
12/16/2014,61.2158550341238,2.8240000000000003
12/16/2014,61.13145065307617,2.8240000000000003
12/17/2014,61.22354019205072,2.8240000000000003
12/17/2014,62.53563690185547,2.8240000000000003
12/18/2014,62.973026275634766,2.8240000000000003
12/18/2014,62.973026275634766,2.8240000000000003
12/19/2014,63.10345587638706,2.8240000000000003
12/19/2014,62.94232177734375,2.8240000000000003
12/22/2014,63.11574357982207,2.9189999999999996
12/22/2014,63.9946174621582,2.9189999999999996
12/23/2014,64.2201822929961,2.9189999999999996
12/23/2014,63.81574630737305,2.9189999999999996
12/24/2014,63.97909703993965,2.9189999999999996
12/24/2014,63.55132293701172,2.9189999999999996
12/26/2014,63.87020486968189,2.9189999999999996
12/26/2014,63.77687072753906,2.9189999999999996
12/29/2014,63.699078293725805,2.9189999999999996
12/29/2014,64.12684631347656,2.9189999999999996
12/30/2014,64.11909090523791,2.9189999999999996
12/30/2014,64.0802001953125,2.9189999999999996
12/31/2014,64.37572852244462,2.9189999999999996
12/31/2014,62.99908447265625,2.9189999999999996
01/02/2015,63.5435293855852,2.9189999999999996
01/02/2015,63.94797134399414,2.9189999999999996
01/05/2015,63.7768562168723,2.9189999999999996
01/05/2015,64.29795837402344,2.9189999999999996
01/06/2015,64.3601843738409,2.9189999999999996
01/06/2015,64.93572998046875,2.9189999999999996
01/07/2015,65.18461162060196,2.9189999999999996
01/07/2015,65.93126678466797,2.9189999999999996
01/08/2015,66.38237385756061,2.9189999999999996
01/08/2015,66.1801528930664,2.9189999999999996
01/09/2015,66.1801618150977,2.9189999999999996
01/09/2015,66.21127319335938,2.9189999999999996
01/12/2015,66.37460814154802,2.9189999999999996
01/12/2015,66.71682739257812,2.9189999999999996
01/13/2015,66.95016259275178,2.9189999999999996
01/13/2015,66.61572265625,2.9189999999999996
01/14/2015,66.57681735832979,2.9189999999999996
01/14/2015,67.19125366210938,2.9189999999999996
01/15/2015,67.33125666557713,2.9189999999999996
01/15/2015,67.34680938720703,2.9189999999999996
01/16/2015,67.34681263585843,2.9189999999999996
01/16/2015,67.93013763427734,2.9189999999999996
01/20/2015,68.23345231312618,2.9189999999999996
01/20/2015,67.39346313476562,2.9189999999999996
01/21/2015,67.42459079702188,2.9189999999999996
01/21/2015,67.34680938720703,2.9189999999999996
01/22/2015,67.61125334099039,2.9189999999999996
01/22/2015,68.54457092285156,2.9189999999999996
01/23/2015,68.52901710667012,2.9189999999999996
01/23/2015,68.35012817382812,2.9189999999999996
