SIX,Six Flags Entertainment Corpora,
Date,Price,Annualized Dividend
10/08/2010,6.76,0.0
10/11/2010,6.91,0.0
10/11/2010,6.66,0.0
10/12/2010,6.63,0.0
10/12/2010,6.98,0.0
10/13/2010,7.11,0.0
10/13/2010,7.21,0.0
10/14/2010,7.29,0.0
10/14/2010,7.2,0.0
10/15/2010,7.2,0.0
10/15/2010,7.25,0.0
10/18/2010,7.29,0.0
10/18/2010,7.05,0.0
10/19/2010,6.99,0.0
10/19/2010,7.02,0.0
10/20/2010,7.02,0.0
10/20/2010,7.17,0.0
10/21/2010,7.36,0.0
10/21/2010,7.32,0.0
10/22/2010,7.4,0.0
10/22/2010,7.49,0.0
10/25/2010,7.53,0.0
10/25/2010,7.74,0.0
10/26/2010,7.99,0.0
10/26/2010,7.71,0.0
10/27/2010,7.32,0.0
10/27/2010,7.7,0.0
10/28/2010,7.74,0.0
10/28/2010,7.66,0.0
10/29/2010,7.65,0.0
10/29/2010,7.7,0.0
11/01/2010,7.83,0.0
11/01/2010,7.67,0.0
11/02/2010,7.72,0.0
11/02/2010,7.85,0.0
11/03/2010,7.81,0.0
11/03/2010,7.6,0.0
11/04/2010,7.66,0.0
11/04/2010,7.92,0.0
11/05/2010,7.97,0.0
11/05/2010,8.02,0.0
11/08/2010,8.02,0.0
11/08/2010,7.84,0.0
11/09/2010,7.86,0.0
11/09/2010,7.81,0.0
11/10/2010,7.81,0.0
11/10/2010,7.85,0.0
11/11/2010,7.85,0.0
11/11/2010,7.9,0.0
11/12/2010,7.95,0.0
11/12/2010,7.88,0.0
11/15/2010,7.95,0.0
11/15/2010,7.94,0.0
11/16/2010,7.97,0.0
11/16/2010,7.95,0.0
11/17/2010,7.96,0.0
11/17/2010,7.86,0.0
11/18/2010,7.9,0.0
11/18/2010,7.88,0.0
11/19/2010,7.91,0.0
11/19/2010,7.81,0.0
11/22/2010,7.81,0.0
11/22/2010,7.81,0.0
11/23/2010,7.77,0.0
11/23/2010,7.66,0.0
11/24/2010,7.7,0.0
11/24/2010,7.7,0.0
11/26/2010,7.67,0.0
11/26/2010,7.68,0.0
11/29/2010,7.69,0.0
11/29/2010,7.83,0.0
11/30/2010,7.83,0.0
11/30/2010,8.15,0.0
12/01/2010,8.21,0.0
12/01/2010,7.98,0.0
12/02/2010,8.04,0.0
12/02/2010,8.01,0.0
12/03/2010,8.01,0.0
12/03/2010,7.96,0.0
12/06/2010,8.03,0.0
12/06/2010,8.05,0.0
12/07/2010,8.12,0.0
12/07/2010,8.21,0.0
12/08/2010,8.18,0.0
12/08/2010,8.26,0.0
12/09/2010,8.34,0.0
12/09/2010,8.34,0.0
12/10/2010,8.36,0.0
12/10/2010,8.32,0.0
12/13/2010,8.31,0.0
12/13/2010,8.42,0.0
12/14/2010,8.4,0.0
12/14/2010,8.41,0.0
12/15/2010,8.43,0.0
12/15/2010,8.42,0.0
12/16/2010,8.49,0.06
12/16/2010,8.46,0.06
12/17/2010,8.45,0.06
12/17/2010,8.49,0.06
12/20/2010,8.55,0.06
12/20/2010,8.55,0.06
12/21/2010,8.58,0.06
12/21/2010,8.48,0.06
12/22/2010,8.49,0.06
12/22/2010,8.49,0.06
12/23/2010,8.51,0.06
12/23/2010,8.43,0.06
12/27/2010,8.41,0.06
12/27/2010,8.37,0.06
12/28/2010,8.36,0.06
12/28/2010,8.25,0.06
12/29/2010,8.26,0.06
12/29/2010,8.2,0.06
12/30/2010,8.2,0.06
12/30/2010,8.24,0.06
12/31/2010,8.22,0.06
12/31/2010,8.21,0.06
01/03/2011,8.25,0.06
01/03/2011,8.27,0.06
01/04/2011,8.26,0.06
01/04/2011,8.27,0.06
01/05/2011,8.27,0.06
01/05/2011,8.47,0.06
01/06/2011,8.44,0.06
01/06/2011,8.45,0.06
01/07/2011,8.46,0.06
01/07/2011,8.54,0.06
01/10/2011,8.55,0.06
01/10/2011,8.66,0.06
01/11/2011,8.75,0.06
01/11/2011,8.8,0.06
01/12/2011,8.86,0.06
01/12/2011,8.81,0.06
01/13/2011,8.81,0.06
01/13/2011,8.87,0.06
01/14/2011,8.9,0.06
01/14/2011,8.72,0.06
01/18/2011,8.65,0.06
01/18/2011,8.75,0.06
01/19/2011,8.73,0.06
01/19/2011,8.67,0.06
01/20/2011,8.64,0.06
01/20/2011,8.42,0.06
01/21/2011,8.45,0.06
01/21/2011,8.52,0.06
01/24/2011,8.52,0.06
01/24/2011,8.65,0.06
01/25/2011,8.65,0.06
01/25/2011,8.8,0.06
01/26/2011,8.87,0.06
01/26/2011,8.83,0.06
01/27/2011,8.84,0.06
01/27/2011,8.95,0.06
01/28/2011,9.0,0.06
01/28/2011,8.91,0.06
01/31/2011,9.0,0.06
01/31/2011,8.95,0.06
02/01/2011,9.01,0.06
02/01/2011,9.04,0.06
02/02/2011,8.99,0.06
02/02/2011,9.04,0.06
02/03/2011,9.03,0.06
02/03/2011,9.22,0.06
02/04/2011,9.2,0.06
02/04/2011,9.2,0.06
02/07/2011,9.2,0.06
02/07/2011,9.19,0.06
02/08/2011,9.24,0.06
02/08/2011,9.2,0.06
02/09/2011,9.2,0.06
02/09/2011,9.18,0.06
02/10/2011,9.13,0.06
02/10/2011,9.13,0.06
02/11/2011,9.13,0.06
02/11/2011,9.11,0.06
02/14/2011,9.07,0.06
02/14/2011,9.13,0.06
02/15/2011,9.16,0.06
02/15/2011,9.08,0.06
02/16/2011,9.12,0.06
02/16/2011,9.16,0.06
02/17/2011,9.18,0.06
02/17/2011,9.19,0.06
02/18/2011,9.2,0.06
02/18/2011,9.43,0.06
02/22/2011,9.24,0.06
02/22/2011,9.2,0.06
02/23/2011,9.1,0.06
02/23/2011,9.05,0.06
02/24/2011,9.09,0.12
02/24/2011,9.03,0.12
02/25/2011,9.05,0.12
02/25/2011,9.37,0.12
02/28/2011,9.35,0.12
02/28/2011,9.45,0.12
03/01/2011,9.47,0.12
03/01/2011,9.4,0.12
03/02/2011,9.39,0.12
03/02/2011,9.5,0.12
03/03/2011,9.55,0.12
03/03/2011,9.46,0.12
03/04/2011,9.45,0.12
03/04/2011,9.49,0.12
03/07/2011,9.49,0.12
03/07/2011,9.52,0.12
03/08/2011,9.54,0.12
03/08/2011,9.49,0.12
03/09/2011,9.58,0.12
03/09/2011,9.95,0.12
03/10/2011,9.89,0.12
03/10/2011,9.9,0.12
03/11/2011,9.98,0.12
03/11/2011,10.19,0.12
03/14/2011,10.18,0.12
03/14/2011,10.24,0.12
03/15/2011,10.12,0.12
03/15/2011,10.27,0.12
03/16/2011,10.3,0.12
03/16/2011,10.27,0.12
03/17/2011,10.31,0.12
03/17/2011,10.27,0.12
03/18/2011,10.35,0.12
03/18/2011,10.64,0.12
03/21/2011,10.66,0.12
03/21/2011,10.75,0.12
03/22/2011,10.73,0.12
03/22/2011,10.77,0.12
03/23/2011,10.76,0.12
03/23/2011,10.64,0.12
03/24/2011,10.64,0.12
03/24/2011,10.75,0.12
03/25/2011,10.76,0.12
03/25/2011,10.75,0.12
03/28/2011,10.77,0.12
03/28/2011,10.78,0.12
03/29/2011,10.8,0.12
03/29/2011,10.89,0.12
03/30/2011,10.92,0.12
03/30/2011,10.97,0.12
03/31/2011,10.92,0.12
03/31/2011,10.91,0.12
04/01/2011,10.98,0.12
04/01/2011,11.08,0.12
04/04/2011,11.16,0.12
04/04/2011,11.08,0.12
04/05/2011,11.1,0.12
