FSKR,FS KKR Capital Corp. II,
Date,Price,Annualized Dividend
06/17/2020,12.170405408947213,0.0
06/17/2020,12.657221794128418,0.0
06/18/2020,12.064190489519984,0.0
06/18/2020,11.630481719970703,0.0
06/19/2020,11.506564168255718,0.0
06/19/2020,12.126148223876953,0.0
06/22/2020,11.657034661991789,0.0
06/22/2020,11.506564140319824,0.0
06/23/2020,11.285284217572592,0.0
06/23/2020,11.568522453308105,0.0
06/24/2020,11.418051770824603,0.0
06/24/2020,11.506564140319824,0.0
06/25/2020,11.400350529404474,0.0
06/25/2020,11.53311824798584,0.0
06/26/2020,11.506564519175912,0.0
06/26/2020,11.541969299316406,0.0
06/29/2020,11.409201622009277,0.0
06/29/2020,11.409201622009277,0.0
06/30/2020,11.329540655404356,0.0
06/30/2020,11.409201622009277,0.0
07/01/2020,11.418051738629355,0.0
07/01/2020,11.639331817626953,0.0
07/02/2020,11.506563973932515,0.0
07/02/2020,11.62162971496582,0.0
07/06/2020,11.506563812967968,0.0
07/06/2020,11.559671401977539,0.0
07/07/2020,11.488860785306874,0.0
07/07/2020,11.586224555969238,0.0
07/08/2020,11.515415690675814,0.0
07/08/2020,11.34724235534668,0.0
07/09/2020,11.258731620629986,0.0
07/09/2020,10.842724800109863,0.0
07/10/2020,10.665699946322272,0.0
07/10/2020,11.019747734069824,0.0
07/13/2020,10.860426849360245,0.0
07/13/2020,11.34724235534668,0.0
07/14/2020,11.179069353428616,0.0
07/14/2020,11.471158981323242,0.0
07/15/2020,11.471159926475234,0.0
07/15/2020,11.869463920593262,0.0
07/16/2020,11.745548374536403,0.0
07/16/2020,11.984530448913574,0.0
07/17/2020,12.170404860484455,0.0
07/17/2020,12.29432201385498,0.0
07/20/2020,12.099593989617045,0.0
07/20/2020,12.43593978881836,0.0
07/21/2020,12.347427246445111,0.0
07/21/2020,12.683773040771484,0.0
07/22/2020,12.44479324867624,0.0
07/22/2020,13.16174030303955,0.0
07/23/2020,13.453828813843485,0.0
07/23/2020,12.878500938415527,0.0
07/24/2020,12.701476692255453,0.0
07/24/2020,12.887351989746094,0.0
07/27/2020,12.772286189641926,0.0
07/27/2020,13.152887344360352,0.0
07/28/2020,12.958160919117345,0.0
07/28/2020,13.01126766204834,0.0
07/29/2020,12.984716037832312,0.0
07/29/2020,12.949311256408691,0.0
07/30/2020,12.843096844442424,0.0
07/30/2020,12.816542625427246,0.0
07/31/2020,12.683775147619597,0.0
07/31/2020,12.61296558380127,0.0
08/03/2020,12.48904659270243,0.0
08/03/2020,12.701476097106934,0.0
08/04/2020,12.56870880886545,0.0
08/04/2020,12.825393676757812,0.0
08/05/2020,12.83424440012741,0.0
08/05/2020,12.887351989746094,0.0
08/06/2020,12.843096159067906,0.0
08/06/2020,12.878500938415527,0.0
08/07/2020,12.83424516295309,0.0
08/07/2020,13.179442405700684,0.0
08/10/2020,13.135185263009225,0.0
08/10/2020,13.7105131149292,0.0
08/11/2020,13.533489640166684,0.0
08/11/2020,13.436126708984375,0.0
08/12/2020,13.41842406674923,0.0
08/12/2020,13.321061134338379,0.0
08/13/2020,13.42727563317583,0.0
08/13/2020,13.38301944732666,0.0
08/14/2020,13.374168773199216,0.0
08/14/2020,13.409573554992676,0.0
08/17/2020,13.409572447026619,0.0
08/17/2020,13.1705904006958,0.0
08/18/2020,13.188293148281375,0.0
08/18/2020,13.285656929016113,0.0
08/19/2020,13.170590019542754,0.0
08/19/2020,13.135185241699219,0.0
08/20/2020,13.028971402057742,0.0
08/20/2020,12.967012405395508,0.0
08/21/2020,12.728030742080207,0.0
08/21/2020,12.825393676757812,0.0
08/24/2020,12.745732134751227,0.0
08/24/2020,13.037821769714355,0.0
08/25/2020,12.922757455551961,0.0
08/25/2020,12.825393676757812,0.0
08/26/2020,12.78998909324057,0.0
08/26/2020,12.754584312438965,0.0
08/27/2020,12.58641129776853,0.0
08/27/2020,12.878500938415527,0.0
08/28/2020,12.83424475320187,0.0
08/28/2020,12.878500938415527,0.0
08/31/2020,12.745731627149846,0.0
08/31/2020,12.807690620422363,0.0
09/01/2020,12.74573233272137,0.0
09/01/2020,12.78998851776123,0.0
09/02/2020,12.789989671923689,0.0
09/02/2020,12.7191801071167,0.0
09/03/2020,12.728030977870475,0.0
09/03/2020,12.621816635131836,0.0
09/04/2020,12.612964621718312,0.0
09/04/2020,12.78998851776123,0.0
09/08/2020,12.701477160962725,0.0
09/08/2020,12.674922943115234,0.0
09/09/2020,12.61296600061674,0.0
09/09/2020,12.736883163452148,0.0
09/10/2020,12.666072782493233,0.0
09/10/2020,12.754584312438965,0.0
09/11/2020,12.763434790863851,0.0
09/11/2020,12.798839569091797,0.0
09/14/2020,12.83424546454619,0.0
09/14/2020,13.08207893371582,0.0
09/15/2020,13.082077717054775,0.55
09/15/2020,13.330297470092773,0.55
09/16/2020,13.339490101137558,0.55
09/16/2020,13.174010276794434,0.55
09/17/2020,13.008531674169676,0.55
09/17/2020,13.229171752929688,0.55
09/18/2020,13.183204661885432,0.55
09/18/2020,13.25675106048584,0.55
09/21/2020,13.256752008412581,0.55
09/21/2020,13.183205604553223,0.55
09/22/2020,13.18320523840393,0.55
09/22/2020,13.284331321716309,0.55
09/23/2020,13.219978224682,0.55
09/23/2020,13.155625343322754,0.55
09/24/2020,13.054498581371229,0.55
09/24/2020,13.137238502502441,0.55
09/25/2020,13.146432511924285,0.55
09/25/2020,13.321105003356934,0.55
09/28/2020,13.376264386611027,0.55
09/28/2020,13.311910629272461,0.55
09/29/2020,13.321104367635483,0.55
09/29/2020,13.670450210571289,0.55
09/30/2020,13.615291790969739,0.55
09/30/2020,13.523358345031738,0.55
10/01/2020,13.495777579079473,0.55
10/01/2020,14.05656909942627,0.55
10/02/2020,13.891089201727498,0.55
10/02/2020,14.35994815826416,0.55
10/05/2020,14.415108187638994,0.55
