NLY,Annaly Capital Management Inc,
Date,Price,Dividend,Annualized Dividend
03/25/1998,0.7220398220031158,0.0,0.22
03/26/1998,0.7463781924847045,0.0,0.22
03/27/1998,0.7386492490768433,0.32,0.54
03/30/1998,0.7344765043528066,0.0,0.54
03/31/1998,0.7386493080155143,0.0,0.54
04/01/1998,0.75116909783462,0.0,0.54
04/02/1998,0.7261301804397066,0.0,0.54
04/03/1998,0.7344764554223349,0.0,0.54
04/06/1998,0.7136105912573197,0.0,0.54
04/07/1998,0.7094378513697337,0.0,0.54
04/08/1998,0.7094378513697337,0.0,0.54
04/09/1998,0.7136106470296549,0.0,0.54
04/13/1998,0.7136110152013203,0.0,0.54
04/14/1998,0.705264212120147,0.0,0.54
04/15/1998,0.7010915237065604,0.0,0.54
04/16/1998,0.7094374874181915,0.0,0.54
04/17/1998,0.7219566106796265,0.0,0.54
04/20/1998,0.7219569703867269,0.0,0.54
04/21/1998,0.7261301320652629,0.0,0.54
04/22/1998,0.7261301279067993,0.0,0.54
04/23/1998,0.7219569703867269,0.0,0.54
04/24/1998,0.713610642942889,0.0,0.54
04/27/1998,0.7261301320652629,0.0,0.54
04/28/1998,0.7177838045975258,0.0,0.54
04/29/1998,0.7261301320652629,0.0,0.54
04/30/1998,0.7177838045975258,0.0,0.54
05/01/1998,0.7177834510803223,0.0,0.54
05/04/1998,0.7344765043528066,0.0,0.54
05/05/1998,0.7428228282659067,0.0,0.54
05/06/1998,0.7344765043528066,0.0,0.54
05/07/1998,0.7386492490768433,0.0,0.54
05/08/1998,0.7428228282659067,0.0,0.54
05/11/1998,0.7344760894775391,0.0,0.54
05/12/1998,0.7344762662823281,0.0,0.54
05/13/1998,0.7386496663093567,0.0,0.54
05/14/1998,0.7303032895614361,0.0,0.54
05/15/1998,0.7303029298782349,0.0,0.54
05/18/1998,0.7261297702789307,0.0,0.54
05/19/1998,0.7261297702789307,0.0,0.54
05/20/1998,0.7219569724902772,0.0,0.54
05/21/1998,0.7094374874181915,0.0,0.54
05/22/1998,0.7094371318817139,0.0,0.54
05/26/1998,0.7177838087081909,0.0,0.54
05/27/1998,0.7177838087081909,0.0,0.54
05/28/1998,0.7177838087081909,0.0,0.54
05/29/1998,0.7219566106796265,0.0,0.54
06/01/1998,0.7177837526097017,0.0,0.54
06/02/1998,0.7261297702789307,0.0,0.54
06/03/1998,0.7261301320652629,0.0,0.54
06/04/1998,0.7177834510803223,0.0,0.54
06/05/1998,0.7261301279067993,0.0,0.54
06/08/1998,0.7219569703867269,0.0,0.54
06/09/1998,0.717783810799582,0.0,0.54
06/10/1998,0.7177837526097017,0.0,0.54
06/11/1998,0.7136107797394255,0.0,0.54
06/12/1998,0.6885715828666203,0.0,0.54
06/15/1998,0.6593597600093255,0.0,0.54
06/16/1998,0.6468402708952243,0.0,0.54
06/17/1998,0.6510130774590277,0.0,0.54
06/18/1998,0.6510133201425726,0.0,0.54
06/19/1998,0.642666759459596,0.0,0.54
06/22/1998,0.63432044784228,0.0,0.54
06/23/1998,0.5967620662280492,0.0,0.54
06/24/1998,0.584242582321167,0.0,0.54
06/25/1998,0.5842425177494684,0.0,0.54
06/26/1998,0.6092811797882293,0.0,0.54
06/29/1998,0.6009348622568838,0.0,0.54
06/30/1998,0.6009352190741177,0.0,0.54
07/01/1998,0.6099533540446583,0.32,0.8600000000000001
07/02/1998,0.6186052122049861,0.0,0.8600000000000001
07/06/1998,0.6186050176620483,0.0,0.8600000000000001
07/07/1998,0.6142789959907532,0.0,0.8600000000000001
07/08/1998,0.6186050176620483,0.0,0.8600000000000001
07/09/1998,0.6142791084476283,0.0,0.8600000000000001
07/10/1998,0.6142793016301261,0.0,0.8600000000000001
07/13/1998,0.6186054061490593,0.0,0.8600000000000001
07/14/1998,0.6056276703557224,0.0,0.8600000000000001
07/15/1998,0.6142793297767639,0.0,0.8600000000000001
07/16/1998,0.6056276703557224,0.0,0.8600000000000001
07/17/1998,0.6186052405498397,0.0,0.8600000000000001
07/20/1998,0.6142791084476283,0.0,0.8600000000000001
07/21/1998,0.6142793297767639,0.0,0.8600000000000001
07/22/1998,0.6056275082306123,0.0,0.8600000000000001
07/23/1998,0.6056274897860785,0.0,0.8600000000000001
07/24/1998,0.5969753623008728,0.0,0.8600000000000001
07/27/1998,0.5969757583406237,0.0,0.8600000000000001
07/28/1998,0.5537163786185804,0.0,0.8600000000000001
07/29/1998,0.5623683221358106,0.0,0.8600000000000001
07/30/1998,0.5753457592083857,0.0,0.8600000000000001
07/31/1998,0.5710201424763615,0.0,0.8600000000000001
08/03/1998,0.5796720411466515,0.0,0.8600000000000001
08/04/1998,0.5710200996541266,0.0,0.8600000000000001
08/05/1998,0.5710200667381287,0.0,0.8600000000000001
08/06/1998,0.5710200996541266,0.0,0.8600000000000001
08/07/1998,0.5710202905866835,0.0,0.8600000000000001
08/10/1998,0.5710200667381287,0.0,0.8600000000000001
08/11/1998,0.5623680353164673,0.0,0.8600000000000001
08/12/1998,0.5710198512444129,0.0,0.8600000000000001
08/13/1998,0.5666941571416277,0.0,0.8600000000000001
08/14/1998,0.5623682799623974,0.0,0.8600000000000001
08/17/1998,0.5710200996541266,0.0,0.8600000000000001
08/18/1998,0.5753459763346297,0.0,0.8600000000000001
