FSK,FS KKR Capital Corp.,
Date,Price,Dividend,Annualized Dividend
04/16/2014,17.3534560785061,0.0,0.0
04/17/2014,17.787294013120352,0.0,0.0
04/21/2014,17.735227270588382,0.0,0.0
04/22/2014,17.804651314808527,0.0,0.0
04/23/2014,17.804645538330078,0.0,0.0
04/24/2014,17.804651314808527,0.0,0.0
04/25/2014,17.822000604578303,0.0,0.0
04/28/2014,17.752586303594555,0.0,0.0
04/29/2014,17.63111146086684,0.0,0.0
04/30/2014,17.579052347606307,0.0,0.0
05/01/2014,17.544343948364258,0.0,0.0
05/02/2014,17.50963937602835,0.0,0.0
05/05/2014,17.65558762442253,0.296,0.296
05/06/2014,17.882831202709152,0.0,0.296
05/07/2014,17.760466510741775,0.0,0.296
05/08/2014,17.725508027745125,0.0,0.296
05/09/2014,17.673065216890606,0.0,0.296
05/12/2014,17.81290836711658,0.0,0.296
05/13/2014,17.7255141182758,0.0,0.296
05/14/2014,17.603145627760068,0.0,0.296
05/15/2014,17.77794768523223,0.0,0.296
05/16/2014,17.742989508629794,0.0,0.296
05/19/2014,17.76046572120514,0.0,0.296
05/20/2014,17.935274124145508,0.0,0.296
05/21/2014,17.91779327392578,0.0,0.296
05/22/2014,17.847877302652105,0.0,0.296
05/23/2014,18.092601776123047,0.0,0.296
05/27/2014,18.416564188117533,0.296,0.592
05/28/2014,18.310930109828995,0.0,0.592
05/29/2014,18.24049698857016,0.0,0.592
05/30/2014,18.29332177724869,0.0,0.592
06/02/2014,18.416568395548747,0.0,0.592
06/03/2014,18.434174933952452,0.0,0.592
06/04/2014,18.45177937247109,0.0,0.592
06/05/2014,18.64545823801673,0.0,0.592
06/06/2014,18.715880462618127,0.0,0.592
06/09/2014,18.768700861927694,0.0,0.592
06/10/2014,18.733481165340688,0.0,0.592
06/11/2014,18.821519975426586,0.0,0.592
06/12/2014,18.275716066919745,0.0,0.592
06/13/2014,18.15246081268576,0.0,0.592
06/16/2014,18.275712176589877,0.0,0.592
06/17/2014,18.17007449395763,0.0,0.592
06/18/2014,18.346138326777243,0.0,0.592
06/19/2014,18.328529149294212,0.0,0.592
06/20/2014,18.63568555119271,0.296,0.8879999999999999
06/23/2014,18.38745155805845,0.0,0.8879999999999999
06/24/2014,18.281062352134384,0.0,0.8879999999999999
06/25/2014,18.298793883941755,0.0,0.8879999999999999
06/26/2014,18.38744889631028,0.0,0.8879999999999999
06/27/2014,18.582500191041618,0.0,0.8879999999999999
06/30/2014,18.582492678710544,0.0,0.8879999999999999
07/01/2014,18.937116622924805,0.0,0.8879999999999999
07/02/2014,19.00804568449259,0.0,0.8879999999999999
07/03/2014,18.848465125529323,0.0,0.8879999999999999
07/07/2014,18.60022976911678,0.0,0.8879999999999999
07/08/2014,18.759809140707887,0.0,0.8879999999999999
07/09/2014,18.671144485473633,0.0,0.8879999999999999
07/10/2014,18.617954006066526,0.0,0.8879999999999999
07/11/2014,18.61795898712928,0.0,0.8879999999999999
07/14/2014,18.81299862975225,0.0,0.8879999999999999
07/15/2014,18.65341938683666,0.0,0.8879999999999999
07/16/2014,18.706616272886457,0.0,0.8879999999999999
07/17/2014,18.706611268104265,0.0,0.8879999999999999
07/18/2014,18.671152682184754,0.0,0.8879999999999999
07/21/2014,18.724350662774448,0.0,0.8879999999999999
07/22/2014,18.795273179187397,0.0,0.8879999999999999
07/23/2014,18.909177780151367,0.296,1.184
07/24/2014,18.909170655003674,0.0,1.184
07/25/2014,18.837755081475265,0.0,1.184
07/28/2014,18.962741462330538,0.0,1.184
07/29/2014,18.98161773968861,0.4,1.584
07/30/2014,18.99964714050293,0.0,1.584
07/31/2014,18.96359608434844,0.0,1.584
08/01/2014,18.810368114898868,0.0,1.584
08/04/2014,18.747276306152344,0.0,1.584
08/05/2014,18.729249381546566,0.0,1.584
08/06/2014,18.657145408836698,0.0,1.584
08/07/2014,18.71122822120783,0.0,1.584
08/08/2014,18.56701364448705,0.0,1.584
08/11/2014,18.693201356737912,0.0,1.584
08/12/2014,18.65714971585575,0.0,1.584
08/13/2014,18.62109811088278,0.0,1.584
08/14/2014,18.729254613102004,0.0,1.584
08/15/2014,18.927534708162632,0.0,1.584
08/18/2014,18.801356503449387,0.0,1.584
08/19/2014,18.747279537560114,0.0,1.584
08/20/2014,18.747279537560114,0.0,1.584
08/21/2014,18.86321002840366,0.296,1.8800000000000001
08/22/2014,18.881368150978805,0.0,1.8800000000000001
08/25/2014,18.8995225974235,0.0,1.8800000000000001
08/26/2014,18.91767609688285,0.0,1.8800000000000001
08/27/2014,19.008455276489258,0.0,1.8800000000000001
08/28/2014,18.972137931022843,0.0,1.8800000000000001
08/29/2014,19.044769756217043,0.0,1.8800000000000001
09/02/2014,19.06291847990461,0.0,1.8800000000000001
09/03/2014,19.17184877348225,0.0,1.8800000000000001
09/04/2014,19.062914058536094,0.0,1.8800000000000001
09/05/2014,19.02660590776861,0.0,1.8800000000000001
09/08/2014,19.117379042479794,0.0,1.8800000000000001
09/09/2014,19.04475848675132,0.0,1.8800000000000001
09/10/2014,18.990295581989997,0.0,1.8800000000000001
09/11/2014,18.881368150978805,0.0,1.8800000000000001
09/12/2014,18.89952354165003,0.0,1.8800000000000001
09/15/2014,19.008454326820463,0.0,1.8800000000000001
09/16/2014,19.044760705837188,0.0,1.8800000000000001
09/17/2014,19.099234863383302,0.0,1.8800000000000001
09/18/2014,19.17185478583091,0.0,1.8800000000000001
09/19/2014,19.171853162465016,0.0,1.8800000000000001
09/22/2014,19.324535514134016,0.296,2.176
