T,AT&T Inc.,
Date,Price,Annualized Dividend
11/21/1983,0.35230041968434095,0.0
11/21/1983,0.3559100329875946,0.0
11/22/1983,0.3559101844524123,0.0
11/22/1983,0.3530224859714508,0.0
11/23/1983,0.35302212973562175,0.0
11/23/1983,0.3515782654285431,0.0
11/25/1983,0.35157824824422085,0.0
11/25/1983,0.3523001968860626,0.0
11/28/1983,0.35230024375096036,0.0
11/28/1983,0.34869059920310974,0.0
11/29/1983,0.3479685049140048,0.0
11/29/1983,0.34291499853134155,0.0
11/30/1983,0.3429154329449494,0.0
11/30/1983,0.3407496511936188,0.0
12/01/1983,0.3414713739918865,0.0
12/01/1983,0.34435907006263733,0.0
12/02/1983,0.3443588622188403,0.0
12/02/1983,0.34291499853134155,0.0
12/05/1983,0.34291541504518785,0.0
12/05/1983,0.3414715826511383,0.0
12/06/1983,0.3414715552592086,0.0
12/06/1983,0.34002768993377686,0.0
12/07/1983,0.3400276624250363,0.0
12/07/1983,0.3385837972164154,0.0
12/08/1983,0.3385837972164154,0.0
12/08/1983,0.3385837972164154,0.0
12/09/1983,0.3385837240605958,0.0
12/09/1983,0.33641794323921204,0.0
12/12/1983,0.33641804471632936,0.0
12/12/1983,0.3371399939060211,0.0
12/13/1983,0.3371399923301159,0.0
12/13/1983,0.34002768993377686,0.0
12/14/1983,0.34002773495891087,0.0
12/14/1983,0.3407496511936188,0.0
12/15/1983,0.34074957850574683,0.0
12/15/1983,0.3385837972164154,0.0
12/16/1983,0.3385837972164154,0.0
12/16/1983,0.3385837972164154,0.0
12/19/1983,0.3385837972164154,0.0
12/19/1983,0.3385837972164154,0.0
12/20/1983,0.33858382460834513,0.0
12/20/1983,0.34002768993377686,0.0
12/21/1983,0.34002773495891087,0.0
12/21/1983,0.3407496511936188,0.0
12/22/1983,0.34074957850574683,0.0
12/22/1983,0.3385837972164154,0.0
12/23/1983,0.3385838093225335,0.0
12/23/1983,0.3393057584762573,0.0
12/27/1983,0.33930574634432575,0.0
12/27/1983,0.3385837972164154,0.0
12/28/1983,0.3385838373801965,0.0
12/28/1983,0.34219348430633545,0.0
12/29/1983,0.3421934988481631,0.0
12/29/1983,0.3414715826511383,0.0
12/30/1983,0.3414715552592086,0.0
12/30/1983,0.34002768993377686,0.0
01/03/1984,0.34074934908837035,0.0
01/03/1984,0.3523001968860626,0.0
01/04/1984,0.35591000600981276,0.0
01/04/1984,0.36962664127349854,0.0
01/05/1984,0.36962649381099416,0.0
01/05/1984,0.36818262934684753,0.0
01/06/1984,0.36818263221936054,0.0
01/06/1984,0.35951951146125793,0.0
01/09/1984,0.35951957287291014,0.0
01/09/1984,0.35807570815086365,0.0
01/10/1984,0.35807570815086365,0.0
01/10/1984,0.35807570815086365,0.0
01/11/1984,0.35879746301307014,0.0
01/11/1984,0.3602412939071655,0.0
01/12/1984,0.3602415148462684,0.0
01/12/1984,0.36096346378326416,0.0
01/13/1984,0.36096366797515483,0.0
01/13/1984,0.36673906445503235,0.0
01/16/1984,0.3667388204420839,0.0
01/16/1984,0.37395811080932617,0.0
01/17/1984,0.3739581122806639,0.0
01/17/1984,0.37540194392204285,0.0
01/18/1984,0.37540204232065405,0.0
01/18/1984,0.38045555353164673,0.0
01/19/1984,0.3804552854698955,0.0
01/19/1984,0.37612372636795044,0.0
01/20/1984,0.37612372636795044,0.0
01/20/1984,0.37612372636795044,0.0
01/23/1984,0.37612389278992026,0.0
01/23/1984,0.37540194392204285,0.0
01/24/1984,0.37540194244502434,0.0
01/24/1984,0.37395811080932617,0.0
01/25/1984,0.37395805415625116,0.0
01/25/1984,0.36818262934684753,0.0
01/26/1984,0.36673885699608394,0.0
