KREF,KKR Real Estate Finance Trust I,
Date,Price,Dividend,Annualized Dividend
10/24/2017,14.521414731700478,0.0,0.62
10/25/2017,14.602756580018664,0.0,0.62
10/26/2017,14.436530832847296,0.0,0.62
10/27/2017,14.387018203735352,0.0,0.62
10/30/2017,14.351654124416203,0.0,0.62
10/31/2017,14.351655177298792,0.0,0.62
11/01/2017,14.38702104030706,0.0,0.62
11/02/2017,14.358729210231417,0.0,0.62
11/03/2017,14.273850775098044,0.0,0.62
11/06/2017,14.464824344902832,0.0,0.62
11/07/2017,14.344581199374069,0.0,0.62
11/08/2017,14.14653002544666,0.0,0.62
11/09/2017,13.969696529594367,0.0,0.62
11/10/2017,14.146528036636413,0.0,0.62
11/13/2017,14.075796007567382,0.0,0.62
11/14/2017,14.13238206929066,0.0,0.62
11/15/2017,14.012138899088967,0.0,0.62
11/16/2017,14.266774856487318,0.0,0.62
11/17/2017,14.18189456784836,0.0,0.62
11/20/2017,14.344583072851899,0.0,0.62
11/21/2017,14.486047744750977,0.0,0.62
11/22/2017,14.500192369610472,0.0,0.62
11/24/2017,14.67702581992771,0.0,0.62
11/27/2017,14.65580694943652,0.0,0.62
11/28/2017,14.54262945318047,0.0,0.62
11/29/2017,14.61336659069349,0.0,0.62
11/30/2017,14.61336573065637,0.0,0.62
12/01/2017,14.41531481834264,0.0,0.62
12/04/2017,14.613364975492523,0.0,0.62
12/05/2017,14.89629406369607,0.0,0.62
12/06/2017,14.797271728515625,0.0,0.62
12/07/2017,14.776049839023774,0.0,0.62
12/08/2017,14.89629532217071,0.0,0.62
12/11/2017,14.875076470312864,0.0,0.62
12/12/2017,14.93873789451959,0.0,0.62
12/13/2017,14.959956513959854,0.0,0.62
12/14/2017,14.846786259624533,0.0,0.62
12/15/2017,14.839708925660757,0.0,0.62
12/18/2017,14.811416495755608,0.0,0.62
12/19/2017,14.73360907248829,0.0,0.62
12/20/2017,14.471899263361422,0.0,0.62
12/21/2017,14.655804609597462,0.0,0.62
12/22/2017,14.655800297497134,0.0,0.62
12/26/2017,14.535559505925455,0.0,0.62
12/27/2017,14.563852607929226,0.0,0.62
12/28/2017,14.620953935139223,0.37,0.99
12/29/2017,14.599350142107552,0.0,0.99
01/02/2018,14.46250186626123,0.0,0.99
01/03/2018,14.332854967251329,0.0,0.99
01/04/2018,14.188807617432285,0.0,0.99
01/05/2018,14.289641837110034,0.0,0.99
01/08/2018,14.275236669934921,0.0,0.99
01/09/2018,14.311252834054338,0.0,0.99
01/10/2018,14.159998140813167,0.0,0.99
01/11/2018,14.260831993333216,0.0,0.99
01/12/2018,14.376068849778337,0.0,0.99
01/16/2018,14.296845735658712,0.0,0.99
01/17/2018,14.26803531351027,0.0,0.99
01/18/2018,14.224818969833125,0.0,0.99
01/19/2018,14.138393089301955,0.0,0.99
01/22/2018,14.224821050524985,0.0,0.99
01/23/2018,14.159996576419651,0.0,0.99
01/24/2018,14.246429327734564,0.0,0.99
01/25/2018,14.246430818672305,0.0,0.99
01/26/2018,14.282440525289758,0.0,0.99
01/29/2018,14.152795668250905,0.0,0.99
01/30/2018,14.044757929482873,0.0,0.99
01/31/2018,14.1527960477826,0.0,0.99
02/01/2018,13.958329814412616,0.0,0.99
02/02/2018,13.91511331412843,0.0,0.99
02/05/2018,13.807079175669637,0.0,0.99
02/06/2018,13.086834283722938,0.0,0.99
02/07/2018,13.533385322416889,0.0,0.99
02/08/2018,13.51897830187781,0.0,0.99
02/09/2018,13.439754527169036,0.0,0.99
