PM,Philip Morris International Inc,
Date,Price,Annualized Dividend
03/17/2008,27.37162720976711,0.0
03/17/2008,27.03769302368164,0.0
03/18/2008,27.289503205571886,0.0
03/18/2008,27.152645111083984,0.0
03/19/2008,27.152652450417882,0.0
03/19/2008,27.426368713378906,0.0
03/20/2008,27.481103114272177,0.0
03/20/2008,26.906299591064453,0.0
03/24/2008,27.267617640466295,0.0
03/24/2008,27.9190616607666,0.0
03/25/2008,28.138031266206216,0.0
03/25/2008,28.329631805419922,0.0
03/26/2008,28.30225479380952,0.0
03/26/2008,27.53584861755371,0.0
03/27/2008,27.891676756553966,0.0
03/27/2008,27.74386978149414,0.0
03/28/2008,27.891680677825196,0.0
03/28/2008,27.9518985748291,0.0
03/31/2008,28.68545359566886,0.0
03/31/2008,27.68912696838379,0.0
04/01/2008,27.97378992907508,0.0
04/01/2008,27.68912696838379,0.0
04/02/2008,28.00663682834694,0.0
04/02/2008,28.034008026123047,0.0
04/03/2008,27.91905518652749,0.0
04/03/2008,27.946426391601562,0.0
04/04/2008,28.18181900136673,0.0
04/04/2008,28.121601104736328,0.0
04/07/2008,28.247509877005253,0.0
04/07/2008,27.7383975982666,0.0
04/08/2008,27.59606185810721,0.0
04/08/2008,27.7000732421875,0.0
04/09/2008,27.645340831760034,0.0
04/09/2008,27.032217025756836,0.0
04/10/2008,27.092421735852113,0.0
04/10/2008,26.638051986694336,0.0
04/11/2008,26.54500183285909,0.0
04/11/2008,26.457412719726562,0.0
04/14/2008,26.440977918676555,0.0
04/14/2008,26.276748657226562,0.0
04/15/2008,26.156313548356504,0.0
04/15/2008,26.3862361907959,0.0
04/16/2008,26.50120233475209,0.0
04/16/2008,27.076005935668945,0.0
04/17/2008,27.21834790412369,0.0
04/17/2008,27.289512634277344,0.0
04/18/2008,27.639860569901487,0.0
04/18/2008,27.349720001220703,0.0
04/21/2008,27.48110704300245,0.0
04/21/2008,27.716503143310547,0.0
04/22/2008,27.700079229900744,0.0
04/22/2008,27.409940719604492,0.0
04/23/2008,27.91904794252836,0.0
04/23/2008,28.466480255126953,0.0
04/24/2008,28.466480255126953,0.0
04/24/2008,28.466480255126953,0.0
04/25/2008,28.54312772139611,0.0
04/25/2008,28.083284378051758,0.0
04/28/2008,27.886205868265726,0.0
04/28/2008,27.957372665405273,0.0
04/29/2008,28.159929405734715,0.0
04/29/2008,28.471965789794922,0.0
04/30/2008,28.302266779966132,0.0
04/30/2008,27.93548583984375,0.0
05/01/2008,27.825995462761934,0.0
05/01/2008,27.78219985961914,0.0
05/02/2008,27.8643166156834,0.0
05/02/2008,27.930007934570312,0.0
05/05/2008,27.847887104993823,0.0
05/05/2008,27.81504249572754,0.0
05/06/2008,27.86430396815382,0.0
05/06/2008,28.400787353515625,0.0
05/07/2008,28.450067875633586,0.0
05/07/2008,28.296785354614258,0.0
05/08/2008,28.274891751052838,0.0
05/08/2008,28.575979232788086,0.0
05/09/2008,28.4117465439102,0.0
05/09/2008,28.37342643737793,0.0
05/12/2008,28.45553498478968,0.0
05/12/2008,28.723777770996094,0.0
05/13/2008,28.696405882866415,0.0
05/13/2008,28.718303680419922,0.0
05/14/2008,28.745680001741245,0.0
05/14/2008,28.833269119262695,0.0
05/15/2008,28.74568629116388,0.0
05/15/2008,29.150787353515625,0.0
05/16/2008,29.139827204033978,0.0
05/16/2008,29.221942901611328,0.0
05/19/2008,29.28216258675258,0.0
05/19/2008,29.358802795410156,0.0
05/20/2008,29.178147509684017,0.0
05/20/2008,28.964649200439453,0.0
05/21/2008,29.03581693044042,0.0
05/21/2008,28.455537796020508,0.0
05/22/2008,28.36794782346406,0.0
05/22/2008,28.619766235351562,0.0
05/23/2008,28.521229667475474,0.0
05/23/2008,28.35700035095215,0.0
05/27/2008,28.422692732407775,0.0
05/27/2008,28.263938903808594,0.0
05/28/2008,28.302261166383914,0.0
05/28/2008,28.00664710998535,0.0
05/29/2008,27.897149447724473,0.0
05/29/2008,28.477428436279297,0.0
05/30/2008,28.50480411600308,0.0
05/30/2008,28.827789306640625,0.0
06/02/2008,28.54860640462726,0.0
06/02/2008,28.526708602905273,0.0
06/03/2008,28.52122947657853,0.0
06/03/2008,28.28583335876465,0.0
06/04/2008,28.296783819010333,0.0
06/04/2008,28.439117431640625,0.0
06/05/2008,28.482906238484677,0.0
06/05/2008,28.362472534179688,0.0
06/06/2008,28.192770495273102,0.0
06/06/2008,27.64533805847168,0.0
06/09/2008,27.80956521482695,0.0
06/09/2008,27.092430114746094,0.0
06/10/2008,26.829660727768577,0.0
06/10/2008,27.092430114746094,0.0
06/11/2008,27.09242780419953,0.0
06/11/2008,27.29497718811035,0.0
06/12/2008,27.300445865751502,0.0
06/12/2008,28.077800750732422,0.0
06/13/2008,28.072327525501485,0.0
06/13/2008,28.252981185913086,0.0
06/16/2008,28.01211738934246,0.0
06/16/2008,27.77124786376953,0.0
06/17/2008,27.672707548700252,0.0
06/17/2008,27.716503143310547,0.0
06/18/2008,27.492053644992826,0.0
06/18/2008,27.316875457763672,0.0
06/19/2008,27.2621364197675,0.0
06/19/2008,27.59059715270996,0.0
06/20/2008,27.40993829568838,0.0
06/20/2008,27.492053985595703,0.0
06/23/2008,27.552272625625736,0.0
06/23/2008,27.721975326538086,0.0
06/24/2008,27.508484281761888,0.0
06/24/2008,28.012121200561523,0.0
06/25/2008,28.16540365407146,0.0
06/25/2008,28.3405818939209,0.0
06/26/2008,28.224577193881217,0.46
06/26/2008,27.69985580444336,0.46
06/27/2008,27.677765914835092,0.46
06/27/2008,27.52311134338379,0.46
06/30/2008,27.5065421050196,0.46
06/30/2008,27.28008270263672,0.46
07/01/2008,27.08124296136668,0.46
07/01/2008,27.832426071166992,0.46
07/02/2008,27.87660162621374,0.46
07/02/2008,27.94840431213379,0.46
07/03/2008,27.93185172795208,0.46
07/03/2008,28.428958892822266,0.46
07/07/2008,28.428942487122775,0.46
07/07/2008,28.638830184936523,0.46
07/08/2008,28.57256049764877,0.46
07/08/2008,29.6993350982666,0.46
07/09/2008,29.6717194553262,0.46
07/09/2008,29.826374053955078,0.46
07/10/2008,29.76561668268163,0.46
07/10/2008,29.51706314086914,0.46
07/11/2008,29.235370319286805,0.46
07/11/2008,29.4783992767334,0.46
07/14/2008,29.417630267765464,0.46
07/14/2008,29.58333396911621,0.46
07/15/2008,29.21327031243253,0.46
07/15/2008,29.439729690551758,0.46
07/16/2008,29.146997175565584,0.46
07/16/2008,29.229846954345703,0.46
07/17/2008,29.384493886337456,0.46
07/17/2008,28.14725112915039,0.46
07/18/2008,28.224580040659248,0.46
07/18/2008,28.014692306518555,0.46
07/21/2008,28.06992731894032,0.46
07/21/2008,27.882131576538086,0.46
07/22/2008,27.7550938301943,0.46
07/22/2008,28.749305725097656,0.46
07/23/2008,29.047579503651967,0.46
07/23/2008,28.428958892822266,0.46
07/24/2008,28.390285988157576,0.46
07/24/2008,28.975765228271484,0.46
07/25/2008,28.870816866642638,0.46
07/25/2008,29.3016414642334,0.46
07/28/2008,29.152514666284308,0.46
07/28/2008,29.06414031982422,0.46
07/29/2008,29.13041927579266,0.46
07/29/2008,29.461822509765625,0.46
07/30/2008,29.583345275298548,0.46
07/30/2008,29.4783992767334,0.46
07/31/2008,29.478397480959774,0.46
07/31/2008,28.52837371826172,0.46
08/01/2008,28.583614876000368,0.46
08/01/2008,28.765888214111328,0.46
08/04/2008,28.77692033512774,0.46
08/04/2008,29.67171287536621,0.46
08/05/2008,29.660669307135294,0.46
08/05/2008,30.489179611206055,0.46
08/06/2008,30.301394056342506,0.46
08/06/2008,30.67146110534668,0.46
08/07/2008,30.450524025567226,0.46
08/07/2008,30.17987632751465,0.46
08/08/2008,30.10254600472467,0.46
08/08/2008,30.494707107543945,0.46
08/11/2008,30.213008169582555,0.46
08/11/2008,30.792964935302734,0.46
08/12/2008,30.71564279179043,0.46
08/12/2008,30.903438568115234,0.46
08/13/2008,30.853723945893943,0.46
08/13/2008,30.67697525024414,0.46
08/14/2008,30.51128099146506,0.46
08/14/2008,30.63831901550293,0.46
08/15/2008,30.66040321767969,0.46
08/15/2008,30.693544387817383,0.46
08/18/2008,30.743245798103626,0.46
08/18/2008,30.38422393798828,0.46
08/19/2008,30.246147791247694,0.46
08/19/2008,30.108062744140625,0.46
08/20/2008,30.130156483779643,0.46
08/20/2008,30.163297653198242,0.46
08/21/2008,29.936838915524973,0.46
08/21/2008,30.27928924560547,0.46
08/22/2008,30.37872137362628,0.46
08/22/2008,30.67146110534668,0.46
08/25/2008,30.544412197591647,0.46
08/25/2008,30.30690574645996,0.46
08/26/2008,30.262728222656172,0.46
08/26/2008,30.17987632751465,0.46
08/27/2008,30.2406252049254,0.46
08/27/2008,29.881603240966797,0.46
08/28/2008,29.83189721702812,0.46
08/28/2008,29.78218650817871,0.46
08/29/2008,29.693810299959846,0.46
08/29/2008,29.66067123413086,0.46
09/02/2008,29.688280482621483,0.46
09/02/2008,30.273761749267578,0.46
09/03/2008,30.240629466324766,0.46
09/03/2008,29.86503791809082,0.46
09/04/2008,29.82637423274514,0.46
09/04/2008,29.4783992767334,0.46
09/05/2008,29.467352041982746,0.46
09/05/2008,29.826374053955078,0.46
09/08/2008,29.826374933678178,0.46
09/08/2008,30.36766815185547,0.46
09/09/2008,30.39528148070264,0.46
09/09/2008,30.2571964263916,0.46
09/10/2008,30.323491444520414,0.46
09/10/2008,30.168834686279297,0.46
09/11/2008,30.280398270507742,1.0
09/11/2008,30.57606315612793,1.0
09/12/2008,30.341769071083505,1.0
09/12/2008,29.94569206237793,1.0
09/15/2008,29.644433036856743,1.0
09/15/2008,29.465919494628906,1.0
09/16/2008,28.99174468648452,1.0
09/16/2008,29.99588394165039,1.0
09/17/2008,29.839696626224804,1.0
09/17/2008,27.323766708374023,1.0
09/18/2008,27.73658141522901,1.0
09/18/2008,27.892780303955078,1.0
09/19/2008,29.103320520581867,1.0
09/19/2008,28.68492889404297,1.0
09/22/2008,28.34463257956053,1.0
09/22/2008,27.909503936767578,1.0
09/23/2008,27.831403770957966,1.0
09/23/2008,27.474376678466797,1.0
09/24/2008,27.63614997039931,1.0
09/24/2008,27.77561378479004,1.0
09/25/2008,27.887196867425175,1.0
09/25/2008,28.790922164916992,1.0
09/26/2008,28.316742502416496,1.0
09/26/2008,28.39484405517578,1.0
09/29/2008,28.27769292984578,1.0
09/29/2008,26.107635498046875,1.0
09/30/2008,26.832847595214844,1.0
09/30/2008,26.832847595214844,1.0
10/01/2008,26.754754891895036,1.0
10/01/2008,28.32790756225586,1.0
10/02/2008,28.11033837127295,1.0
10/02/2008,27.379549026489258,1.0
10/03/2008,27.83699357403385,1.0
10/03/2008,27.70868492126465,1.0
10/06/2008,27.022520930820342,1.0
10/06/2008,25.728296279907227,1.0
10/07/2008,26.581814542388354,1.0
10/07/2008,24.746469497680664,1.0
10/08/2008,23.402036359704365,1.0
10/08/2008,24.015676498413086,1.0
10/09/2008,24.43406655225781,1.0
10/09/2008,21.75636100769043,1.0
10/10/2008,20.64622355023176,1.0
10/10/2008,22.169170379638672,1.0
10/13/2008,23.42992348814752,1.0
10/13/2008,25.097911834716797,1.0
10/14/2008,26.1466889252144,1.0
10/14/2008,24.56795883178711,1.0
10/15/2008,24.473112439645345,1.0
10/15/2008,22.77165412902832,1.0
10/16/2008,22.955743933166886,1.0
10/16/2008,23.99335289001465,1.0
10/17/2008,23.870638357198786,1.0
10/17/2008,24.15514373779297,1.0
10/20/2008,24.417330798932607,1.0
10/20/2008,24.205345153808594,1.0
10/21/2008,24.03798591771991,1.0
10/21/2008,23.519180297851562,1.0
10/22/2008,23.708856417716337,1.0
10/22/2008,22.777238845825195,1.0
10/23/2008,22.96690577711544,1.0
10/23/2008,23.96546745300293,1.0
10/24/2008,22.247277470914227,1.0
10/24/2008,22.59314727783203,1.0
10/27/2008,22.32536984297135,1.0
10/27/2008,21.78982925415039,1.0
10/28/2008,22.459258198057025,1.0
10/28/2008,23.75348472595215,1.0
10/29/2008,23.686542428759076,1.0
10/29/2008,23.17889404296875,1.0
10/30/2008,23.865057615709993,1.0
10/30/2008,23.8762149810791,1.0
10/31/2008,23.67538641293922,1.0
10/31/2008,24.24997901916504,1.0
11/03/2008,24.116083762333023,1.0
11/03/2008,23.770214080810547,1.0
11/04/2008,24.406175773237003,1.0
11/04/2008,24.964031219482422,1.0
11/05/2008,24.50659375914356,1.0
11/05/2008,24.556800842285156,1.0
11/06/2008,24.272286186899784,1.0
11/06/2008,22.80512809753418,1.0
11/07/2008,22.955748582943812,1.0
11/07/2008,23.54149627685547,1.0
11/10/2008,23.920843840515268,1.0
11/10/2008,23.491294860839844,1.0
11/11/2008,23.3183647753401,1.0
11/11/2008,23.050594329833984,1.0
11/12/2008,22.87206934163786,1.0
11/12/2008,21.812143325805664,1.0
11/13/2008,21.52206527153644,1.0
11/13/2008,22.22496223449707,1.0
11/14/2008,21.979500920293415,1.0
11/14/2008,21.427223205566406,1.0
11/17/2008,20.73548353065301,1.0
11/17/2008,21.393753051757812,1.0
11/18/2008,21.382602368967422,1.0
