BCE,"BCE, Inc.",
Date,Price,Dividend,Annualized Dividend
04/29/1983,0.4083531184236431,0.0,0.0
05/02/1983,0.40384092926979065,0.0,0.0
05/03/1983,0.40384092926979065,0.0,0.0
05/04/1983,0.4038408411873712,0.0,0.0
05/05/1983,0.40835288379873547,0.0,0.0
05/06/1983,0.4106090681149009,0.0,0.0
05/09/1983,0.41286516189575195,0.0,0.0
05/10/1983,0.41286516189575195,0.0,0.0
05/11/1983,0.41286507036004744,0.0,0.0
05/12/1983,0.4106090948067976,0.0,0.0
05/13/1983,0.40835297433404977,0.0,0.0
05/16/1983,0.41060912344190814,0.0,0.0
05/17/1983,0.4083530008792877,0.0,0.0
05/18/1983,0.4083530008792877,0.0,0.0
05/19/1983,0.408352966054102,0.0,0.0
05/20/1983,0.4015846531943413,0.0,0.0
05/23/1983,0.39707252383232117,0.0,0.0
05/24/1983,0.39932859111367985,0.0,0.0
05/25/1983,0.40158476822638095,0.0,0.0
05/26/1983,0.39030423604471737,0.0,0.0
05/27/1983,0.388048203005267,0.0,0.0
05/31/1983,0.3948165774345398,0.0,0.0
06/01/1983,0.3948163669342282,0.0,0.0
06/02/1983,0.39256032989468687,0.0,0.0
06/03/1983,0.390304297208786,0.0,0.0
06/06/1983,0.3903042421760884,0.0,0.0
06/07/1983,0.3970724660797981,0.0,0.0
06/08/1983,0.39932861771773204,0.0,0.0
06/09/1983,0.39256032989468687,0.0,0.0
06/10/1983,0.38804829050922957,0.0,0.0
06/13/1983,0.38579219579696655,0.0,0.0
06/14/1983,0.38579219579696655,0.0,0.0
06/15/1983,0.3835359215736389,0.0,0.0
06/16/1983,0.3835359215736389,0.0,0.0
06/17/1983,0.38804808635821286,0.0,0.0
06/20/1983,0.3925604827063424,0.0,0.0
06/21/1983,0.39256027340888977,0.0,0.0
06/22/1983,0.39256027340888977,0.0,0.0
06/23/1983,0.39256027340888977,0.0,0.0
06/24/1983,0.39256027340888977,0.0,0.0
06/27/1983,0.392560391412305,0.0,0.0
06/28/1983,0.39030423604471737,0.0,0.0
06/29/1983,0.388048203005267,0.0,0.0
06/30/1983,0.3903041798835513,0.0,0.0
07/01/1983,0.392560391412305,0.0,0.0
07/05/1983,0.39030423604471737,0.0,0.0
07/06/1983,0.38804829050922957,0.0,0.0
07/07/1983,0.3857920483447784,0.0,0.0
07/08/1983,0.3880481421947479,0.0,0.0
07/11/1983,0.3880481421947479,0.0,0.0
07/12/1983,0.38804810888626995,0.0,0.0
07/13/1983,0.38353594978885536,0.0,0.0
07/14/1983,0.3835361010847036,0.0,0.0
07/15/1983,0.38353594978885536,0.0,0.0
07/18/1983,0.381279855966568,0.0,0.0
07/19/1983,0.381279855966568,0.0,0.0
07/20/1983,0.3835361010847036,0.0,0.0
07/21/1983,0.38579219579696655,0.0,0.0
07/22/1983,0.38579219579696655,0.0,0.0
07/25/1983,0.38579201522995443,0.0,0.0
07/26/1983,0.3857920483447784,0.0,0.0
07/27/1983,0.3880481421947479,0.0,0.0
07/28/1983,0.3880481421947479,0.0,0.0
07/29/1983,0.3880481421947479,0.0,0.0
08/01/1983,0.38579201522995443,0.0,0.0
08/02/1983,0.38353591802574344,0.0,0.0
08/03/1983,0.3790237621442806,0.0,0.0
08/04/1983,0.3835359215736389,0.0,0.0
08/05/1983,0.3835361010847036,0.0,0.0
08/08/1983,0.3857917962316981,0.0,0.0
08/09/1983,0.3767676683219932,0.0,0.0
08/10/1983,0.3812798279173234,0.0,0.0
08/11/1983,0.3812796114804502,0.0,0.0
08/12/1983,0.3767676683219932,0.0,0.0
08/15/1983,0.383535954494809,0.0,0.0
08/16/1983,0.38804808635821286,0.0,0.0
08/17/1983,0.3925604827063424,0.0,0.0
08/18/1983,0.3970724660797981,0.0,0.0
08/19/1983,0.3993285596370697,0.0,0.0
08/22/1983,0.4015848346928645,0.0,0.0
08/23/1983,0.4038408411873712,0.0,0.0
08/24/1983,0.40609690695177786,0.0,0.0
08/25/1983,0.40835288379873547,0.0,0.0
08/26/1983,0.4106090681149009,0.0,0.0
08/29/1983,0.41286531171720964,0.0,0.0
08/30/1983,0.41737744435269564,0.0,0.0
08/31/1983,0.4218894220808501,0.0,0.0
09/01/1983,0.4196334807796681,0.0,0.0
09/02/1983,0.4241455219410084,0.0,0.0
09/06/1983,0.42865777388215065,0.0,0.0
09/07/1983,0.433169896979081,0.0,0.0
09/08/1983,0.42865797955328255,0.0,0.0
09/09/1983,0.42414551524705785,0.0,0.0
09/12/1983,0.4196335663666596,0.0,0.0
09/13/1983,0.4173774719238281,0.0,0.0
09/14/1983,0.41737744435269564,0.0,0.0
09/15/1983,0.4218894220808501,0.0,0.0
09/16/1983,0.4173774719238281,0.0,0.0
09/19/1983,0.419633538646494,0.0,0.0
09/20/1983,0.42188969566559914,0.0,0.0
09/21/1983,0.43091380154645004,0.0,0.0
09/22/1983,0.42640161733878285,0.0,0.0
09/23/1983,0.42865797955328255,0.0,0.0
09/26/1983,0.4309140741825104,0.0,0.0
09/27/1983,0.4309140741825104,0.0,0.0
09/28/1983,0.43091380154645004,0.0,0.0
09/29/1983,0.42640161514282227,0.0,0.0
09/30/1983,0.42640161514282227,0.0,0.0
10/03/1983,0.42640188492405473,0.0,0.0
10/04/1983,0.4309138037656483,0.0,0.0
10/05/1983,0.4286577083446361,0.0,0.0
10/06/1983,0.4264017988980743,0.0,0.0
10/07/1983,0.4354259989310786,0.0,0.0
10/10/1983,0.4376820921897888,0.0,0.0
10/11/1983,0.4376820921897888,0.0,0.0
10/12/1983,0.43768226976839375,0.0,0.0
10/13/1983,0.4354259989310786,0.0,0.0
10/14/1983,0.4376820921897888,0.0,0.0
10/17/1983,0.43768218327791264,0.0,0.0
10/18/1983,0.4399383639424576,0.0,0.0
10/19/1983,0.43542605452239513,0.0,0.0
10/20/1983,0.4331699958214393,0.0,0.0
10/21/1983,0.4399382770061493,0.0,0.0
10/24/1983,0.4399382770061493,0.0,0.0
10/25/1983,0.4399382770061493,0.0,0.0
10/26/1983,0.4399383639424576,0.0,0.0
10/27/1983,0.43542605452239513,0.0,0.0
10/28/1983,0.433169960975647,0.0,0.0
10/31/1983,0.433169960975647,0.0,0.0
11/01/1983,0.433170081420266,0.0,0.0
11/02/1983,0.43993830983408816,0.0,0.0
11/03/1983,0.44445032122159245,0.0,0.0
11/04/1983,0.44670659152384334,0.0,0.0
11/07/1983,0.44445058913087127,0.0,0.0
11/08/1983,0.4489625072238421,0.0,0.0
11/09/1983,0.44896292716264724,0.0,0.0
11/10/1983,0.4512184652788886,0.0,0.0
11/11/1983,0.4579870434795938,0.0,0.0
11/14/1983,0.4624992594415066,0.0,0.0
11/15/1983,0.46024283458446635,0.0,0.0
11/16/1983,0.4557308852672577,0.0,0.0
11/17/1983,0.45573097759602116,0.0,0.0
11/18/1983,0.46024283458446635,0.0,0.0
11/21/1983,0.4579867422580719,0.0,0.0
11/22/1983,0.4579870715445163,0.0,0.0
11/23/1983,0.4602431372898381,0.0,0.0
11/25/1983,0.46249944310617674,0.0,0.0
11/28/1983,0.47603604154927387,0.0,0.0
11/29/1983,0.47829175660776535,0.0,0.0
11/30/1983,0.48505988129427735,0.0,0.0
12/01/1983,0.480547847591828,0.0,0.0
12/02/1983,0.4828041468588811,0.0,0.0
12/05/1983,0.4737796331986342,0.0,0.0
12/06/1983,0.4557306499316775,0.0,0.0
12/07/1983,0.4579870715445163,0.0,0.0
12/08/1983,0.4602431372898381,0.0,0.0
12/09/1983,0.4557308852672577,0.0,0.0
12/12/1983,0.45573061378441043,0.0,0.0
12/13/1983,0.4534751173853874,0.0,0.0
12/14/1983,0.4512184294895153,0.0,0.0
12/15/1983,0.4534746932260918,0.0,0.0
12/16/1983,0.4467066834919417,0.0,0.0
12/19/1983,0.4489626047929915,0.0,0.0
12/20/1983,0.46024325692537915,0.0,0.0
12/21/1983,0.4647553937052781,0.0,0.0
12/22/1983,0.4782921070171194,0.0,0.0
12/23/1983,0.47603586442628,0.0,0.0
12/27/1983,0.480547847591828,0.0,0.0
12/28/1983,0.4828037888231412,0.0,0.0
12/29/1983,0.48280418139916875,0.0,0.0
12/30/1983,0.487316370010376,0.0,0.0
01/03/1984,0.4873159737654135,0.0,0.0
01/04/1984,0.48054805271468076,0.0,0.0
01/05/1984,0.4805478497993114,0.0,0.0
01/06/1984,0.4850602757047724,0.0,0.0
01/09/1984,0.4828042650336854,0.0,0.0
01/10/1984,0.47152372890884436,0.0,0.0
01/11/1984,0.46475532491032673,0.0,0.0
01/12/1984,0.4624993513220722,0.0,0.0
01/13/1984,0.4647552687764744,0.0,0.0
01/16/1984,0.46701154011545826,0.0,0.0
01/17/1984,0.46475544571876526,0.0,0.0
01/18/1984,0.46475544571876526,0.0,0.0
01/19/1984,0.46475532491032673,0.0,0.0
01/20/1984,0.4624992311000824,0.0,0.0
01/23/1984,0.4624992594415066,0.0,0.0
01/24/1984,0.4557308852672577,0.0,0.0
01/25/1984,0.4579867422580719,0.0,0.0
01/26/1984,0.4579870434795938,0.0,0.0
01/27/1984,0.4624993513220722,0.0,0.0
01/30/1984,0.46475498237420076,0.0,0.0
01/31/1984,0.4534751173853874,0.0,0.0
02/01/1984,0.4512184294895153,0.0,0.0
02/02/1984,0.4557306499316775,0.0,0.0
02/03/1984,0.4557312124967575,0.0,0.0
02/06/1984,0.4489625072238421,0.0,0.0
02/07/1984,0.44670683205127715,0.0,0.0
02/08/1984,0.45121860022496696,0.0,0.0
02/09/1984,0.4467064142227173,0.0,0.0
02/10/1984,0.4467066834919417,0.0,0.0
02/13/1984,0.44896268542042844,0.0,0.0
02/14/1984,0.44445058913087127,0.0,0.0
02/15/1984,0.44896292716264724,0.0,0.0
02/16/1984,0.4489625072238421,0.0,0.0
02/17/1984,0.44670659152384334,0.0,0.0
02/21/1984,0.44219437073438594,0.0,0.0
02/22/1984,0.4399382770061493,0.0,0.0
02/23/1984,0.4399382490284589,0.0,0.0
02/24/1984,0.4421943426132202,0.0,0.0
02/27/1984,0.4421944037306732,0.0,0.0
02/28/1984,0.44445032122159245,0.0,0.0
02/29/1984,0.44670683205127715,0.0,0.0
03/01/1984,0.45121902227401733,0.0,0.0
03/02/1984,0.4512186982844135,0.0,0.0
03/05/1984,0.4557306499316775,0.0,0.0
03/06/1984,0.4579873076081276,0.0,0.0
03/07/1984,0.4512188722140825,0.0,0.0
03/08/1984,0.44896292716264724,0.0,0.0
03/09/1984,0.44219437073438594,0.0,0.0
